,Date,Company,Article
0,2018-01-02,Asian Paints,"NEW DELHI: The BSE Smallcap index was trailing benchmark Sensex in morning trade on Tuesday.

The S&P BSE Smallcap index was trading 130 points down at 19,150, while Sensex was 20 points up at 33,833 around 10.40 am (IST) on Tuesday. The Nifty50 index was 8 points up at 10,443.

Shares of Jaypee Infratech (down 6.16 per cent), Jaiprakash Associates (down 5.58 per cent), Intense Technologies (down 5.12 per cent), Bombay Rayon Fashions (down 4.99 per cent), Ricoh India (down 4.99 per cent), 3i Infotech (down 4.98 per cent), Gujarat NRE Coke (down 4.97 per cent) and GVK Power & Infrastructure (down 4.90 per cent) cracked up to 6 per cent in the BSE Smallcap index. 

However, shares of D B Realty (up 9.94 per cent), Fineotex Chemical (up 7.01 per cent), Advanced Enzyme Technologies (up 6.50 per cent), JVL Agro Industries (up 6.38 per cent), Udaipur Cement Works (up 5.82 per cent) and Jai Corp (up 5.44 per cent) surged over 5 per cent in the smallcap index.

Equity benchmarks were trading on a choppy note. Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

Oil & Natural Gas Corporation, Mahindra & Mahindra, Tata Motors and Coal India were trading as the top gainers in the Sensex index.

YES Bank, State Bank of India and Asian Paints were among the laggards of the Sensex kitty."
1,2018-01-02,Asian Paints,"NEW DELHI: In line with BSE Smallcap index, the BSE Midcap index too was trailing benchmark Sensex in Tuesday's trade

The S&P BSE Midcap index was trading 108 points down at 17,728, while Sensex was 25 points up at 33,838 around 10.50 am (IST) on Tuesday. The Nifty50 index was 13 points up at 10,449.

Shares of Reliance Communications (down 4.66 per cent), GMR Infrastructure (down 2.69 per cent), Reliance Power (down 2.64 per cent), Page Industries (down 2.40 per cent), Cholamandalam Investment & Finance Company (down 2.20 per cent) and Mahindra & Mahindra Financial Services (down 2.05 per cent) were among the top losers in the BSE Midcap index.

On the contrary, shares of Larsen & Toubro Infotech (up 6.57 per cent), NLC India (up 4.70 per cent), TVS Motor Company (up 2.13 per cent), Endurance Technologies (up 1.34 per cent) and Tata Power Company (up 0.87 per cent) were among the top gainers of the midcap space.

Equity benchmarks were trading on a choppy note. Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 24 were in the red. Two stocks appeared unchanged. 

Oil & Natural Gas Corporation, Mahindra & Mahindra, Tata Motors and Coal India were trading as the top gainers in the Sensex index.

YES Bank, State Bank of India and Asian Paints were among the laggards of the Sensex kitty."
2,2018-01-02,Asian Paints,"NEW DELHI: Telecom stocks Reliance Communications (down 5.37 per cent), Himachal Futuristic Communications (down 3.26 per cent), GTL (down 2.51 per cent), Idea Cellular (down 2.43 per cent), Bharti Airtel (down 0.79 per cent), Tata Teleservices (Maharashtra) (down 0.55 per cent) and Tata Communications (down 0.32 per cent) were trading in the red in Tuesday's trade, dragging the BSE Telecom index down. 

The S&P BSE Telecom index was trading 0.55 per cent down at 1,656 around 10:55 am (IST). 

Shares of Mahanagar Telephone Nigam (up 3.73 per cent) and Bharti Infratel (up 1.85 per cent) were the two gainers in the BSE Telecom index around that time. 

Benchmark BSE Sensex was 13 points down at 33,800, while the NSE Nifty50 index was trading flat at 10,436.

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red. 

Oil & Natural Gas Corporation, Tata Motors Mahindra & Mahindra, NTPC and Coal India were trading as the top gainers in the Sensex index. 

YES Bank, State Bank of India and Asian Paints were among the laggards of the Sensex kitty."
3,2018-01-03,Asian Paints,"ET Intelligence Group: Corporates are contributing their bits in maintaining ecological balance even as they pursue growth. This is reflected in various initiatives such as reduction in water consumption by 30-60 per cent and rising share of renewable energy.

India is the fourth-largest emitter of greenhouse gasses. It accounts for about 4.5 per cent of global greenhouse gas emissions. In this backdrop, it becomes crucial for local companies to take initiatives to go green.

India’s largest car manufacturer Maruti Suzuki lowered its groundwater consumption by more than 60 per cent to 13,945 million cubic meters between FY15 and FY17, according to company’s sustainability report for FY17. Maruti has been able to save 200 litres per vehicle.

This was achieved by increasing the use of recycled water and by resorting to rain water harvesting which required investments in creating water lagoons. Ranjit Singh, general manager for CSR and Sustainability at Maruti Suzuki, said, “Our emphasis has been on consistently reducing water consumption by innovative methods. Our Gurugram facility has entirely shifted to canal water from groundwater.” He mentioned that sourcing from rainwater harvesting rose to 25,000 million cubic meters (mcm) in FY17 from 6,800 mcm two years ago.




 Dabur, a consumer staples company, used 11per cent less raw water and increased the use of recycled water by 9per cent. Vedanta, a metal major, met 11per cent of its water requirement through recycled water in FY17 compared with 6per cent in the previous year.

Keeping with the government’s initiative to increase share of renewable energy in the country’s total power consumption, companies are gradually raising sourcing from clean fuels such as solar power, wind, and natural gas. FMCG giant Hindustan Unilever increased the share of renewable energy to 28 per cent by taking measures such as converting agricultural waste into consumable fuel. HUL’s Sumerpur plant uses solar energy to meet 80 per cent of the power requirement. The carbon footprint of its manufacturing plants was down 13 per cent year-on-year in FY17.


Companies Cut Water Usage in Green Push
RIL has installed solar photovoltaic modules across manufacturing units. Out of the total energy requirement of Asian Paints, India’s largest paint company, 22 per cent is met by renewable energy. Maruti Suzuki meets nearly 95 per cent of the power requirement from the clean fuel such as natural gas.

Services sector companies are also taking green initiatives. Union Bank, for instance, has switched its 245 branches and their ATMs to solar power. Telecom tower companies which account for nearly 8 per cent of total diesel consumption are turning green. In the past two years, diesel consumption of Bharti Infratel dropped by 25 per cent, while 43 per cent of sites operated by Indus Towers and Bharti Infratel are now diesel free.

Turning more environment-friendly products can help companies expand their market size. For instance, Ceat, a leading tyre maker, moved to using more silica instead of carbon black due to the demand from vehicle makers and European market. Silica reduces carbon footprint of tyres. Arnab Banerjee, Executive Director at Ceat, said, “We’re working on developing products from non-petroleum raw material which are considered as green materials.”

A senior official at a leading FMCG company said that companies are willing to invest in energy efficient plants due to benefits to broader society even though it lowers internal rate of return in the short term.

Namrata Rana, director at Futurescape, a consultancy for sustainable development, said manufacturing companies are keen to reduce carbon footprint in their processes but they also need to focus on the supply side."
4,2018-01-03,Asian Paints,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.38 crore), Coal India (0.33 crore) and Tata Power (0.32 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Wednesday.

Shares of Bharat Heavy Electricals (BHEL) (0.23 crore), Punjab National Bank (0.12 crore), State Bank of India (0.12 crore), NMDC (0.10 crore), Reliance Industries (0.09 crore), Tata Motors (0.09 crore), Vedanta (0.08 crore), Idea Cellular (0.08 crore) and ICICI Bank (0.08 crore) also joined the league of most traded stocks.

Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.

On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
5,2018-01-03,Asian Paints,"NEW DELHI: Shares of Reliance Industries (Rs 115.39 crore), Coal India (Rs 93.80 crore), Dr Reddy's Labs (Rs 76.03 crore) and Ashok Leyland (Rs 63.11 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Wednesday.

Shares of Maruti Suzuki (Rs 54.16 crore), Tata Motors (Rs 50.91 crore), SBI (Rs 49.38 crore), Titan Co. (Rs 46.19 crore), Tata Power (Rs 44.85 crore), Infosys (Rs 43.73 crore), Bharti Airtel (Rs 38.48 crore) and Vedanta (Rs 36.88 crore) also jooined the club of most active stocks in terms of value. 

Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.

On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
6,2018-01-03,Asian Paints,"NEW DELHI: Shares of Ajooni Biotech (20 per cent), Moksh Ornaments (20 per cent), Nagarjuna Fertilizers and Chemicals (16.29 per cent), Orient Green Power Company (13.18 per cent), Orbit Exports (12.38 per cent) and Color Chips (11.46 per cent) zoomed over 11 per cent on NSE in morning trade on Wednesday.

On the other hand, Apollo Sindoori Hotels (10 per cent), STEL Holdings (9.99 per cent), Accel Frontline (9.98 per cent), MEP Infrastructure Developers (9.94 per cent), Sagar Cements (9.62 per cent) and ICSA-India (9.52 per cent) rallied up to 10 per cent. 

Equity market benchmarks Sensex and Nifty appeared firm. The 30-share Sensex was trading 110 points up at 33,922, while the 50-share Nifty50 index was 39 points up at 10,481 around 9.55 am (IST).

In the Nifty 50 index, 39 stocks were in the green, while 9 stocks were in the red. Two stocks were appearing unchanged. 

Shares of Ashok Leyland, Tata Power, Coal India, Idea Cellular, Bharat Heavy Electricals (BHEL) and Steel Authority of India (SAIL) were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Adani Ports & Special Economic Zone, Vedanta, Tech Mahindra, ICICI Bank, Hindustan Petroleum Corporation and Reliance Industries were among the top gainers.

However, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Infosys, Asian Paints, Tata Motors and HDFC Bank were among the losers of the Nifty pack of stocks."
7,2018-01-03,Asian Paints,"NEW DELHI: Shares of Reliance Communications (down 5.40 per cent), Industrial Investment Trust (down 4.98 per cent), S E Power (down 4.98 per cent), Bombay Rayon (down 4.96 per cent), Vertoz Advertising (down 4.93 per cent), Jai Balaji Industries (down 4.89 per cent) and Nagreeka Capital (down 4.87 per cent) cracked up to 5 per cent in Wednesday's trade, even as equity markets reflected positive sentiments.

Equity market benchmarks Sensex and Nifty appeared firm. The 30-share Sensex was trading 110 points up at 33,922, while the 50-share Nifty50 index was 39 points up at 10,481 around 9.55 am (IST).

In the Nifty 50 index, 39 stocks were in the green, while 9 stocks were in the red. Two stocks were appearing unchanged. 

Shares of Ashok Leyland, Tata Power, Coal India, Idea Cellular, Bharat Heavy Electricals (BHEL) and Steel Authority of India (SAIL) were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Adani Ports & Special Economic Zone, Vedanta, Tech Mahindra, ICICI Bank, Hindustan Petroleum Corporation and Reliance Industries were among the top gainers.

However, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Infosys, Asian Paints, Tata Motors and HDFC Bank were among the losers of the Nifty pack of stocks."
8,2018-01-03,Asian Paints,"NEW DELHI: Over 70 stocks, including Adani Enterprises, Dabur India, D B Realty, Graphite India, Hexaware Technologies and Indowind Energy hit fresh 52-week highs on NSE in Wednesday's trade.

Jindal Saw, Jubilant Foodworks, KPIT Technologies, PC Jeweller, Rain Industries, Spentex Industries, Tata Elxsi, Tata Power Company, Tech Mahindra and Wendt (India) also appeared in the league of stocks that hit fresh 52-week highs today.

Domestic equity market benchmarks were trading in the positive territory, backed by gains in metal, bank and auto stocks.

The NSE Nifty index was trading 52 points up at 10,494, while BSE Sensex was 154 points up at 33,966 around 10:25 am (IST).

All sectoral indices were in the green on NSE around that time. 

Shares of Ashok Leyland, Tata Power, Bharat Heavy Electricals (BHEL), Idea Cellular, Coal India and Steel Authority of India (SAIL) were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Vedanta, Hindustan Petroleum Corporation, ICICI Bank, Bharti Airtel, Hindalco Industries and HCL Technologies were among the top gainers.

However, Dr. Reddy's Laboratories, Tata Motors, Oil and Natural Gas Corporation, HDFC Bank, Asian Paints and Infosys were among the top losers."
14,2018-01-04,Asian Paints,"NEW DELHI: Gains in shares of Dr. Reddy's Laboratories (up 2.41 per cent), Sun Pharmaceutical Industries (up 1.41 per cent), Cipla (up 0.77 per cent), Cadila Healthcare (up 0.77 per cent), Aurobindo Pharma (up 0.37 per cent) and Divi's Laboratories (up 0.29 per cent) were keeping the Nifty Pharma index in the green zone in Thursday's trade.

The Nifty Pharma index was trading 0.73 per cent up at 9,589 around 02:40 pm (IST). 

However, Piramal Enterprises (down 1.45 per cent), Glenmark Pharmaceuticals (down 0.41 per cent) and Lupin (down 0.03 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was up by 48 points at 10,491, while the BSE Sensex was 142 points up at 33,936.

Among the 50 stocks in the Nifty50 index, 30 were trading in the green, while 20 were in the red. 

Shares of NHPC, Punjab National Bank, State Bank of India, Steel Authority of India (SAIL), Bank of Baroda, Ashok Leyland, Bharat Heavy Electricals (BHEL), Idea Cellular, Oil and Natural Gas Corporation, Hindalco Industries, ITC and Tata Motors were among the most traded stocks on the NSE.

In the Nifty 50 index, Tata Steel, Larsen & Toubro, Oil and Natural Gas Corporation, Dr Reddy's Labs, Coal India and Asian Paints were among the top gainers.

However, Eicher Motors, Tata Motors, HCL Technologies, Infosys, Hero MotoCorp and Power Grid Corporation were among the top losers."
13,2018-01-04,Asian Paints,"NEW DELHI: Shares of Shekhawati Poly-Yarn (down 7.14 per cent), Sterling Biotech (down 6.93 per cent), Diamond Power (down 5.20 per cent) and CKP Products (down 5.09 per cent) cracked over 5 per cent in morning trade on Thursday, even as broader markets remained in the positive zone. 

On the other hand, Bombay Rayon Fashions (down 4.99 per cent), Lasa Supergenerics (down 4.98 per cent), Ortin Laboratories (down 4.97 per cent), Nirvikara Paper Mills (down 4.95 per cent), Steel Exchange (down 4.92 per cent), Parenteral Drug (down 4.87 per cent), Castex Technologies (down 4.86 per cent) and SE Power (down 4.80 per cent) declined up to 5 per cent.

Equity benchmarks Nifty50 and Sensex pared some of their opening gains on selling in select IT and auto stocks. 

The NSE Nifty index was trading 21 points up at 10,464, while BSE Sensex was 59 points up at 33,853 around 10:05 am (IST).

Shares of NHPC, SAIL, Hindalco, Ashok Leyland, ITC and Tata Motors were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Asian Paints, Coal India, UPL and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, Power Grid Corporation of India, Sun Pharmaceutical Industries and YES Bank were among the top losers.

Among the 50 stocks in the Nifty50 index, 3 were advancing, while 19 were declining in trade. One stocks appeared to be unchanged."
