,Date,Company,Article
0,2018-01-01,Bajaj Finserv,"MUMBAI: The Bajaj Group’s promoters have initiated the process of passing on their wealth to the younger generation as part of succession planning by realigning their ownership through the purchase and sale of stock in various listed group companies among themselves.

Trades took place last week among Madhur Bajaj and his wife Kumud; Nirav Bajaj, son of Niraj Bajaj; and Anant Bajaj, son of Bajaj Electricals chairman Shekhar Bajaj. More such swaps are likely. “It is just a minor restructuring within the family. Not a single share has been sold outside the family nor purchased from outside the family,” said Niraj Bajaj, who acts as treasurer of family wealth and is the youngest of the four promoters. “This is only one step. There will be some further transactions also. It is work in progress.” 

The Bajaj Group, which traces its history back 90 years to freedom fighter and founder Jamnalal Bajaj, is now owned by four promoters--patriarch Rahul Bajaj, along with Shekhar, Madhur and Niraj. The succession plan will see the assets pass on to their children. “The family has to keep thinking of succession and future planning for the group as well as the happy continuity of the joint family which comprises the families of four Bajaj brothers and their siblings,” said Niraj Bajaj. “We want the Bajaj group to continue its journey for a very long time so we need to keep taking steps.”





More than 4.5 million shares of Bajaj Holdings & Investment were sold by some entities to others from the promoter group for more than Rs 1,369.55 crore at an average price of Rs 2,993 apiece, according to exchange data. Similar transactions occurred in the shares of Bajaj Auto, Bajaj Electricals and Bajaj Finserv worth Rs 408.20 crore, Rs 103.55 crore and Rs 597.69 crore, respectively. Transactions valued at a total Rs 2,479 crore took place. Jamnalal Bajaj’s five grandsons--Rahul, Shishir, Shekhar, Madhur and Niraj--built and nurtured a business with interests in two-wheelers, insurance, sugar, steel, and household electrical appliances. However, Shishir Bajaj left the group and took ownership of Bajaj Hindusthan Ltd and Bajaj Consumer Care Ltd almost a decade back. Rahul and Shishir are brothers while siblings Madhur, Shekhar and Niraj are their cousins. The promoters refer to themselves as brothers.

Shishir Bajaj’s demand for separation had roiled the family and shareholders in 2001. The dispute was settled after seven years of uncertainty.

“Shareholder realignment is to ensure a certain principle of equity maintained across generations and branches ,” said Kavil Ramachandran, executive director of Thomas Schmidheiny Centre for Family Enterprise at Indian School of Business. “This is good to keep different branches or members satisfied both in terms of wealth inheritance and power balance.”

Bajaj became a household name thanks to its scooters, tempo vans and electrical appliances. The Hamara Bajaj jingle of 1990s became synonymous with Indian middleclass dream of owning a scooter. The total wealth of the family is pegged at about Rs 70,000 crore and the Bajaj Group companies have a combined market value of Rs 3.25 lakh crore.

“Indian family businesses are increasingly becoming sensitive to these strategies and are proactive,” said Ramachandran. “Most often wealth is transferred in terms of shares across various companies if there are more than one company involved.” Some family members may opt out of continued ownership, in which case there could be other means of settlements, including funds or other properties, he said."
1,2018-01-17,Bajaj Finserv,"Select smallcap and midcap stocks created huge wealth for investors over the past five years. While largecaps delivered up to 1,500 per cent return during this period, some smallcaps gave up to 8,000 per cent. 

Equity benchmark BSE Sensex spurted 75 per cent during this period, with TVS Motor soaring 1,486 per cent to Rs 768 on January 10, 2018 from Rs 48 on the same day in 2013. 

It was followed by non-banking finance company Bajaj Finance, which rose 1,223 per cent to Rs 1,800 from Rs 136. Vakrangee advanced over 1,200 per cent in the same period.

Other stocks that advanced over 5 times in last five years included Eicher Motors (up 906 per cent), Britannia Industries (up 842 per cent), Aurobindo Pharma (up 606 per cent), Motherson Sumi (up 539 per cent).

Analysts at Prabhudas Lilladher are positive on Britannia and Aurobindo Pharma with price targets of Rs 5,226 and Rs 877, respectively.

Market experts believe Britannia is on the cusp of significant profit growth thanks to a gradual recovery in volume growth, strong tailwinds from the decline in sugar prices and SMP even as wheat and palm oil prices remained stable and competitive advantage after higher GST rate prompted Parle to increase prices. Sustained gains from cost efficiency programmes in the coming quarters will also boost bottom lines. The company’s product portfolio remained robust and re-launch of Treat has been received well in the market. 

Brokerage Motilal Oswal has a ‘buy’ rating on Motherson Sumi with a target price of Rs 459. The scrip traded at Rs 379 on January 17.

“Motherson Sumi offers strong earnings visibility along with improving capital efficiencies. We estimate the company’s consolidated revenues, Ebitda and PAT to grow 22 per cent, 30 per cent and 33.5 per cent CAGR, respectively, during FY17-20E,” the brokerage said.

Shares of Maruti Suzuki, HPCL, Bharat Forge, UPL, Bajaj Finserv and MRF jumped between 430 per cent and 500 per cent between January 2013 and January 2018.

Motilal Oswal is also positive on the country’s biggest carmaker Maruti Suzuki with a price target of Rs 11,026. Nirmal Bang Securities has a ‘sell’ rating on HPCL with a target price of Rs 321.

Most of the largecaps on the list have been reporting a rise in bottomline numbers year after year. For instance, Maruti Suzuki’s profit grew from Rs 2,469 crore in FY13 to Rs 7,511 crore in FY17. It posted profit numbers of Rs 2,852 crore, Rs 3,807 crore and Rs 5,497 crore for FY14, FY15 and FY16, respectively.

Motherson Sumi, Bajaj Finance, Britannia Industries, Eicher Motors, Vakrangee, Aurobindo Pharma, TVS Motor and Bajaj Finserv have also reported sustainable PAT growth during this period.

The BSE Smallcap and Midcap indices climbed 163 per cent and 149 per cent, respectively, during this period. With 7,980 per cent and 5,925 per cent returns, Avanti Feeds and Fiberweb (India) stood among the top gainers in the smallcap space.

At present, BSE Sensex and NSE Nifty are hovering at levels never seen before. Market experts are bullish about further movement in these stocks. 

“We expect volatility to increase in the Indian stock market in 2018, as corporate earnings growth expectations seem to have built in some optimism. On the contrary, with market valuation at around 17 times FY19E consensus earnings, the downside is expected to be limited. We expect Sensex and Nifty to be closer to 37,500 and 11,500, respectively, in 2018,” said Jayant Manglik, President, Religare Securities."
2,2018-01-22,Bajaj Finserv,"Rahul Bajaj, Chairman, Bajaj Group and Sanjiv Bajaj, MD, Bajaj Finserv talk to ETNow on expectations of PM Narendra Modi's address at Davos. Edited Excerpts:

ET Now: He (PM Modi) is coming armed with a World Bank ranking that has gone up. He is coming armed with a Moody's upgrade. He is coming armed having rolled out the GST. Yes the teething troubles are there, but a reform like that waited for 10 years is out. Do you believe that is ammunition enough for him at Davos to woo the audience. What is it that the globe is expecting from Modi?
Sanjiv Bajaj: It is difficult to say what the overall world is expecting, but the theme of the conference this year is how to stay connected in an increasingly fractured world. We saw last year President Xi of China talk about China's role in getting the world together and I hope we see the Indian Prime Minister talk about how India can play that role as well. Over the last few years there are number of measures India has taken and what you have just talked about to make India more attractive place. But along with that India has a larger opportunity and I would say responsibility with the size that we are now to play a role in the larger world as well. So I hope he has something about that.


ET Now: But who do you believe he is addressing at Davos. Is he addressing global leaders, is he addressing the multinationals here to come and invest in India or is he keeping an eye on the Indian audience and by that I also mean Indian industry and what is it that in that context would you hear him say?
Sanjiv Bajaj: My assumption is that he will address the global audience. He will address the global business leaders who will be here. There is a very large, the single-largest group of heads of state and heads of government over the next few days over here in Davos and I am sure while he is just there for 24 hours, he would be meeting many of them. I do not think this is only about the Indian community, because he has already been doing that and we are there in India, so we can see that. So I hope it is to the larger audience.


ET Now: You mentioned Deve Gowda, you mentioned Narsimha Rao, they came in 1997 last and India was a very different market, a very different country, our place in the world was very different. How do you believe the three prime ministers now compared. Mr Modi is the first prime minister in liberalised India to have full majority. He comes armed with the political mandate as well as the economic reforms he has undertaken. In that sense, how do the prime ministers in the past and him compared?
Rahul Bajaj: You cannot even compare. It is not fair to compare people and comparison is odious. Having said that as you said 1997, 1999 something and 2017, they are very different people. What would you expect from Deve Gowda, he comes with all his family here, what the hell are we talking about. I am very sorry. I know him. I met him. He is a nice guy but nice guy is not what we need here.

Narsimha Rao did not do so badly and do not forget now it is very different but this was after 1991 liberalisation which he started of course with the help of Manmohan Singh but Manmohan Singh could not do anything political, but for the support from Narsimha Rao. So he had a good image at that time and he did, I am told, I do not remember now, he did okay but the way he was you cannot compare with Narendra Modi, his communication, the way he communicates. We as an Indians are expecting a lot for India. He has done enough for India in terms of his reputation all over the world, and we just think it should be another further icing on the cake and I am not worried about May 2019. He I am sure is concerned as he should be but that what he does he is not going to affect that, I do not think so."
3,2018-01-25,Bajaj Finserv,"Life Insurance Corporation (LIC), India’s largest domestic institutional investor, was busy shopping on Dalal Street all through December quarter and handpicked shares from across the sectors such as banking and financial services, FMCG, upstream and downstream oil and gas, ports as well as IT. 

Among the largecaps, LIC increased its holding in IT major Tata Consultancy Services (TCS) to 4.17 per cent as of December 31, 2017 from 4.03 per cent as of September 30, 2017. 

TCS posted 1.3 per cent quarter-on-quarter (QoQ) increase in net profit at Rs 6,531 crore for the quarter ended December 31, 2017, largely meeting Street estimates. 

LIC also increased holdings in Sun Pharma (from 4.36 per cent to 5.53 per cent) and Punjab National Bank (from 12.20 per cent to 13.94 per cent). 

In the FMCG space, it bought into Britannia and Hindustan Unilever (HUL), raising its holdings in the two firms from 3.53 per cent and 2.08 per cent to 3.79 per cent and 2.55 per cent, respectively.

HUL reported a 27.74 per cent jump in December quarter profit at Rs 1,326 crore on volume growth and margin improvement across categories. The company had posted Rs 1,038 crore profit for the October-December quarter a year ago.

Abhimanyu Sofat, VP-Research, IIFL, says HUL’s volume growth number was better than Street estimate as there was a pick-up of close to 6 per cent in realisations. The brand extension of Ayush as well as Indulekha can yield results in terms of new brands being created, and the market rewarding it.

“If you look at competition vis-a-vis Patanjali, the intensity is reducing. On the detergents side, one can see margin improvement. So, there has been some kind of price improvement. We would recommend an ‘add’ rating on HUL with a target of close to Rs 1,450,” Sofat said.

Overall, LIC hiked its stake in 40 companies in Q3. From the listed universe, it has investments in more than 200 companies from those listed on the National Stock Exchange (NSE), data available with corporate database Capitaline showed.




Among the upstream and downstream oil companies, LIC took its stake in BPCL to 3.46 per cent at the end of Q3 from 2.43 per cent in Q2FY18. It also increased holdings in ONGC and Oil India to 9.23 per cent and 11.27 per cent, respectively, from 9.20 per cent and 11.07 per cent in the year-ago period.

On January 20, ONGC announced the acquisition of government’s entire 51.11 per cent stake in refiner HPCL for Rs 36,915 crore, paying a premium of over 10 per cent. Shares ONGC surged more than 3 per cent on the bourses on January 22.

Brokerage firm Motilal Oswal Financial Services believes this acquisition will bring synergies in terms of larger balance sheet to take on overseas assets, better funding for HPCL’s projects, lesser volatility in ONGC’s earnings and most to fend off possible competition from private players in marketing of auto fuels if there is any threat to margins. 

“The lower-than-expected premium also does not put any overdue pressure on ONGC’s balance sheet. We continue to recommend ‘Buy’ rating on HPCL with a target of Rs 576. There is no significant change in valuation of ONGC eigher. We reiterate ‘Buy’ rating with a target price of Rs 234,” Motilal Oswal said in a report.

Rating agencies ICRA, CARE and Crisil too remained LIC’s favourites. Its stake in ICRA jumped to 7.45 per cent at the end of October-December 2017 from 6.75 per cent in the July-September period. It hiked stake in CARE Ratings and Crisil to 9.85 per cent and 5.45 per cent from 9.78 per cent and 4.68 per cent earlier.

Adani Ports, Asian Ports, Bajaj Finserv, Bharat Forge, Castrol India, Rajesh Exports, Marico, Lupin, Zydus Wellness, Union Bank, Syndicate Bank and UltraTech Cement were other companies that managed to attract LIC investment in Q3 FY18.

On the other hand, LIC dumped shares of Bajaj Auto, Bank of Baroda, Balrampur Chini, Cipla, ICICI Bank, MMTC, NBCC, Mastek, Indian Oil Corporation, Hindustan Copper, Volta, Vijaya Bank, Welspun Enterprises and Videocon Industries."
4,2018-01-30,Bajaj Finserv,"Mumbai: Bajaj Finserv, Grasim Industries and Titan Company are likely to replace Bosch, Ambuja Cement and Aurobindo Pharma in the Nifty50 index soon, said analysts at Edelweiss Securities and IDBI Capital Markets & Securities.

These changes are likely to be made in the upcoming semi-annual review of the Nifty index, the brokerages said. The index is reviewed on a half-yearly basis and a fourweek notice is given to the market before making changes to the index. Edelweiss expects the index changes to be announced by the third week of February and the same to be effective on March 30.

The inclusion of Grasim, Bajaj Finserv and Titan will lead to buying of 59.8 lakh shares, 9.2 lakh shares and 63.3 lakh shares, respectively, said Edelweiss.

At current prices, it would mean buying of Rs 707.2 crore in Grasim, Rs 451.8 crore in Bajaj Finserv and Rs 567.9 crore in Titan.

Conversely, the exclusion of Bosch, Ambuja and Aurobindo Pharma will lead to selling of 1.4 lakh, 1.13 crore and 43.3 lakh shares, respectively, said Edelweiss.

There are certain criteria that determine the inclusion and exclusion of a stock from the Nifty index, including liquidity, float adjusted market capitalisation, domicile and trading frequency.

For inclusion in the index, a security should have traded at an average impact cost of 0.50 per cent or less during the last six months, for 90 per cent of the observations for portfolio of Rs 10 crore. Impact cost is a measure of liquidity of a stock and reflects the costs faced when actually trading an index.

Companies will be included if free-float market capitalisation is 1.50 times the freefloat market capitalisation of the smallest constituent in respective index. These stocks must be available for trade in the futures and options segment and the company must be domiciled in India.

The company’s trading frequency should be 100 per cent in the last six months.

Following these changes, the weightage of sectors in the Nifty is also likely to change. The weightage of financial services will increase to 35.9 per cent from 35.5 per cent and that of cement and cement products will rise to 2.3 per cent from 1.6 per cent, said IDBI Capital in its report.

The weightage of consumer goods will rise to 10.1 per cent from 9.4 per cent, while that of pharmaceutical sector will come down to 3.5 per cent from 4 per cent, the brokerage added.

The last revision in index constituents took place on September 29, 2017, when ACC, Bank of Baroda, Tata Power and Tata Motors DVR shares were excluded. They were replaced by Bajaj Finance, Hindustan Petroleum Corporation and UPL."
5,2018-01-30,Bajaj Finserv,"NEW DELHI: With the Nifty50 rejig likely in the third week of February, brokerage Edelweiss Securities has come up with a list of possible stocks up for inclusion in the NSE barometer.

The list included Titan, one of Big Bull Rakesh Jhunjhunwala's favourite stocks.

Jhunjhunwala and his better half, Rekha Jhunjhunwala, together held 8.45 per cent stake in the maker of jewellery, watches and eyewear as of December 31 (up from 8.06 per cent in September quarter), which at Monday's price was worth Rs 6,700 crore.

Other analysts, too, are gung-ho on the stock. As many as 25 of 31 analysts tracking the stock on Reuters' Eikon either have a strong ‘buy’ or ‘buy’ recommendations, four have ‘hold' and just two of recommend 'sell' ratings.

Analysts said the owner of jewellery brands such as Tanishq, Zoya and Mia has a strong balance sheet. Besides, it has healthy cash flow from operations, robust return ratios and has no debt on its books.

Rising share of studded jewellery, cost optimisation and operating leverage are likely to aid margins at the firm, analysts said.

The recent aggression to capitalise on opportunities across divisions is heartening. Earnings CAGR is likely to be a massive 36 per cent over FY17-20. The sheer scale of top-line opportunity demands premium valuations, Motilal Oswal Securities said in a recent note.

The stock has surged 146 per cent in last one year. Yet, analysts see scope for further upside.

Titan has been a key beneficiary of migration from unorganised to organised players driven by recent regulatory changes such as gold hallmarking and GST, which is evident from sustained market share gains, ICICI Securities said in a note.

Its business model has the inherent strength that would enable it to capitalise on larger opportunities like wedding jewellery and gain significant share in the segment, thereby providing impetus to revenue, profit growth, the brokerage said in a note.

Ambit Capital expects the jewellery maker's earnings to grow at 33 per cent annually over FY17-22. Even after this, Titan would still command only 8 per cent market share in the jewellery space and 5 per cent in wedding jewellery. This long growth runway implies Titan will continue to command punchy valuations and, hence, current valuation of 53 times FY19E EPS is inexpensive, the brokerage said.

The jewellery industry has grown at 13 per cent CAGR over FY07-17 and its size is pegged at Rs 2,50,000 crore, compared with Titan’s FY17 revenue of Rs 10,400 crore.

Besides jewellery, Titan retails watches and accessories through World of Titan, Helios and Fastrack stores.

The company also offers sunglasses, contact lenses and frames and retails them through Titan Eye Plus stores. The review looks at liquidity, free-float market cap, trading frequency, domicile and availability on the F&O segment as some of the criteria to pick stocks for the Nifty50 pack.

Bajaj Finserv and Grasim Industries are other two stocks, which are likely to be included in the February rejig. Bosch, Ambuja Cements and Aurobindo Pharma are the three stocks that may make way for the likely new index constituents."
2,2018-02-01,Bajaj Finserv,"NEW DELHI: Stocks opened on a bright note today, shrugging off worries over long term capital gains (LTCG) tax making a likely comeback in the Budget. 

There are expectations that Finance Minister Arun Jaitley may not give in to the temptation of big doleouts in his last full Budget -- due later in the day -- before 2019 general elections. 

At 9.16 am, the BSE Sensex was up 140 points, or 0.39 per cent, at 36,104.48. The NSE barometer Nifty rose 46.25 points, or 0.42 per cent, to 11,073.95. Fear Gauge India VIX stood at 15.96, up 0.20 per cent. 

""Increase in equity investments coupled with higher government spending and limited scope for revenue mobilisation may increase the temptation to either increase the short-term capital gains tax and/or reintroduce the long-term capital gains tax,"" said Priti Rathi Gupta, Managing Director, and Promoter at Anand Rathi Share & Stock Brokers.

ONGC and HPCL were in focus after the former bought government's entire 51.11 per cent stake in the latter for Rs 36,915 crore. ONGC in fact purchased 77.88 crore shares in HPCL for Rs 473.97 per share, which was much higher than Rs 396.50, the closing price of HPCL on Wednesday. While ONGC was trading 0.86 per cent higher at Rs 205.10, HPCL rose 2.04 per cent to Rs 404.60.

Shares of Havells India firmed up 0.65 per cent to Rs 525.45 even as two promoters of consumer electrical goods maker sold 2 per cent stake in the firm for over Rs 647 crore through open market transactions.

Ashok Leyland, Titan, Bajaj Finance, Bajaj Finserv, CEAT, MRF, Titan Company and Zee Media are some of the companies to announce their quarterly earnings on Thursday.

Larsen & Toubro (L&T) added 3.13 per cent at Rs 1,461. Third-quarter earnings at L&T on Wednesday reflected the revival of growth across the broader economy, with robust home demand helping India’s biggest engineering company offset the impact of muted overseas business and post 53 per cent gain in net income."
1,2018-02-01,Bajaj Finserv,"NEW DELHI: Domestic market is likely to see a flat to positive opening on Thursday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and cues from other Asian markets. 

 Nifty futures on the Singapore Stock Exchange were trading 13.50 points, or 0.12 per cent, higher at 11,072.50 at 8 am, indicating a positive start for the Nifty50 in India. Here is a list of top stocks that are likely to be in focus in today's trading session: 


ONGC, HPCL: State-owned Oil and Natural Gas Corp (ONGC) on Wednesday said it has bought government's entire 51.11 per cent stake in oil refiner HPCL for Rs 36,915 crore. In a regulatory filing, ONGC said it bought 77.88 crore shares in HPCL for Rs 473.97 per share. The price paid is higher than Rs 396.50 closing price of HPCL on the BSE. 


Ashok Leyland, Titan: Bajaj Finance, Ashok Leyland, Bajaj Finserv, CEAT, MRF, Titan Company and Zee Media are some of the companies which will announce their quarterly earnings on Thursday.


Havells India: Two promoters of consumer electrical goods maker Havells India on Wedneday sold 2 per cent stake in the firm for over Rs 647 crore through open market transactions


Bank of Baroda: State-run lender Bank of Baroda plans to sell strategic stakes in many of its subsidiaries in its effort to build value and capitalise from them as it embarks on a new strategy to boost its fee income and steer away from traditional consortium banking.


Indiabulls Housing: Indiabulls Housing Finance (IBHFL) on Wednesday said it has raised $50 million (about Rs 315 crore) through masala bond. The rupee denominated bond proceeds will be used towards financing the affordable housing sector, the company said in a statement. 


ICICI Bank: ICICI Bank’s net profit fell 32 per cent to Rs 1,650 crore in the December quarter due to lower income from treasury though the pace of addition to the list of NPAs slowed the most in the past nine quarters.


Bhushan Steel: In a desperate bid to salvage his company from going under the hammer next week, Neeraj Singhal, promoter and vice chairman of Bhushan Steel Limited, has written to all lenders to consider restructuring the Rs 44,000 crore debt under the Sustainable Structuring of Stressed Assets (S4A) mechanism by dividing the debt into sustainable and unsustainable parts with no haircut whatsoever even at this stage.


Larsen & Toubro: Fiscal third-quarter earnings at Larsen & Toubro Wednesday reflected the revival of growth across the broader economy, with robust home demand helping India’s biggest engineering company offset the impact of muted overseas business and post 53 per cent gain in net income.


Vedanta: India’s leading mining company Vedanta Ltd. reported a 4 per cent decline in net profit in the fiscal third quarter, although a secular uptrend in metal prices drove revenue 19 per cent higher in the period under review. At Rs 2,053 crore, compared with Rs 2,133 crore in the corresponding period of FY17, the December quarter profit trailed estimates of analysts, who had penciled in earnings north of Rs 2,400 crore. 


JSW Steel: JSW Steel has reported record quarterly earnings despite headwinds from rising cost of raw materials, with net profit more than doubling on the back of an exportled jump in volume sold. For the quarter ending December 2017, consolidated net profit increased almost 148 per cent from a year ago to Rs 1,774 crore, beating Bloomberg analysts’ estimate.


Dabur India: Continuing the growth momentum among consumer goods firms in the October-December 2017 quarter, Dabur India on Wednesday said medium to longterm prospects were robust and that domestic consumer demand would be led by a revival in rural markets. The company reported 13 per cent increase in consolidated net profit at Rs 333 crore for the third quarter ended December 31, 2017, backed by 13 per cent growth in volume."
0,2018-02-01,Bajaj Finserv,"The D-Day is here! Stock investors are jittery over the LTCG issue and likely big doleouts by the Finance Minister Arun Jaitley in his last full Budget before the 2019 general elections. Will the FM draw a fine line?


Let’s check out what all might influence Dalal Street all through the day:

Singapore trading sets stage for positive startAt 7.45 am, Nifty futures on the Singapore Stock Exchange were trading 23.50 points, or 0.21 per cent, higher at 11,082.50, indicating a positive start for the Nifty50 in India.


Tech charts show indecisive Doji pattern
The market on Wednesday saw indecisiveness among traders ahead of the Union Budget 2018, which was best captured by the 'Doji' formation on the daily chart. Analysts advised traders to go into the D-Day with tight strict losses. Rajesh Palviya, Head Technical & Derivatives Analyst at Axis Securities, said should Nifty50 sustain above 11,060, it may scale towards 11,120-11,150 range. 


Jaitley to table Union Budget today
It's a final full Budget for Arun Jaitley before the nation goes to poll next year and it is typical of a pre-election Budget to compromise on macro stability by focusing on short-term gains. Will this Budget be different? Sensex has lost 500-odd points from record high of 36,443.98 hit on Monday.


Key Q3 numbers todayAshok Leyland, Bajaj Finance, Bajaj Finserv, CEAT, MRF, Titan Company and Zee Media are some of the companies which will announce their quarterly earnings on Thursday.


US Fed maintains status quo on policy rate
US Federal Reserve officials, meeting for the last time under Chair Janet Yellen, left borrowing costs unchanged while adding emphasis to their plan for more hikes, setting the stage for an increase in March under her successor Jerome Powell, Bloomberg reported.


US stocks gain in overnight trade
The Dow Jones Industrial Average advanced 72.50 points, or 0.28 per cent, to close at 26,149.39. The S&P 500 index added 1.38 points, or 0.05 per cent, to 2,823.81. The Nasdaq Composite Index settled at 7,411.48, up 9.00 points, or 0.12 per cent.


US private payrolls grow at brisk pace
The ADP national employment report showed private sector employment rose by 234,000 jobs in January, beating economists’ expectations for an increase of only 185,000. December’s payrolls count was revised down to 242,000 from 250,000.


Tata Sons to raise up to $1.8 billion
Tata Sons, the holding company of the Tata Group, would raise about $1.8 billion in fresh loans to extinguish debt in a telecom entity as part of the broader exercise that seeks to make India’s largest conglomerate more focused on enhancing its returns on invested capital.


BoB may sell stakes in units
State-run lender Bank of Baroda plans to sell strategic stakes in many of its subsidiaries in its effort to build value and capitalise from them as it embarks on a new strategy to boost its fee income and steer away from traditional consortium banking. 


Galaxy Surfactants IPO subscribed 20 times 
Speciality chemicals manufacturer Galaxy Surfactants initial public offer was subscribed 19.97 times so far on the last day of bidding on Wednesday. Galaxy Surfactants’ Rs 937-crore IPO received bids for 8,85,08,110 shares against the total issue size of 44,32,174 shares.


ICICI Bank net falls 32% in Q3
ICICI Bank’s net profit fell 32 per cent to Rs 1,650 crore in the December quarter due to lower income from treasury though the pace of addition to the list of NPAs slowed the most in the past nine quarters."
3,2018-02-08,Bajaj Finserv,"NEW DELHI: The Nifty50 index was trading 118 points up at 10,594 around 11:30 am (IST) on Thursday following buying in frontline bluechip counters. 

ETMarkets.com collated a list of trading ideas from various experts and here's what they had recommended for today's afternoon trade:


Manas Jaiswal of manasjaiswal.com
Bajaj Finserv is a 'Buy' call with a target price of Rs 5,150 and a stop loss of Rs 5,030.

Vedanta is a 'Sell' call with a target price of Rs 298 and a stop loss of Rs 314.


Kunal Bothra, independent market expert
InterGlobe Aviation (Indigo) is a 'Buy' call with a target price of Rs 1,330 and a stop loss of Rs 1,240.

V-Guard Industries is a 'Buy' call with a target price of Rs 229 and a stop loss of Rs 213.

ICICI Bank is a 'Buy' call with a target price of Rs 345 and a stop loss of Rs 330.


Click here for more trading ideas.


(Views and recommendations given in this section are the analysts' own and do not represent those of ETMarkets.com. Please consult your financial adviser before taking any position in the stock/s mentioned.)"
