,Date,Company,Article
0,2018-01-01,Bharti Infratel,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.34 crore), Steel Authority of India (SAIL) (0.33 crore) and Punjab National Bank (0.20 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Monday.

Shares of Idea Cellular (0.17 crore), Bank of Baroda (0.14 crore), NHPC (0.13 crore), State Bank of India (0.13 crore), DLF (0.12 crore), Tata Motors (0.09 crore), Sun Pharma (0.07 crore), Tata Power (0.06 crore) and Oil & Natural Gas Corporation (0.06 crore) were also among the most traded stocks on the NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
12,2018-01-01,Bharti Infratel,"Hi there! You are listening to ETMarkets Evening Podcast

This is Abhinav Kaul and I will take you through the motions of today’s session on Dalal Street and bring you cues and trading tips from the market veterans for the upcoming trading sessions.


Volatility was all expected to rise in 2018, but a mysterious selloff on the very first trading day of the new calendar took many traders by surprise, as cues were scanty given most global markets were shut for the day.

Sensex lost 244 points or 0.72 per cent to settle at 33,812.75. 

Nifty50 lost 95.15 points, or 0.90 per cent to 10,435.55. 

Shares of Jaiprakash Associates tumbled over 3 per cent on account of profit booking after the recent rally. 

The scrip closed 3.46 per cent down at Rs 25.10. Shares of the company advanced over 40 per cent during December 22 and December 29.

As many as 40 stocks in Nifty index closed in green with Indiabulls Housing Finance climbing 1.75 per cent followed by Coal India, Cipla, Sun Pharma and IOC. 

On the other hand, Bharti Infratel, TCS, BPCL, IndusInd Bank and Bosch slipped up to 2.40 per cent.

We have Sanjiv Bhasin of India Infoline to share his views on the equity market. 

Byte 1: Sanjiv Bhasin

Shares of Reliance Naval witnessed the biggest spike in open interest at 100 per cent, followed by Reliance Power and Reliance Communications.

Nifty50 made a large bear candle following a late selloff that pulled the index down below its 5-day moving average at close.

We have with us Sneha Seth of Angel Broking to give us some insights on Nifty behaviour on the charts as well as F&O segment.

Byte 2: Sneha Seth

That’s all for now folks. Do check out ETMarkets.com for detailed market analysis and come back for our regular morning podcast on Tuesday. Have a wonderful evening ahead."
11,2018-01-01,Bharti Infratel,"NEW DELHI: Equity benchmarks settled in the negative zone on Monday.

The Nifty50 index closed 95 points down at 10,436, while the 30-share Sensex settled 244 points down at 33,813 on Monday.

Shares of Indiabulls Housing Finance, Coal India, Cipla, Sun Pharma, Indian Oil Corporation and Wipro remained among the 10 stocks that ended the day in the green in the Nifty50 index.

On the other hand, Bharti Infratel, Tata Consultancy Services, IndusInd Bank, Bharat Petroleum Corporation, Bosch and Tata Motors remained the top losers.

Out of 50 stocks in the Nifty50 index, total 40 stocks closed the day in the red.

Shares of Tata Power, Bharat Heavy Electricals (BHEL), State Bank of India, Steel Authority of India (SAIL), Idea Cellular, ITC, Ashok Leyland, NHPC, Punjab National Bank, ICICI Bank and Bank of Baroda stood as the most traded stocks on NSE on Monday.

As many as 127 stocks hit fresh 52-week highs on NSE, compared with 10 stocks that hit fresh 52-week lows."
10,2018-01-01,Bharti Infratel,"NEW DELHI: Pharma stocks Cipla (up 1.07 per cent), Sun Pharmaceutical Industries (up 0.97 per cent), Divi's Laboratories (up 0.65 per cent), Glenmark Pharmaceuticals (up 0.53 per cent), Cadila Healthcare (up 0.25 per cent) and Lupin (up 0.13 per cent) were trading up in afternoon trade on Monday. 

The Nifty Pharma index was trading 0.39 per cent up at 9,657 around 3 pm (IST).

However, GlaxoSmithKline Pharmaceuticals (down 1.37 per cent), Piramal Enterprises (down 0.15 per cent) and Aurobindo Pharma (down 0.07 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was 59 points down at 10,471, while the BSE Sensex was 158 points down at 33,899. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
9,2018-01-01,Bharti Infratel,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
8,2018-01-01,Bharti Infratel,"NEW DELHI: Nifty Realty index hit a fresh 52-week high of 355.60 in Tuesday's trade, backed by gains in shares of Unitech (up 18.75 per cent).

The Nifty Realty index was trading 2.09 per cent up at 354 around 01:20 pm (IST).

Phoenix Mills (up 4.82 per cent), Godrej Properties (up 2.59 per cent), Oberoi Realty (up 1.83 per cent), Housing Development & Infrastructure (up 1.45 per cent), Prestige Estates Projects (up 1.35 per cent), Indiabulls Real Estate (up 0.65 per cent), Delta Corp (up 0.31 per cent) and DLF (up 0.19 per cent) were trading up in the Nifty Realty index.

Sobha (down 1.33 per cent) was the only component in the Nifty Realty index that was trading down around that time.

Benchmark NSE Nifty50 index was 19 points down at 10,512, while the BSE Sensex was 42 points down at 34,015. 

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red. 

Shares of Tata Power, Steel Authority of India (SAIL), Idea Cellular, Ashok Leyland, State Bank of India, Punjab National Bank, NHPC, Bank of Baroda, PFC, Sun Pharma, Tata Motors and DLF were among the most traded stocks on the National Stock Exchange.

In the Nifty 50 index, Indiabulls Housing Finance, Sun Pharma, Wipro, Coal India, Bharti Airtel and Cipla were among the top gainers.

However, Bharti Infratel, Bharat Petroleum Corporation, Tata Consultancy Services, Bajaj Finance, Hindustan Unilever and HCL Technologies were among the top losers."
1,2018-01-01,Bharti Infratel,"NEW DELHI: Shares of Sun Pharma (Rs 66.03 crore), Maruti Suzuki (Rs 59.34 crore) and Tata Motors (Rs 45.39 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Monday.

Shares of Ashok Leyland (Rs 44.23 crore), State Bank of India (Rs 42.98 crore), Reliance Industries (Rs 40.60 crore), Punjab National Bank (Rs 40.54 crore), DLF (Rs 39.72 crore), Steel Authority of India (SAIL) (Rs 38.92 crore), Indiabulls Housing Finance (Rs 33.65 crore), Axis Bank (Rs 32.99 crore) and Bharti Airtel (Rs 32.48 crore) were also among the most active stocks in terms of value on NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
6,2018-01-01,Bharti Infratel,"NEW DELHI: Shares of FCS Software Solutions, General Insurance Corporation of India, Rasoya Proteins, United Breweries (Holdings), Uttam Value Steels and Visesh Infotecnics were the six stocks that hit fresh 52-week lows on NSE in Monday's trade by 11 am (IST).

On the contrary, over 90 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

The Nifty50 index was trading flat at 10,532, while the BSE Sensex was 31 points up at 34,088 around 11 am (IST).

In the Nifty50 index, 24 stocks were in the green, while 26 stocks were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, GAIL and Tata Motors were trading among the gainers.

On the other hand, Bharti Infratel, Hindustan Unilever, Tata Consultancy Services, Vedanta, Hindalco Industries and Adani Ports were trading among the top losers."
2,2018-01-01,Bharti Infratel,"NEW DELHI: Most of the bank stocks, including IndusInd Bank (down 1.52 per cent), ICICI Bank (down 1.18 per cent), Kotak Mahindra Bank (down 1.01 per cent), HDFC Bank (down 0.96 per cent), Punjab National Bank (down 0.96 per cent), State Bank of India (down 0.90 per cent) and YES Bank (down 0.81 per cent) settled in the negative zone on Monday.

The Nifty Bank index settled 0.87 per cent down at 25,318 around 04:15 pm (IST).

However, shares of IDFC Bank (up 1.11 per cent), Bank of Baroda (up 0.53 per cent), Axis Bank (up 0.27 per cent), Federal Bank (up 0.18 per cent) and Canara Bank (up 0.08 per cent) settled in the green zone. 

The Nifty50 index closed 95 points down at 10,436, while the 30-share Sensex settled 244 points down at 33,813 on Monday.

Shares of Indiabulls Housing Finance, Coal India, Cipla, Sun Pharma, Indian Oil Corporation and Wipro remained among the 10 stocks that ended the day in the green in the Nifty50 index.

On the other hand, Bharti Infratel, Tata Consultancy Services, IndusInd Bank, Bharat Petroleum Corporation, Bosch and Tata Motors remained the top losers.

Out of 50 stocks in the Nifty50 index, total 40 stocks closed the day in the red."
3,2018-01-01,Bharti Infratel,"NEW DELHI: Over 80 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

Jindal Saw, Jindal Steel & Power, KPIT Technologies, United Spirits, PC Jeweller, Raymond, Reliance Power, Steel Authority of India, Unitech and V-Guard Industries were also among the stocks that hit fresh 52-week highs today.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.1 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
