,Date,Company,Article
2,,Britannia,
0,2018-01-01,Britannia,"NEW DELHI: Domestic equity markets are likely to open in the red on Monday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues. 

 At 7.55 am (IST), Nifty futures on SGX were trading 34 points, or 0.32 per cent, down at 10,524, indicating a weak start for the Nifty50. 

Here is a list of top stocks that are likely to be in focus in today's trading session: 


Auto stocks: Shares of auto companies will remain in focus as auto companies will start declaring monthly sales numbers for December 2017. Many auto makers had offered huge year-end discounts during the month, the impact of which is to be seen on sales data later in the day.


Britannia Industries: Biscuit maker Britannia has started selling chocolate wafers, competing with brands such as Nestle’s Kit Kat. The company has extended its Pure Magic biscuit brand to chocolate wafers, in the format of slabs of chocolate on top of biscuits.


IDBI Bank: Public sector IDBI Bank has received capital infusion of Rs 2,729 crore from the government.

Lupin: 
Foreign brokerage UBS said that the near-term headwinds for Lupin will continue. Key US launches likely from FY19-end, it said adding that the pricing environment remains tough. The brokerage has 'buy' recommendation on the stock with a target of Rs 970.


Bajaj Group stocks: The Bajaj Group’s promoters have initiated the process of passing on their wealth to the younger generation as part of succession planning by realigning their ownership through the purchase and sale of stock in various listed group companies among themselves. The trades took place last week among Madhur Bajaj and his wife Kumud; Nirav Bajaj, son of Niraj Bajaj; and Anant Bajaj, son of Bajaj Electricals chairman Shekhar Bajaj. More such swaps are likely.

Bank of Baroda: The lender failed to sell bad loans amounting to Rs 2,300 crore last week due from Bhushan Steel and Essar Steel as the reserve price was above market rates and only overseas investors and private equity funds were allowed to bid, said two senior bank executives.

Coal India: Coal India will auction long-term coal supply contracts to electricity generation plants that do not have power purchase agreements on January 15, a company official said. The offer is for about 15 million tonnes of coal, which will be supplied after the utilities sign power purchase agreementswithelectricity distribution companies.

SAIL: The joint venture agreement between Steel Authority of India (SAIL) and ArcelorMittal will have a non-compete clause to protect the interest of the proposed firm, says the state-run firm’s chairman PK Singh. 


Mphasis: HSBC has maintained hold rating on Mphasis and revised target price to Rs 680 from Rs 555. The brokerage said it has increased target price on MphasiS as it has increased the valuation multiple to 16 times 12-month forward earnings given its confidence in the company’s long term growth outlook driven by strong deal wins and improved HP/DXC business outlook. 


KEC International: Kotak Institutional Equities has retained ‘add’ rating on KEC International and revised target price to Rs 405 from Rs 345. The brokerage said its recent meeting with the management of KEC International highlighted the company’s increasing focus on profitability and return ratios."
1,2018-01-01,Britannia,"NEW DELHI: Biscuit maker Britannia has forayed in the chocolate space, extending its Pure Magic biscuit brand to a format of slabs of chocolate on top of biscuits.

“This marks our first time in the real chocolate space and we will retail the product accordingly, with the main focus on modern retail and ecommerce,” Britannia VP marketing Ali Harris Shere said.

The product was launched in Bengaluru and is now being taken to the national level.

“We have started to take risks with innovations. The last very big innovation in biscuits was ITC’s Sunfeast. We believe our new product is the next big disruptor in the category,” Shere said.

Pure Magic is a smaller brand for Britannia than its Good Day and Marie Gold range of biscuits.

“There has been a slackening of biscuit consumption among youth and we believe the new brand under Pure Magic will bring back young adults,” he said. Britannia has a current share of over 30% in the Rs 27,000 crore category, industry officials quoting data from research firm Nielsen said. The company competes with Parle and ITC in biscuits.

 The chocolate category, too, has been facing headwinds, with consumers holding on to discretionary spending on account of slowing sales in rural markets and impulse purchases being impacted by demonetisation, analysts said.
“Confectionery products are largely cash-driven, impulse purchases and the cash-crunch created during demonetisation started in November 2016 partially contributed to the slowdown in confectionary consumption,” Apoorva Nema, consumer markets analyst at digital research firm GlobalData, said in November.

“This is the time to take a leap forward on some strategic initiatives,” Britannia managing director Varun Berry had said at an earnings conference with analysts in November. “One of these is about entering new product categories to become a total foods company.”
He said the other two initiatives would be to make sure the company caters to smaller businesses in a way that they get the required focus and to enter new territories internationally, targeting one new geography every year.

Britannia, which reported an 11.5% increase in net profit to Rs 261 crore for the quarter ended September, has identified driving premium products, stepping up distribution and attaining cost leadership as core focus areas. 

Berry added that while double-digit revenue growth in the quarter was a given for most companies because of the base effect of demonetisation in 2016, he was not confident of sustained double-digit growth yet. “But having said that, everything seems to be moving in the right direction,” he said."
2,2018-01-03,Britannia,"NEW DELHI: Many FMCG stocks, including Jubilant Foodworks (up 2.48 per cent), United Breweries (up 1.87 per cent), Dabur India (up 1.70 per cent) and Hindustan Unilever (up 1.21 per cent) were trading in the green in afternoon trade on Wednesday, keeping the Nifty FMCG index up. 

The Nifty FMCG index was trading 0.50 per cent up at 26,665 around 02:45 pm (IST).

Shares of Emami (up 0.74 per cent), Godrej Consumer Products (up 0.65 per cent), Britannia Industries (up 0.45 per cent), ITC (up 0.23 per cent) and Procter & Gamble Hygiene & Healthcare (up 0.12 per cent) were also trading up around that time.

However, GlaxoSmithKline Consumer Healthcare (down 2.07 per cent), Marico (down 1.01 per cent), Colgate-Palmolive (India) (down 0.48 per cent) and United Spirits (down 0.13 per cent) were trading down in the FMCG index around that time. 

Benchmark NSE Nifty50 index was trading flat at 10,443, while the BSE Sensex was 12 points down at 33,799. 

Among the 50 stocks in the Nifty50 index, 27 were trading in the green, while 23 were in the red. 

In the Nifty 50 index, Adani Ports SEZ, ICICI Bank, Tech Mahindra, Hindalco Industries, Larsen & Toubro and Hindustan Unilever were among the top gainers.

However, Dr Reddy's Labs, Wipro, Oil & Natural Gas Corporation, Bajaj Auto, Tata Motors and Maruti Suzuki were among the top losers."
3,2018-01-04,Britannia,"NEW DELHI: The Nifty FMCG index was trading on a choppy note in afternoon trade on Thursday.

The Nifty FMCG index was trading 0.01 per cent up at 26,652 around 02:50 pm (IST).

Shares of United Spirits (up 1.37 per cent), Godrej Industries (up 0.62 per cent), Marico (up 0.34 per cent), United Breweries (up 0.18 per cent), Godrej Consumer Products (up 0.17 per cent), ITC (up 0.11 per cent) and Dabur India (up 0.10 per cent) were trading up in the Nifty FMNG index.

On the contrary, Britannia Industries (down 1.23 per cent), Jubilant Foodworks (down 1.06 per cent), Procter & Gamble Hygiene & Healthcare (down 0.68 per cent), Colgate-Palmolive (India) (down 0.57 per cent), Tata Global Beverages (down 0.45 per cent) and GlaxoSmithKline Consumer Healthcare (down 0.22 per cent) were trading down in the FMCG index around that time. 

Shares of NHPC, Punjab National Bank, State Bank of India, Steel Authority of India (SAIL), Bank of Baroda, Ashok Leyland, Bharat Heavy Electricals (BHEL), Idea Cellular, Oil and Natural Gas Corporation, Hindalco Industries, ITC and Tata Motors were among the most traded stocks on the NSE.

In the Nifty 50 index, Tata Steel, Larsen & Toubro, Oil and Natural Gas Corporation, Dr Reddy's Labs, Coal India and Asian Paints were among the top gainers.

However, Eicher Motors, Tata Motors, HCL Technologies, Infosys, Hero MotoCorp and Power Grid Corporation were among the top losers."
4,2018-01-05,Britannia,"NEW DELHI: The Nifty FMCG index was trading 0.37 per cent up at 26,788 around 01:40 pm (IST), with shares of Jubilant Foodworks (up 3.08 per cent), United Spirits (up 2.73 per cent) and United Breweries (up 2.61 per cent) surging up to 3 per cent.

Shares of Godrej Industries (up 1 per cent), Colgate-Palmolive (India) (up 0.97 per cent), Procter & Gamble Hygiene & Healthcare (up 0.43 per cent), Britannia Industries (up 0.35 per cent), Hindustan Unilever (up 0.21 per cent), ITC (up 0.21 per cent), Emami (up 0.09 per cent) and Tata Global Beverages (up 0.05 per cent) were also trading up in the FMCG index.

However, GlaxoSmithKline Consumer Healthcare (down 0.71 per cent), Godrej Consumer Products (down 0.45 per cent), Dabur India (down 0.17 per cent) and Marico (down 0.03 per cent) were trading down in the Nifty FMCG index around that time. 

Benchmark NSE Nifty50 index was 33 points up at 10,538, while the BSE Sensex was 134 points up at 34,104.

Among the 50 stocks in the Nifty50 index, 30 were trading in the green, while 20 were in the red. 

Shares of Idea Cellular, YES Bank, Bharat Heavy Electricals (BHEL), Steel Authority of India (SAIL), Punjab National Bank, State Bank of India, NTPC, Tata Power, Bank of Baroda and Vedanta were among the most traded stocks on NSE.

In the Nifty 50 index, YES Bank, Adani Ports SEZ, Bharti Airtel, IndusInd Bank, Bajaj Finance and Eicher Motors were among the top gainers.

However, Oil & Natural Gas Corporation, Bharat Petroleum Corporation, Indian Oil Corporation, Hindalco Industries, UPL and Hindustan Petroleum Corporation were among the top losers."
5,2018-01-08,Britannia,"By G Chokkalingam


I hold 7,000 shares of Idea Cellular at Rs 111. Please suggest your view on the stock. — ROHIT AGGARWAL
Sell around Rs 125, as peaking out of mobile penetration and intensive competition in this oligopolistic market would continue to pressurise the margins of IDEA in the near future.

I hold 107,150 shares of Shree AshtaVinayak Cine Vision at Rs 3.82. Will you please help me how to recover the loss? — VEERINDER PRATAP
After the dematerialisation of shares became successful, there is no hope for recovering any money by selling physical shares of suspended companies to the waste paper vendor also. Kindly take it as a lesson to invest in quality stocks based on management quality, valuation comfort and balance sheet strength.


I would like to invest in Tata Global, Maruti, IGL and City Union Bank for 5 years. Please suggest if I can go ahead with this or any other stocks in these sectors you suggest? — MUNISH SAHGAL
Maruti and IGL are good to invest for the 5-year period. Instead of Tata Global, consider Britannia Industries, and South Indian Bank in place for City Union Bank for the long-term investments.


I bought 100 shares of Gati at Rs 148, 50 of Hudco at Rs 44, and 100 shares of Kridhan Infra at Rs 80. Kindly advise whether to hold or sell?—RK GUPTAHold GATI with a target price of around Rs 150 and also Hudco with a target price of around Rs 95. However, Kridhan Infra trades at fair valuation of over 22 times FY2018 expected earnings, hence, sell the stock on any further rise.


I hold REC at Rs 167, Mirza International at Rs 162 and Karur Vysya Bank at 120. I am a long-term investor. Please suggest me about that. SURENDERA SINGH RANA
Hold both REC and Karur Vysya Bank as significant correction in their stock prices in the recent time make them quite attractive at current prices. Sell Mirza International around Rs 173, which is a fair price for the stock (17x FY2019 expected earnings).


I hold HCL Tech at Rs 982. Please suggest a suitable position. — MANASVI MANKAD
Hold HCL Tech with a target price of around Rs 1,000, as in this solid bull market this stock is still trading only around 14 PE on current year’s expected earnings.


I have 2,000 shares of IDFC at Rs 62.9. Tell me about its future.— TRIVEDI ANJAN
You may continue to hold IDFC as its investee company IDFC Bank trades at attractive valuation and has the potential to appreciate significantly.


I have 500 shares of LEEL Electricals bought at Rs 273. What is your viewRs — PRIYANKA SUREDDI
You may hold LEEL (new name of Llyod Electric) as it has emerged as almost zerodebt company (net of cash) after selling consumer durable business and remaining two business segments also have some value-unlocking potential.


(The author is Founder, Equinomics Research & Advisory)"
6,2018-01-08,Britannia,"NEW DELHI: FMCG stocks Jubilant Foodworks (up 1.51 per cent), Colgate-Palmolive (India) (up 1.43 per cent), ITC (up 0.99 per cent), Dabur India (up 0.78 per cent) and Emami (up 0.68 per cent) were trading up in afternoon trade on Monday, keeping the Nifty FMCG index in the green.

The Nifty FMCG index was trading 0.59 per cent up at 27,073 around 02:25 pm (IST).

Shares of United Breweries (up 0.66 per cent), Hindustan Unilever (up 0.41 per cent), Tata Global Beverages (up 0.38 per cent), Britannia Industries (up 0.24 per cent) and Godrej Consumer Products (up 0.15 per cent) were also trading up. 

However, Godrej Industries (down 1.23 per cent), Marico (down 0.73 per cent), United Spirits (down 0.72 per cent), GlaxoSmithKline Consumer Healthcare (down 0.45 per cent) and Procter & Gamble Hygiene & Healthcare (down 0.07 per cent) were trading down in the Nifty FMCG index around that time. 

Benchmark NSE Nifty50 index was 56 points up at 10,615, while the BSE Sensex was up 194 points at 34,347.

Among the 50 stocks in the Nifty50 index, 36 were trading in the green, while 14 were in the red. 

Idea Cellular, SAIL, YES Bank, Sun Pharma, Bharti Airtel, State Bank of India, ITC, NHPC, Punjab National Bank, ICICI Bank, Ashok Leyland and Power Grid Corporation were among the most traded stocks on the National Stock Exchange."
7,2018-01-09,Britannia,"BENGALURU: Bengaluru-based Innoviti Payment Solutions has announced the induction of former Britannia and Unilever executive. Neeraj Chandra to its advisory board, said a company statement issued today. 

The move is part of Innoviti’s growth plans for scaling up its flagship solutions – uniPAY NEXT and smelending.com - post its recent $18 million Series B fund raise in July 2017.

As part of his role on the company’s advisory board, Chandra will be advising Rajeev Agrawal, Innoviti’s CEO and the leadership team, on the go-to-market strategy, product roadmap and organisational structure evolution to meet the requirements of the company’s long-term strategic vision. 

“Neeraj’s presence on our advisory board will be a great asset as we look to ramp up our payment solutions businesses. His diverse expertise across sales, marketing and business strategy roles will help us in accelerating our growth in both domestic and international markets, as well as providing the requisite mentorship and guidance to our young and energetic team,” said Rajeev Agrawal. 

An alumnus of IIM Ahmedabad and IIT Kanpur, Chandra was previously associated with Emami as the CEO of their consumer care division. Prior to that he held a variety of leadership roles including COO at Britannia and regional brand director for Asia at Unilever.

Innoviti’s technologies have been at the forefront of setting new benchmarks for how retail businesses can seamlessly and cost effectively handle both their payment acceptance processing and their business credit needs, said Chandra.

Innoviti processes over Rs. 20,000 crore of payment transactions annually including Rs. 1000 crore of credit. It is India’s only payments company that can process transactions through any channel – be it web, mobile, in-store or at the time of delivery."
8,2018-01-09,Britannia,"NEW DELHI: Most of the FMCG stocks, including Britannia Industries (down 1.23 per cent), Emami (down 1.13 per cent), Dabur India (down 1.05 per cent), United Spirits (down 0.93 per cent), Tata Global Beverages (down 0.57 per cent) and Hindustan Unilever (down 0.54 per cent) were trading down in afternoon trade on Tuesday.

Shares of Godrej Consumer Products (down 0.52 per cent), Jubilant Foodworks (down 0.44 per cent), Colgate-Palmolive (India) (down 0.30 per cent), Marico (down 0.25 per cent), Godrej Industries (down 0.23 per cent) and GlaxoSmithKline Consumer Healthcare (down 0.15 per cent) were also seen in the red zone.

However, gains in index heavyweight ITC (up 1.32 per cent) and United Breweries (up 0.10 per cent) were keeping the Nifty FMCG index up.

The Nifty FMCG index was trading 0.22 per cent up at 27,181 around 1 pm (IST). 

Benchmark NSE Nifty50 index was 2 points up at 10,626, while BSE Sensex was 53 points up at 34,406. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

Coal India, Idea Cellular, ITC, Ashok Leyland, Tata Motors, State Bank of India, Punjab National Bank, NMDC, YES Bank, SAIL, Tata Power and Bank of Baroda were among the most traded stocks on NSE.

Coal India, ITC, reliance Industries were leading the Nifty50 pack.

Eicher Motors, Zee Entertainment Enterprises, Hindalco Industries and Hindustan Petroleum Corporation were among the laggards in the Nifty50 index."
