,Date,Company,Article
1,2018-01-01,Cipla,"NEW DELHI: Shares of Balkrishna Paper Mills (down 7.43 per cent), PBA Infrastructure (down 6.29 per cent), California Software Company (down 4.99 per cent), Bombay Rayon Fashions (down 4.97 per cent) and Parenteral Drugs (India) (down 4.50 per cent) cracked up to 7 per cent on NSE in morning trade on Monday, reflecting the bearish mood of the market. 

On the other hand, Arihant Foundations & Housing (down 4.47 per cent), BLB (down 4.40 per cent), ANG Industries (down 4.40 per cent), Paramount Communications (down 4.34 per cent) and HB Stockholdings (down 4.30 per cent) declined over 4 per cent.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.10 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
0,2018-01-01,Cipla,"NEW DELHI: Over 80 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

Jindal Saw, Jindal Steel & Power, KPIT Technologies, United Spirits, PC Jeweller, Raymond, Reliance Power, Steel Authority of India, Unitech and V-Guard Industries were also among the stocks that hit fresh 52-week highs today.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.1 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
3,2018-01-01,Cipla,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
4,2018-01-01,Cipla,"NEW DELHI: Pharma stocks Cipla (up 1.07 per cent), Sun Pharmaceutical Industries (up 0.97 per cent), Divi's Laboratories (up 0.65 per cent), Glenmark Pharmaceuticals (up 0.53 per cent), Cadila Healthcare (up 0.25 per cent) and Lupin (up 0.13 per cent) were trading up in afternoon trade on Monday. 

The Nifty Pharma index was trading 0.39 per cent up at 9,657 around 3 pm (IST).

However, GlaxoSmithKline Pharmaceuticals (down 1.37 per cent), Piramal Enterprises (down 0.15 per cent) and Aurobindo Pharma (down 0.07 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was 59 points down at 10,471, while the BSE Sensex was 158 points down at 33,899. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
2,2018-01-01,Cipla,"NEW DELHI: Nifty Realty index hit a fresh 52-week high of 355.60 in Tuesday's trade, backed by gains in shares of Unitech (up 18.75 per cent).

The Nifty Realty index was trading 2.09 per cent up at 354 around 01:20 pm (IST).

Phoenix Mills (up 4.82 per cent), Godrej Properties (up 2.59 per cent), Oberoi Realty (up 1.83 per cent), Housing Development & Infrastructure (up 1.45 per cent), Prestige Estates Projects (up 1.35 per cent), Indiabulls Real Estate (up 0.65 per cent), Delta Corp (up 0.31 per cent) and DLF (up 0.19 per cent) were trading up in the Nifty Realty index.

Sobha (down 1.33 per cent) was the only component in the Nifty Realty index that was trading down around that time.

Benchmark NSE Nifty50 index was 19 points down at 10,512, while the BSE Sensex was 42 points down at 34,015. 

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red. 

Shares of Tata Power, Steel Authority of India (SAIL), Idea Cellular, Ashok Leyland, State Bank of India, Punjab National Bank, NHPC, Bank of Baroda, PFC, Sun Pharma, Tata Motors and DLF were among the most traded stocks on the National Stock Exchange.

In the Nifty 50 index, Indiabulls Housing Finance, Sun Pharma, Wipro, Coal India, Bharti Airtel and Cipla were among the top gainers.

However, Bharti Infratel, Bharat Petroleum Corporation, Tata Consultancy Services, Bajaj Finance, Hindustan Unilever and HCL Technologies were among the top losers."
5,2018-01-03,Cipla,"NEW DELHI: Pharma stocks Dr. Reddy's Laboratories (down 2.68 per cent), Aurobindo Pharma (down 0.80 per cent), Glenmark Pharmaceuticals (down 0.30 per cent) and Sun Pharmaceutical Industries (down 0.13 per cent) dragged the Nifty Pharma index down in afternoon trade on Wednesday.

The Nifty Pharma index was trading 0.19 per cent down at 9,548 around 01:25 pm (IST).

However, shares of Divi's Laboratories (up 2.59 per cent), GlaxoSmithKline Pharmaceuticals (up 0.71 per cent), Lupin (up 0.55 per cent), Cadila Healthcare (up 0.20 per cent), Cipla (up 0.18 per cent) and Piramal Enterprises (up 0.09 per cent) were trading up in the Nifty Pharma index around that time. 

Benchmark NSE Nifty50 index was 30 points up at 10,472, the BSE Sensex was 72 points up at 33,885. 

Among the 50 stocks in the Nifty50 index, 33 were trading in the green, while 17 were in the red. 

In the Nifty index, Adani Ports & Special Economic Zone, Tech Mahindra, Hindustan Petroleum Corporation, Hindalco Industries, Larsen & Toubro and ICICI Bank were trading among the top gainers.

On the contrary, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Bajaj Auto, Tata Motors, Maruti Suzuki India and Wipro were trading among the top losers in the Nifty pack of stocks."
6,2018-01-04,Cipla,"NEW DELHI: Gains in shares of Dr. Reddy's Laboratories (up 2.41 per cent), Sun Pharmaceutical Industries (up 1.41 per cent), Cipla (up 0.77 per cent), Cadila Healthcare (up 0.77 per cent), Aurobindo Pharma (up 0.37 per cent) and Divi's Laboratories (up 0.29 per cent) were keeping the Nifty Pharma index in the green zone in Thursday's trade.

The Nifty Pharma index was trading 0.73 per cent up at 9,589 around 02:40 pm (IST). 

However, Piramal Enterprises (down 1.45 per cent), Glenmark Pharmaceuticals (down 0.41 per cent) and Lupin (down 0.03 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was up by 48 points at 10,491, while the BSE Sensex was 142 points up at 33,936.

Among the 50 stocks in the Nifty50 index, 30 were trading in the green, while 20 were in the red. 

Shares of NHPC, Punjab National Bank, State Bank of India, Steel Authority of India (SAIL), Bank of Baroda, Ashok Leyland, Bharat Heavy Electricals (BHEL), Idea Cellular, Oil and Natural Gas Corporation, Hindalco Industries, ITC and Tata Motors were among the most traded stocks on the NSE.

In the Nifty 50 index, Tata Steel, Larsen & Toubro, Oil and Natural Gas Corporation, Dr Reddy's Labs, Coal India and Asian Paints were among the top gainers.

However, Eicher Motors, Tata Motors, HCL Technologies, Infosys, Hero MotoCorp and Power Grid Corporation were among the top losers."
7,2018-01-08,Cipla,"NEW DELHI: Over 140 stocks, including Adani Enterprises, Bharat Financial Inclusion and Biocon hit fresh 52-week highs on NSE in Monday's trade, reflecting the bullish sentiment of domestic equity market. 

Equity benchmarks Nifty50 and Sensex hit fresh record highs of 10,619 and 34,358, respectively. 

The NSE Nifty index was trading 55 points up at 10,614, while the BSE Sensex was 190 points up at 34,344 around 09:50 am (IST).

Birla Corporation, Dabur India, D B Realty, Jindal Steel & Power, Jubilant Foodworks, Larsen & Toubro, Oil India, Steel Authority of India (SAIL), Sobha, Tata Elxsi, Tata Steel, Tech Mahindra and Titan Company also joined the league of stocks that hit fresh 52-week highs in Monday's trade.

On the other hand, Bombay Rayon Fashions, Gujarat Lease Financing, Khaitan Electricals and United Breweries (Holdings) were the four stocks that hit fresh 52-week lows on NSE in Monday's trade so far.

Shares of Idea Cellular, SAIL, Sun Pharma, YES Bank, Bharti Airtel and NHPC figured among the most traded stocks on NSE.

In the Nifty index, Sun Pharmaceutical Industries, Lupin, Aurobindo Pharma and Cipla were trading among the top gainers.

However, Bharti Airtel, Vedanta, Asian Paints, Hindalco and Tata Steel were trading among the laggards in the Nifty50 index.

Among the 50 stocks in the Nifty50 index, 38 were trading up, while 12 were trading down."
8,2018-01-08,Cipla,"MUMBAI | NEW DELHI: Five pharmaceutical companies including Cipla, Hetero and Dr Reddy’s Laboratories are under the Indian regulator’s scanner for allegedly overcharging for a new Hepatitis C combination which they launched without waiting for price approval.

The National Pharmaceutical Pricing Authority has sent show-cause notices to these companies alleging overcharging for the combination drug used to treat the potentially fatal Hepatitis C virus that harms the liver, said people familiar with the development.

While NPPA had set this drug’s retail price in November, four companies started selling their versions as early as May 2017 for about Rs 1,000 more, without prior price approval from the regulator.

Notices were sent to Hetero Labs, Cipla, Natco Pharma, Mylan Pharmaceuticals and Dr Reddy’s for overcharging for a combination of sofosbuvir (400 mg) and velpatasvir (100 mg), the regulator said in an emailed response to ET. Natco, Mylan and Hetero responded to the notices last week and the replies are “under examination,” it said.


NPPA sought to know how the companies arrived at the prices of their drug brands without due regulatory submissions and approvals, a person familiar with the development told ET on condition of anonymity. The notices specify recovery of overcharged amounts, penalties, a charge of 15% interest and prosecution measures as per the Essential Commodities Act.

“Quantification of overcharging liability with interest and penalty to be calculated after examination of companies’ replies… a penalty not less than 100% of the principal amount shall be imposed in such cases,” NPPA told ET.

Some companies that received the notices said although they had sought pricing price approval before launching the drug, the NPPA had delayed in setting the retail prices.


“It took months to get this (price) approval but in the meantime our patients were demanding (the drug),” said an executive of one company on condition of anonymity. About 60 lakh people in India have Hepatitis C and require access to such medicines, the person added.

NPPA approved a price of Rs 15,625 for the sofosbuvir-velpatasvir combination, excluding taxes, according to a November 2017 notification. Including the Goods and Services Tax, the maximum retail price of the drug is Rs 17,500.

Most brands of this combination were sold at Rs 18,500, according to minutes of an NPPA meeting held that month. Hetero, Dr Reddy’s and Natco were among the first to launch the product in India in May 2017.

“We have received a preliminary notice from NPPA routinely asking for certain information on the product in question.

We are in the process of collating such information to respond to NPPA,” a Cipla spokesperson told ET, adding that no penalty has been levied on the company.

Dr Reddy’s did not share any response with ET. Hetero said it has no comment to offer. Natco and Mylan did not respond to ET’s queries.

Seven sofosbuvir-velpatasvir brands, which are generic versions of California-based Gilead Sciences Inc’s Epclusa, are available in India.

Other companies that have introduced the product include Abbott and Cadila Healthcare, but it could not be confirmed if they were charged under a similar violation. Abbott, which sells it Velpaclear for Rs 17,500, denied receiving any notice from the NPPA. An email sent to Cadila remained unanswered."
9,2018-01-09,Cipla,"NEW DELHI: Most of the pharma stocks including Divi's Laboratories (down 1.90 per cent), Cadila Healthcare (down 1.53 per cent), GlaxoSmithKline Pharmaceuticals (down 1.38 per cent) and Piramal Enterprises (down 1.09 per cent) were trading down in afternoon trade on Tuesday.

The Nifty Pharma index was trading 0.66 per cent down at 9,774 around 01:30 pm (IST).

Aurobindo Pharma (down 0.95 per cent), Dr. Reddy's Laboratories (down 0.71 per cent), Sun Pharmaceutical Industries (down 0.68 per cent), Cipla (down 0.42 per cent) and Lupin (down 0.21 per cent) were also in the negative zone.

Glenmark Pharmaceuticals (up 0.38 per cent) was the only stock in the Nifty Pharma index that was trading up. 

Benchmark NSE Nifty50 index was 12 points down at 10,611, BSE Sensex was 6 points up at 34,359.

Among the 50 stocks in the Nifty50 index, 18 were trading in the green, while 32 were in the red. 

In the Nifty 50 index, Coal India, ITC, Ambuja Cements, Reliance Industries, YES Bank and Tata Motors were among the top gainers. 

However, Eicher Motors, Zee Entertainment Enterprises, Hindalco, HPCL, Bharti Airtel and Vedanta were among the top losers."
