,Date,Company,Article
0,2018-01-01,Coal India,"NEW DELHI: Domestic equity markets are likely to open in the red on Monday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues. 

 At 7.55 am (IST), Nifty futures on SGX were trading 34 points, or 0.32 per cent, down at 10,524, indicating a weak start for the Nifty50. 

Here is a list of top stocks that are likely to be in focus in today's trading session: 


Auto stocks: Shares of auto companies will remain in focus as auto companies will start declaring monthly sales numbers for December 2017. Many auto makers had offered huge year-end discounts during the month, the impact of which is to be seen on sales data later in the day.


Britannia Industries: Biscuit maker Britannia has started selling chocolate wafers, competing with brands such as Nestle’s Kit Kat. The company has extended its Pure Magic biscuit brand to chocolate wafers, in the format of slabs of chocolate on top of biscuits.


IDBI Bank: Public sector IDBI Bank has received capital infusion of Rs 2,729 crore from the government.

Lupin: 
Foreign brokerage UBS said that the near-term headwinds for Lupin will continue. Key US launches likely from FY19-end, it said adding that the pricing environment remains tough. The brokerage has 'buy' recommendation on the stock with a target of Rs 970.


Bajaj Group stocks: The Bajaj Group’s promoters have initiated the process of passing on their wealth to the younger generation as part of succession planning by realigning their ownership through the purchase and sale of stock in various listed group companies among themselves. The trades took place last week among Madhur Bajaj and his wife Kumud; Nirav Bajaj, son of Niraj Bajaj; and Anant Bajaj, son of Bajaj Electricals chairman Shekhar Bajaj. More such swaps are likely.

Bank of Baroda: The lender failed to sell bad loans amounting to Rs 2,300 crore last week due from Bhushan Steel and Essar Steel as the reserve price was above market rates and only overseas investors and private equity funds were allowed to bid, said two senior bank executives.

Coal India: Coal India will auction long-term coal supply contracts to electricity generation plants that do not have power purchase agreements on January 15, a company official said. The offer is for about 15 million tonnes of coal, which will be supplied after the utilities sign power purchase agreementswithelectricity distribution companies.

SAIL: The joint venture agreement between Steel Authority of India (SAIL) and ArcelorMittal will have a non-compete clause to protect the interest of the proposed firm, says the state-run firm’s chairman PK Singh. 


Mphasis: HSBC has maintained hold rating on Mphasis and revised target price to Rs 680 from Rs 555. The brokerage said it has increased target price on MphasiS as it has increased the valuation multiple to 16 times 12-month forward earnings given its confidence in the company’s long term growth outlook driven by strong deal wins and improved HP/DXC business outlook. 


KEC International: Kotak Institutional Equities has retained ‘add’ rating on KEC International and revised target price to Rs 405 from Rs 345. The brokerage said its recent meeting with the management of KEC International highlighted the company’s increasing focus on profitability and return ratios."
5,2018-01-01,Coal India,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
4,2018-01-01,Coal India,"NEW DELHI: The S&P BSE Power index was trading 1.15 per cent up at 2,409 around 01:10 pm (IST), with shares of Reliance Power (up 17.71 per cent) zooming nearly 18 per cent.

Shares of Reliance Infrastructure (up 4.21 per cent), Suzlon Energy (up 3.60 per cent), GMR Infrastructure (up 3.56 per cent), Tata Power Company (up 3.52 per cent), Adani Power (up 2.88 per cent), CESC (up 1.92 per cent), JSW Energy (up 1.46 per cent), PTC India (up 0.84 per cent), Bharat Heavy Electricals (up 0.76 per cent), CG Power and Industrial Solutions (up 0.75 per cent) and ABB India (up 0.43 per cent) were also trading up in the power index.

However, shares of Adani Transmission (down 0.94 per cent), Torrent Power (down 0.19 per cent) and NTPC (down 0.14 per cent) were trading down around that time. 

Benchmark BSE Sensex was 23 points down at 34,034, while the NSE Nifty50 index was down 13 points down at 10,517.

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Wipro, Sun Pharma, Coal India and Bharti Airtel were leading Sensex index.

On the contrary, Tata Consultancy Services, Hindustan Unilever, ICICI Bank and HDFC were among the top losers."
1,2018-01-01,Coal India,"NEW DELHI: Outperforming the benchmark Sensex, the BSE Smallcap index hit a fresh record high of 19,419 in Monday's trade.

The S&P BSE Smallcap index was trading 185 points up at 19,415, while Sensex was 10 points up at 34,066 around 11.05 am (IST). The Nifty50 index was 2 points down at 10,528.

Shares of Shree Rama Newsprint (up 17.44 per cent), Unitech (up 14.73 per cent), Himachal Futuristic Communications (up 14.51 per cent), IVRCL (up 13.45 per cent), Indosolar (up 10.62 per cent) and Waterbase (up 10 per cent) surged over 10 per cent in the BSE Smallcap index.

However, Flexituff International (down 5.48 per cent), Ricoh India (down 4.99 per cent), Bombay Rayon Fashions (down 4.98 per cent), Jaypee Infratech (down 4.72 per cent) and Jaiprakash Power Ventures (down 4.41 per cent) cracked over 4 per cent in the smallcap space.

Among the 50 stocks in the Nifty50 index, 20 were trading in the green, while 30 were in the red. 

Sun Pharma, ITC, Mahindra & Mahindra, Bharti Airtel, Tata Motors and Coal India were among the top gainers in the Sensex index.

Tata Consultancy Services, Hindustan Unilever, ICICI Bank, HDFC and Tata Steel were among the losers among the Sensex stocks."
2,2018-01-01,Coal India,"NEW DELHI: The S&P BSE Telecom was trading nearly 1 per cent up at 1,689 around 11:40 am (IST), backed by gains in shares of Mahanagar Telephone Nigam (up 15.03 per cent) and Himachal Futuristic Communications (up 13.64 per cent).

Other telecom stocks such as Tejas Networks (up 7.31 per cent), GTL Infrastructure (up 5.88 per cent), Aksh Optifibre (up 4 per cent), GTL (up 3.75 per cent), ITI (up 2.07 per cent), Bharti Airtel (up 1.51 per cent) and Tata Communications (up 0.54 per cent) were also trading up. 

On the other hand, Reliance Communications (down 2.13 per cent), Bharti Infratel (down 0.98 per cent), Tata Teleservices (Maharashtra) (down 0.71 per cent) and Idea Cellular (down 0.65 per cent) were trading down in the telecom index around that time. 

Benchmark BSE Sensex was up 26 points at 34,083, while the NSE Nifty50 index was 2 points up at 10,533. 

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 25 were in the red. 

Sun Pharma, Bharti Airtel, Tata Motors and Coal India were leading the Sensex index.

On the contrary, Hindustan Unilever, Tata Consultancy Services, ICICI Bank and HDFC were among the losers in the Sensex index."
3,2018-01-01,Coal India,"NEW DELHI: Oil & gas stocks, such as Indraprastha Gas (up 2.25 per cent), GAIL (India) (up 1.45 per cent), Petronet LNG (up 1.43 per cent), Oil India (up 1.02 per cent), Indian Oil Corporation (up 0.61 per cent) and Hindustan Petroleum Corporation (up 0.43 per cent) were trading up in Monday's trade.

The S&P BSE Oil & Gas index was trading 0.29 per cent up at 16,331 around 12 pm (IST).

However, Bharat Petroleum Corporation (down 0.58 per cent), Oil and Natural Gas Corporation (down 0.28 per cent), Reliance Industries (down 0.20 per cent) and Castrol India (down 0.10 per cent) were trading down in the BSE Oil & Gas index around that time.

Benchmark BSE Sensex was 7 points up at 34,064, while the NSE Nifty50 index was 2 points down at 10,528.

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Sun Pharma, Bharti Airtel and Coal India were leading the Sensex index.

On the other hand, Tata Consultancy Services, Hindustan Unilever and ICICI Bank were the top drags on the Sensex index."
17,2018-01-02,Coal India,"The Jharkhand government has stopped issuing online permits for transport of coal and iron ore to several companies in the state, including state-run miner Coal India.

Senior officials of the state's Department of Mines and Geology said it was acting on a Supreme Court order of August 2, 2017 in a matter related to mining violations in Odisha. 

The Supreme Court, setting aside views of the earlier UPA government and miners’ lobby, had interpreted a section of the Mines and Mineral (Development and Regulation) Act 1957 (MMDR) dealing with illegal mining in a manner that makes environmental compliance a prerequisite to mining operations.

The Naveen Patnaik government in Odisha is chasing compensation running into tens of thousands of crores, and Jharkhand has followed suit with similar actions against iron ore, manganese and coal miners. Despite a directive from the mines ministry at the Centre for all states to comply with the August 2 judgement, it is unclear when and how other states will act. 

Miners of major minerals in Jharkhand had been issued notices totaling an estimated Rs 24,000 crore. Of this Rs 21,000 crore was due on Coal India which, through three subsidiaries, has significant operations in the state. While confirming that the department was no longer issuing ‘e-chalans’ to those that had not paid, a senior government official said production had not been stopped. “We are waiting for the government to take a call on this,” said an official who asked not to be named. Questions sent to Coal India remained unanswered till the time of going to press.

Industry sources said that so far from a total of more than Rs 3,000 crore sought from iron and manganese miners only about Rs 400 crore had been deposited. Tata Steel, Rungta Group and smaller miners had paid while Steel Authority of India Ltd (SAIL), which has legally contested the claims, is believed to have paid a partial sum.

Last November Odisha’s mines directorate had issued show-cause notices of Rs 20,169 crore to Coal India subsidiary Mahanadi Coalfields (MCL). The government has recovered Rs 8,209 crore (less than half of the Rs 17,500 crore) in compensation before the December 31, 2017 deadline. On the apex court's direction it has ordered shut seven working mines whose lessees failed to deposit their fines.

Unlike Jharkhand, however, Odisha did not apply the year-end deadline to MCL. “We took a legal view that the December 31 deadline was only applicable to iron ore and manganese mines,” said a senior government official. MCL did not share its response to the show-cause notices with ET. It is believed to have argued that it is governed by the Coal Bearing Areas (Acquisition and Development) Act, 1957, and not the MMDR Act.

In an affidavit to the Supreme Court, the mines ministry had said that environment and forest violations while mining must be punished by recovering a rationalised value of the ore. It is unclear, however, whether all its ministries and public sector undertakings are in agreement and ready to pay for their past violations. In a petition in the Odisha High Court, SAIL has argued that the apex court order is “per incuriam (or characterised by lack of due regard to the law or the facts) and not the law declared under Article 141 of the Constitution.”"
15,2018-01-02,Coal India,"NEW DELHI: The S&P BSE Consumer Durables index was trading 0.38 per cent down at 22,645 around 12:55 pm (IST) with shares of Whirlpool of India (down 1.70 per cent), TTK Prestige (down 1.24 per cent), VIP Industries (down 1.10 per cent), PC Jeweller (down 0.63 per cent), Titan Company (down 0.53 per cent) and Bajaj Electricals (down 0.46 per cent) as the top losers. 

However, shares of Crompton Greaves Consumer Electricals (up 0.46 per cent), Symphony (up 0.20 per cent) and Blue Star (up 0.20 per cent) were trading up around that time. 

Benchmark BSE Sensex was 3 points down at 33,809, while the NSE Nifty50 index was 4 points up at 10,439.

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

Tata Motors, Oil and Natural Gas Corporation, Coal India and Mahindra & Mahindra were trading among the top gainers in the Sensex index.

On the contrary, State Bank of India, Maruti Suzuki, Larsen & Toubro and Adani Ports were among the top losers in the Sensex index."
14,2018-01-02,Coal India,"NEW DELHI: The S&P BSE Capital Goods index was trading 0.21 per cent down at 19,170 around 12:40 pm (IST) on Tuesday, with shares of Reliance Naval and Engineering (down 2.23 per cent), Finolex Cables (down 1.69 per cent), SKF India (down 1.57 per cent) and Welspun Corp (down 1.52 per cent) as the top losers.

However, shares of Graphite India (up 8.12 per cent), Thermax (up 3.31 per cent), Bharat Heavy Electricals (up 2.42 per cent), Suzlon Energy (up 2.22 per cent), Siemens (up 1.89 per cent) and ABB India (up 1 per cent) were trading up in the capital goods index around that time. 

Benchmark NSE Nifty50 index was 16 points up at 10,452, while the BSE Sensex was 36 points up at 33,848. 

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 26 were in the red. 

Tata Motors, Oil and Natural Gas Corporation, Coal India and Mahindra & Mahindra were trading among the top gainers in the Sensex index.

On the contrary, State Bank of India, Maruti Suzuki, Larsen & Toubro and Adani Ports were among the top losers in the Sensex index."
13,2018-01-02,Coal India,"NEW DELHI: The S&P BSE Power index was trading 0.09 per cent down at 2,398 around 11:25 am (IST) on Tuesday, with shares of Adani Transmission (down 3.85 per cent), Reliance Power (down 3.71 per cent), GMR Infrastructure (down 2.24 per cent) and Reliance Infrastructure (down 1.88 per cent) as the top losers.

Torrent Power (down 1.61 per cent), CG Power and Industrial Solutions (down 1.29 per cent), NHPC (down 1.24 per cent), Suzlon Energy (down 0.95 per cent), JSW Energy (down 0.82 per cent), KEC International (down 0.50 per cent) and CESC (down 0.47 per cent) were also trading down around that time. 

However, shares of Adani Power (up 1.64 per cent), ABB India (up 1.36 per cent), Siemens (up 1.18 per cent), Bharat Heavy Electricals (up 0.89 per cent), NTPC (up 0.82 per cent), Tata Power Company (up 0.57 per cent) and PTC India (up 0.50 per cent) were trading up in the power index around that time.

Benchmark BSE Sensex was 25 points down at 33,787 NSE Nifty50 index was 6 points down at 10,430. 

Among the 50 stocks in the Nifty50 index, 19 were trading in the green, while 31 were in the red. 

Oil and Natural Gas Corporation (ONGC), Coal India and Tata Motors were the top gainers of the Sensex index.

State Bank of India, Larsen & Toubro, YES Bank and Maruti Suzuki were among the top laggards in the Sensex index."
