,Date,Company,Article
0,2018-01-01,Eicher,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.34 crore), Steel Authority of India (SAIL) (0.33 crore) and Punjab National Bank (0.20 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Monday.

Shares of Idea Cellular (0.17 crore), Bank of Baroda (0.14 crore), NHPC (0.13 crore), State Bank of India (0.13 crore), DLF (0.12 crore), Tata Motors (0.09 crore), Sun Pharma (0.07 crore), Tata Power (0.06 crore) and Oil & Natural Gas Corporation (0.06 crore) were also among the most traded stocks on the NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
3,2018-01-01,Eicher,"Commercial vehicles maker VE Commercial Vehicles today reported a 49.5 per cent increase in total sales at 6,087 units in December.

The company, a joint venture between Volvo Group and Eicher Motors, had sold 4,071 units in December 2016, VE Commercial Vehicles (VECV) said in a statement.

The November sales figure includes 5,955 units of Eicher brand and 132 units of Volvo brand."
1,2018-01-01,Eicher,"NEW DELHI: Shares of Sun Pharma (Rs 66.03 crore), Maruti Suzuki (Rs 59.34 crore) and Tata Motors (Rs 45.39 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Monday.

Shares of Ashok Leyland (Rs 44.23 crore), State Bank of India (Rs 42.98 crore), Reliance Industries (Rs 40.60 crore), Punjab National Bank (Rs 40.54 crore), DLF (Rs 39.72 crore), Steel Authority of India (SAIL) (Rs 38.92 crore), Indiabulls Housing Finance (Rs 33.65 crore), Axis Bank (Rs 32.99 crore) and Bharti Airtel (Rs 32.48 crore) were also among the most active stocks in terms of value on NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
2,2018-01-01,Eicher,"NEW DELHI: Nifty Auto index was appearing choppy in afternoon trade on Monday as the index components Bosch (down 0.82 per cent), Eicher Motors (down 0.72 per cent), Exide Industries (down 0.69 per cent) and Hero MotoCorp (down 0.64 per cent) were experiencing selling pressure. 

The Nifty Auto index was trading 0.01 per cent down at 12,009 around 02:35 pm (IST).

Shares of Bajaj Auto (down 0.44 per cent), TVS Motor Company (down 0.34 per cent), Bharat Forge (down 0.18 per cent) and Tata Motors (down 0.06 per cent) were also in the red. 

However, shares of Apollo Tyres (up 1.25 per cent), Ashok Leyland (up 1.18 per cent), MRF (up 0.97 per cent), Motherson Sumi Systems (up 0.87 per cent), Tata Motors (DVR) (up 0.68 per cent), Mahindra & Mahindra (up 0.12 per cent) and Maruti Suzuki India (up 0.11 per cent) were trading up around that time.

The country's largest car maker Maruti Suzuki India (MSI) today reported 10.3 per cent increase in total sales at 1,30,066 units in December 2017 compared to 1,17,908 units in the same month of 2016, PTI reported. 

On the other hand, Mahindra and Mahindra reported an 8 per cent increase in total sales at 39,200 units in December.

The overall market sentiment was bearish. Benchmark NSE Nifty50 index was 6 points down at 10,524, while the BSE Sensex was flat at 34,057.

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red."
13,2018-01-02,Eicher,"NEW DELHI: That's why it's said always expect the unexpected in the stock market!

After rallying nearly 30 per cent in CY2017 despite analysts repeatedly raising questions over the underlying fundamentals through the year, domestic equities made a listless start to 2018 and shut shop sans any bang on Tuesday amid heavy selling in telecom and financial stocks.

Despite official data showing factory output growth at a five-year peak and global stocks rallying, Dalal Street witnessed a quiet session.

The S&P BSE Sensex closed flat at 33,812, with Tata Motors (up 3 per cent) being the top gainer and telecom major Bharti Airtel (down 2 per cent) the worst laggard. The broader Nifty50 index of the National Stock Exchange (NSE) ended at 10,442, up just 7 points, with 30 of the 50 constituents ending in the red.

Here's a look at the top stocks/sectors that hogged the limelight in today's trade:

 Idea fails to click
Shares of Idea Cellular dropped over 4 per cent during the session, despite the reports that the telecom operator was considering fund raising. According to a report by ET, the Kumar Mangalam Birla-owned company said its board would meet on January 4 to consider a proposal of fund-raising, through preferential allotment, qualified institutional placement, rights issue or such other route as the board of directors may determine in the best interest of the company. The stock closed at Rs 101 on BSE, down 4 per cent.

Agencies

Ramco Systems on a high!Shares of Ramco Systems surged over 6 per cent after the company announced that it had secured an order from the world’s largest and longest running aerial tour company, Papillon Grand Canyon Helicopters, to install Ramco Aviation Suite V5.8 for maintenance and engineering operations of its fleet. Papillon Group’s fleet of 80 rotor and fixed-wing aircraft fly an estimated 600,000 passengers each year along daily sightseeing tours of the Grand Canyon and other US landmarks. Founded in 1965, it has since become the largest aerial tour operator in the world, it said in its press release. The stock ended at Rs 559 apiece, up 6.33 per cent.


Agencies

PSBs bleed Shares of state-run lenders fell the most in trade amid concerns of a margin squeeze after SBI on Monday lowered base rate by 30 basis points. Nifty PSU Bank index slid 1.50 per cent to 3,623 with all the 12 constituents ending in the red. Canara Bank (down 2 per cent), Bank of Baroda (down 2 per cent) and PNB (down 2 per cent) were the top losers in the pack.


Agencies

Advanced Enzymes jumps 13%Shares of enzymes manufacturing company Advanced Enzymes zoomed over 13 per cent in afternoon trade on Tuesday. BSE data showed that a total of 6.34 lakh shares were traded so far compared with average daily volume of 0.16 lakh shares in the past two weeks. The company provides eco-safe solutions to a wide variety of industries like human health care and nutrition, animal nutrition, baking, fruit & vegetable processing, brewing and malting, among others. The stock settled at Rs 312 apiece on BSE, up 12 per cent.


Agencies
GMR Infra slips 6%Shares of GMR Infra dropped over 6 per cent in the trade amid a report suggesting three firms - Adani Power, state-run Neyveli Lignite and Singapore-based Sembcorp Industries - are in the race to acquire majority stake in the company's 1,370-mw thermal power plant in Chhattisgarh. According to an ET report, a consortium of lenders to the commissioned project operated by GMR Chhattisgarh Energy is looking to divest its stake under the strategic debt restructure (SDR) process. The stock, however, pared losses later in the day to close at Rs 21 apiece, down nearly 4 per cent.


Agencies

Spurt in open interestShares of Eicher Motors saw the biggest spike in open interest contracts at 34.64 per cent, followed by Reliance Power (28.47 per cent) and TVS Motor (27.45 per cent).


Agencies"
12,2018-01-02,Eicher,"By Chandan Taparia
The Nifty50 index had a volatile session on Tuesday. It opened in the positive but failed to hold its gain and finally closed on a flat note.

The index recovered from 10,400 level, but failed to close above 10,450. In the process, it formed an Inside Body candle on the daily scale.

Now, it has to hold above 10,450 to see a bounce towards 10,500 and then 10,550 levels, while on the downside, supports are seen at the 10,400 level.

On the options front, maximum Put open interest stood at 10,300 followed 10,400, while maximum Call open interest was at 11,000 followed by 10,600. Fresh Call writing was seen at all strike prices from 10,400 to 10,700 while Put writing was seen at 10,400 and the 10,500 levels. The options band signifies a broader trading band between 10,300 and 10,700 levels for the coming sessions.

India VIX moved up 2.51 per cent to 13.68. The VIX has to hold below 13-12.50 levels to support the overall bullish bias of the market.

Bank Nifty formed a Hammer candle on the daily chart and closed on a flattish note. It has been underperforming the Nifty index and hovering near the 50-day EMA. Now it has to sustain above 25,500 to get stability towards 25,750. On the downside, supports are seen at 25,250 and then 25,000 levels.

Nifty futures closed with a loss of 0.34 per cent at 10,463. Long buildup was seen in TVC Motor, Tata Elexsi, Dish TV, Ashok Leyland, Siemens, BHEL, Jubilant Foodworks, Jain Irrigation and KPIT while shorts were seen in Eicher Motors, Pidilite Industries, Reliance Power, BPCL, Canara Bank, Torrent Power, NIIT Tech, Andhra Bank, Divi’s Lab, Allahabad Bank, Oriental Bank of Commerce and Bank of India.


(Chandan Taparia is Technical & Derivative Analyst at Motilal Oswal Securities. Investors are advised to consult financial advisers before taking an investment calls based on these observations)"
11,2018-01-02,Eicher,"NEW DELHI: Most of the realty stocks, including Unitech (down 4.87 per cent), Delta Corp (down 2.33 per cent), Housing Development & Infrastructure (down 1.87 per cent) and Sobha (down 1.72 per cent) were trading in the negative zone in afternoon trade on Tuesday.

The Nifty Realty index was trading 0.62 per cent down at 346 around 01:30 pm (IST).

Shares of Indiabulls Real Estate (down 1.28 per cent), DLF (down 0.60 per cent), Oberoi Realty (down 0.25 per cent) and Godrej Properties (down 0.11 per cent) were also trading down.

Prestige Estates Projects (up 2.14 per cent) and Phoenix Mills (up 1.25 per cent) were the two components in the nifty Realty index that were up around that time. 

Benchmark NSE Nifty50 index was 8 points up at 10,444, while the BSE Sensex was 2 points up at 33,815. 

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 27 were in the red. One stock was appearing unchanged.

Shares of Ashok Leyland, Tata Power, Bharat Heavy Electricals (BHEL), NMDC, Tata Motors and State Bank of India were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Tata Motors, Bharti Infratel, Oil and Natural Gas Corporation, Tech Mahindra, UPL, Mahindra & Mahindra were among the top gainers.

However, Eicher Motors, Hindustan Petroleum Corporation, Bharat Petroleum Corporation, Indiabulls Housing Finance, Aurobindo Pharma and Maruti Suzuki India were among the top losers."
10,2018-01-02,Eicher,"NEW DELHI: PSU bank stocks, including Bank of Baroda (down 2.17 per cent), Punjab National Bank (down 1.68 per cent), Allahabad Bank (down 1.63 per cent), Bank of India (down 1.56 per cent) and Union Bank of India (down 1.52 per cent) cracked up to 2 per cent in afternoon trade on Tuesday.

The Nifty PSU Bank index was trading 1.23 per cent down at 3,633 around 01:15 pm (IST) with all components in the red.

Shares of Canara Bank (down 1.50 per cent), Syndicate Bank (down 1.44 per cent), Andhra Bank (down 1.11 per cent), State Bank of India (down 1.04 per cent), Oriental Bank of Commerce (down 1.03 per cent) and IDBI Bank (down 0.66 per cent) declined up to 1.50 per cent.

Benchmark NSE Nifty50 index was trading flat at 10,436, while the BSE Sensex was 15 points down at 33,798.

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

Shares of Ashok Leyland, Tata Power, Bharat Heavy Electricals (BHEL), NMDC, Tata Motors and State Bank of India were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Tata Motors, Bharti Infratel, Oil and Natural Gas Corporation, Tech Mahindra, UPL, Mahindra & Mahindra were among the top gainers.

However, Eicher Motors, Hindustan Petroleum Corporation, Bharat Petroleum Corporation, Indiabulls Housing Finance, Aurobindo Pharma and Maruti Suzuki India were among the top losers."
4,2018-01-02,Eicher,"NEW DELHI: Shares of State Bank of India (number of shares traded: 0.31 crore), Tata Power (0.26 crore) and Oil and Natural Gas Corporation (0.23 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Tuesday.

Stocks such as Idea Cellular (0.23 crore), Bharat Heavy Electricals (BHEL) (0.22 crore), Punjab National Bank (0.17 crore), Ashok Leyland (0.14 crore), Steel Authority of India (SAIL) (0.13 crore), NHPC (0.13 crore), Axis Bank (0.11 crore), ITC (0.10 crore) and ICICI Bank (0.10 crore) were also in the league.

The NSE Nifty index was trading 21 points up at 10,457, while BSE Sensex was 44 points up at 33,857 around 09:35 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Oil and Natural Gas Corporation, Bajaj Auto, Mahindra & Mahindra, Dr. Reddy's Laboratories, Coal India, HCL Technologies and Bharti Infratel were trading among the top gainers.

On the other hand, Eicher Motors, Indiabulls Housing Finance, Bharat Petroleum Corporation, State Bank of India, Hindustan Petroleum Corporation and Hindustan Unilever were trading among the losers."
8,2018-01-02,Eicher,"NEW DELHI: Over 60 stocks, including Chambal Fertilizers & Chemicals, D B Realty, Greenply Industries, JVL Agro Industries and Kirloskar Brothers hit fresh 52-week highs on NSE in Tuesday's trade.

KPIT Technologies, Mahanagar Telephone Nigam, Prakash Industries, Reliance Industrial Infrastructure, Reliance Power, Reliance Naval and Engineering, TVS Motor Company and Unitech also joined the club of stocks that hit fresh 52-week highs today.

Equity benchmarks turned choppy after registering a positive start. A fresh spell of selling emerged in metal, PSU banks and FMCG stocks.

The Nifty50 index was 1 point down at 10,434, while the BSE Sensex was 2 points down at 33,810 around 10.25 am (IST).

Shares of State Bank of India, Tata Power, Bharat Heavy Electricals (BHEL), Idea Cellular, Punjab National Bank and Oil and Natural Gas Corporation were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Bharti Infratel, Oil and Natural Gas Corporation, NTPC, HDFC Bank, Coal India and IndusInd Bank were among the top gainers.

However, Indiabulls Housing Finance, Eicher Motors, Hindustan Petroleum Corporation, Bharat Petroleum Corporation, Vedanta and State Bank of India were among the top losers.

In the Nifty pack, 19 stocks were trading in the green, while 31 stocks were in the red."
