,Date,Company,Article
2,2018-01-01,GAIL,"NEW DELHI: Shares of Themis Medicare (20 per cent), Accel Frontline (19.96 per cent), Dynacons Systems & Solutions (19.92 per cent), Gallantt Metal (19.88 per cent) and Sterling Biotech (19.23 per cent) zoomed up to 20 per cent on NSE in Monday's trade, defying the bearish market sentiment.

Moreover, Banaras Beads (16.23 per cent), Ybrant Digital (15.93 per cent), Pearl Polymers (15.93 per cent), Moser Baer (15.63 per cent) and Unitech (15.10 per cent) surged over 15 per cent.

The 30-share Sensex was 24 points up at 34,081, while the 50-share Nifty index was flat at 10,531 around 10.45 am (IST).

In the Nifty50 index, 22 stocks were in the green, while 28 stocks were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, GAIL and Tata Motors were trading among the gainers.

On the other hand, Bharti Infratel, Hindustan Unilever, Tata Consultancy Services, Vedanta, Hindalco Industries and Adani Ports were trading among the top losers."
1,2018-01-01,GAIL,"NEW DELHI: Shares of Sun Pharma (Rs 66.03 crore), Maruti Suzuki (Rs 59.34 crore) and Tata Motors (Rs 45.39 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Monday.

Shares of Ashok Leyland (Rs 44.23 crore), State Bank of India (Rs 42.98 crore), Reliance Industries (Rs 40.60 crore), Punjab National Bank (Rs 40.54 crore), DLF (Rs 39.72 crore), Steel Authority of India (SAIL) (Rs 38.92 crore), Indiabulls Housing Finance (Rs 33.65 crore), Axis Bank (Rs 32.99 crore) and Bharti Airtel (Rs 32.48 crore) were also among the most active stocks in terms of value on NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
5,2018-01-01,GAIL,"State-owned gas utility GAIL India Ltd today said it has commissioned the country's second largest rooftop solar power plant.

The firm has installed a 5.76 MWp (Mega Watt peak) solar plant at its petrochemical complex at Pata in Uttar Pradesh, a company statement said.

The plant over the roofs of warehouses covers a total area of 65,000 square meters.

""With an expected PLF of around 15 per cent annually, over 79 lakh KWh (or units) of electricity is targeted to be generated for captive use of India's largest gas-based petrochemcials plant,"" it said.

Tata Power Solar had in December 2015 commissioned a 12 MW solar rooftop project in Amritsar, which produces more than 150 lakh units of power annually and offset over 19,000 tonne of carbon emissions every year.

India plans to have 40 GW of rooftop photovoltaics (PV) by 2022. This is part of its target of having 175 GW of non-hydro renewables capacity by 2022- made up of 60 GW onshore wind, 60 GW utility-scale solar, 10 GW bio-energy, 5 GW small hydro and 40 GW rooftop solar.

It currently has 60 GW of renewable energy capacity.

GAIL Chairman and Managing Director B C Tripathi said the company as a marketer of benign natural gas is thrilled to integrate captive solar PV towards achieving lower carbon footprint at its installations.

Captive solar power initiative of GAIL will reduce carbon emissions by 6,300 tonnes per annum and help India achieve climate goals, the statement said. ""GAIL's solar rooftop project is also a step under 'Make in India' with Indian vendors entrusted for manufacture, supply and execution."""
3,2018-01-01,GAIL,"NEW DELHI: Shares of FCS Software Solutions, General Insurance Corporation of India, Rasoya Proteins, United Breweries (Holdings), Uttam Value Steels and Visesh Infotecnics were the six stocks that hit fresh 52-week lows on NSE in Monday's trade by 11 am (IST).

On the contrary, over 90 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

The Nifty50 index was trading flat at 10,532, while the BSE Sensex was 31 points up at 34,088 around 11 am (IST).

In the Nifty50 index, 24 stocks were in the green, while 26 stocks were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, GAIL and Tata Motors were trading among the gainers.

On the other hand, Bharti Infratel, Hindustan Unilever, Tata Consultancy Services, Vedanta, Hindalco Industries and Adani Ports were trading among the top losers."
4,2018-01-01,GAIL,"NEW DELHI: Oil & gas stocks, such as Indraprastha Gas (up 2.25 per cent), GAIL (India) (up 1.45 per cent), Petronet LNG (up 1.43 per cent), Oil India (up 1.02 per cent), Indian Oil Corporation (up 0.61 per cent) and Hindustan Petroleum Corporation (up 0.43 per cent) were trading up in Monday's trade.

The S&P BSE Oil & Gas index was trading 0.29 per cent up at 16,331 around 12 pm (IST).

However, Bharat Petroleum Corporation (down 0.58 per cent), Oil and Natural Gas Corporation (down 0.28 per cent), Reliance Industries (down 0.20 per cent) and Castrol India (down 0.10 per cent) were trading down in the BSE Oil & Gas index around that time.

Benchmark BSE Sensex was 7 points up at 34,064, while the NSE Nifty50 index was 2 points down at 10,528.

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Sun Pharma, Bharti Airtel and Coal India were leading the Sensex index.

On the other hand, Tata Consultancy Services, Hindustan Unilever and ICICI Bank were the top drags on the Sensex index."
0,2018-01-01,GAIL,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.34 crore), Steel Authority of India (SAIL) (0.33 crore) and Punjab National Bank (0.20 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Monday.

Shares of Idea Cellular (0.17 crore), Bank of Baroda (0.14 crore), NHPC (0.13 crore), State Bank of India (0.13 crore), DLF (0.12 crore), Tata Motors (0.09 crore), Sun Pharma (0.07 crore), Tata Power (0.06 crore) and Oil & Natural Gas Corporation (0.06 crore) were also among the most traded stocks on the NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
6,2018-01-02,GAIL,"NEW DELHI: The S&P BSE Oil & Gas index was trading 0.44 per cent down at 16,136 around 11:05 am (IST) on Tuesday due to losses in index heavyweights Hindustan Petroleum Corporation (down 2.35 per cent), Bharat Petroleum Corporation (down 1.88 per cent) and Petronet LNG (down 1.54 per cent).

Indraprastha Gas (down 1.28 per cent), Indian Oil Corporation (down 0.85 per cent), Oil India (down 0.82 per cent) and GAIL (India) (down 0.58 per cent) were also trading down around that time. 

However, shares of Oil and Natural Gas Corporation (ONGC) (up 1.79 per cent) and Reliance Industries (up 0.30 per cent) were trading up around that time.

Shares of ONGC got traction after reports emerged that it has discovered a large oil and gas reservoir to the west of its Mumbai High fields in the western offshore.

Benchmark NSE Nifty50 index was up 6 points up at 10,442, while the BSE Sensex was flat at 33,814.

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red. 

Oil and Natural Gas Corporation (ONGC), Wipro, Tata Motors were the top gainers of the Sensex index.

State Bank of India, YES Bank, Adani Ports were among the top laggards in the Sensex index."
9,2018-01-03,GAIL,"NEW DELHI: The S&P BSE Oil & Gas index was trading 0.31 per cent up at 16188 around 11:20 am (IST) on Wednesday, with shares of Hindustan Petroleum Corporation (up 1.56 per cent) and Reliance Industries (up 1.15 per cent) as the top gainers.

Shares of Castrol India (up 0.60 per cent), Petronet LNG (up 0.51 per cent), Indian Oil Corporation (up 0.48 per cent), Oil India (up 0.28 per cent) and GAIL (India) (up 0.05 per cent) were also trading up. 

However, Oil and Natural Gas Corporation (down 0.86 per cent), Indraprastha Gas (down 0.45 per cent) and Bharat Petroleum Corporation (down 0.15 per cent) were trading down around that time.

Benchmark BSE Sensex was 94 points up at 33,906, while the NSE Nifty50 index was 36 points up at 10,478.

Among the 50 stocks in the Nifty50 index, 36 were trading in the green, while 14 were in the red. 

ICICI Bank, Adani Ports, Bharti Airtel, Reliance Industries and State Bank of India were trading among the top gainers in the Sensex index.

Meanwhile, Dr Reddy's, Tata Motors, Infosys and Oil & Natural Gas Corporation were seen under selling pressure."
7,2018-01-03,GAIL,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.38 crore), Coal India (0.33 crore) and Tata Power (0.32 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Wednesday.

Shares of Bharat Heavy Electricals (BHEL) (0.23 crore), Punjab National Bank (0.12 crore), State Bank of India (0.12 crore), NMDC (0.10 crore), Reliance Industries (0.09 crore), Tata Motors (0.09 crore), Vedanta (0.08 crore), Idea Cellular (0.08 crore) and ICICI Bank (0.08 crore) also joined the league of most traded stocks.

Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.

On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
8,2018-01-03,GAIL,"NEW DELHI: Shares of Reliance Industries (Rs 115.39 crore), Coal India (Rs 93.80 crore), Dr Reddy's Labs (Rs 76.03 crore) and Ashok Leyland (Rs 63.11 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Wednesday.

Shares of Maruti Suzuki (Rs 54.16 crore), Tata Motors (Rs 50.91 crore), SBI (Rs 49.38 crore), Titan Co. (Rs 46.19 crore), Tata Power (Rs 44.85 crore), Infosys (Rs 43.73 crore), Bharti Airtel (Rs 38.48 crore) and Vedanta (Rs 36.88 crore) also jooined the club of most active stocks in terms of value. 

Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.

On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
