,Date,Company,Article
1,2018-01-01,Grasim,"Chandan Taparia of Motilal Oswal Securities has a buy call on Grasim Industries with a target price of Rs 1,225.The current market price of Grasim Industries is Rs 1,161.05.Time period given by the analyst is intraday when Grasim Industries price can reach defined target. Chandan Taparia recommended to keep a stop loss at Rs 1,135.Grasim Industries, incorporated in the year 1947, is a Large Cap company (having a market cap of Rs 76,516.91 Crore) operating in Miscellaneous sector.The company’s top management includes Dr.Thomas M Connelly Jr, Mr.Arun Kannan Thiagarajan, Mr.B V Bhargava, Mr.Cyril Shroff, Mr.Dilip Gaur, Mr.Kumar Mangalam Birla, Mr.M L Apte, Mr.N Mohan Raj, Mr.O P Rungta, Mr.Shailendra K Jain, Mr.Sushil Agarwal, Mrs.Rajashree Birla. Company has G P Kapadia Co. as its auditors. As on 30-09-2017, the company has a total of 657,333,545 shares outstanding."
0,2018-01-01,Grasim,"NEW DELHI: Domestic equity markets are likely to open in the red on Monday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues.

ETMarkets.com collated a list of trading ideas from an expert and here's what he had recommended for today's trade:


Chandan Taparia, derivatives and technical analyst, Motilal Oswal Securities
KPIT Technologies is a 'Buy' call with a target price of Rs 192 and a stop loss of Rs 174.

Grasim Industries is a 'Buy' call with a target price of Rs 1,225 and a stop loss of Rs 1,135.

Axis Bank is a 'Buy' call with a target price of Rs 590 and a stop loss of Rs 550.

Tata Motors is a 'Buy' call with a target price of Rs 450 and a stop loss of Rs 423.


(Views and recommendations given in this section are the analysts' own and do not represent those of ETMarkets.com. Please consult your financial adviser before taking any position in the stock/s mentioned.)"
2,2018-01-03,Grasim,"By Chandan Taparia

The Nifty50 index got stuck in a range and followup buying was missing on both sides. The index failed to hold above 10,500 and slipped towards the 10,430 mark before finally closing the day on a flat note.

The index formed a narrow range candle. It now needs a decisive move to get the next leg of rally. It has to hold above 10,450 to witness an upmove towards 10,500 and then 10,550 levels, while on the downside, supports are seen at the 10,400 level.

On the options front, maximum Put open interest stood at 10,300 followed 10,000, while maximum Call OI was at 11,000 followed by 10,600. Fresh Call writing was seen at all strike prices from 10,400 to 10,600, while Put writing was seen at 10,300, 10,400 and 10,500 levels. The option band signified a broader trading band between 10,350 and 10,550 levels for the coming sessions.

India VIX fell 0.42 per cent to 13.62. The VIX has to hold below the 13-12.50 zone to support the overall bullish bias of the market.

Bank Nifty remained between 25,300 and 25,450 levels and closed on a flat note. It has been underperforming the Nifty50 index and is hovering near its 50-DEMA. Now it has to sustain above 25,500 to get stability towards 25,750 level, while on downside, supports are seen at 25,250 and 25,000 levels.

Nifty futures closed flat at 10,472. Long buildup was seen on the counters of Bata India, Jet Airways, Adani Enterprise, Tata Chemicals, Hexaware, PC Jewellers, Jubilant Foodworks, UBL, Titan, Adani Ports, KPIT, Ambuja Cement, India Cement and Amar Raja Battery, while shorts were seen in IGL, BPCL, DCB Bank, Maruti, Voltas, Ajanta Pharma, SRF, Infosys, Grasim and Dr Reddy’s.


(Chandan Taparia is Technical & Derivative Analyst at Motilal Oswal Securities. Investors are advised to consult financial advisers before taking an investment calls based on these observations)"
3,2018-01-05,Grasim,"NEW DELHI: Domestic equity markets are likely to see a flat to positive start on Friday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues.

ET Now spoke to various experts and here's what they have to recommend for today's trade:


CK Narayan of Chart Advise
Titan Company is a 'Buy' call with a target price of Rs 910 and a stop loss of Rs 882.

Tata Steel is a 'Buy' call with a target price of Rs 780 and a stop loss of Rs 750.


Kunal Bothra, independent market expert
Bharat Heavy Electricals (BHEL) is a 'Buy' call with a target price of Rs 110 and a stop loss of Rs 95.

JSW Steel is a 'Buy' call with a target price of Rs 288 and a stop loss of Rs 272.


Manas Jaiswal of manasjaiswal.com
Grasim Industries is a 'Buy' call with a target price of Rs 1,210 and a stop loss of Rs 1,149.

Punjab National Bank is a 'Buy' call with a target price of Rs 186 and a stop loss of Rs 171.


Click here for more trading ideas.

(Views and recommendations given in this section are the analysts' own and do not represent those of ETMarkets.com. Please consult your financial adviser before taking any position in the stock/s mentioned.)"
4,2018-01-05,Grasim,"Manas Jaiswal of manasjaiswal.com has a buy call on Grasim Industries with a target price of Rs 1,210.The current market price of Grasim Industries is Rs 1,166.05.Time period given by the analyst is 'Intra Day' when Grasim Industries price can reach defined target. Manas Jaiswal recommended to keep stoploss at Rs 1,149.Grasim Industries, incorporated in the year 1947, is a Large Cap company (having a market cap of Rs 76,648.38 Crore) operating in Miscellaneous sector.The company’s top management includes Dr.Thomas M Connelly Jr, Mr.Arun Kannan Thiagarajan, Mr.B V Bhargava, Mr.Cyril Shroff, Mr.Dilip Gaur, Mr.Kumar Mangalam Birla, Mr.M L Apte, Mr.N Mohan Raj, Mr.O P Rungta, Mr.Shailendra K Jain, Mr.Sushil Agarwal, Mrs.Rajashree Birla. Company has G P Kapadia Co. as its auditors. As on 30-09-2017, the company has a total of 657,333,545 shares outstanding."
5,2018-01-15,Grasim,"By Chandan Taparia
The Nifty50 index opened in the positive and made a new lifetime high of 10,782 on Monday. It formed an Inverted Hammer pattern at the top and traded near its supply trend line of the monthly chart, but the bulls were not ready to loosen their grip.

Overall, the index has been making higher top and higher bottom, and supports are gradually shifting higher. Now, it has to hold above the 10,700 level to extend its move towards 10,800 and 10,850 levels, while on the downside, supports are seen at 10,650 and 10,600 levels.

On the options front, maximum Put open interest stood at 10,500 followed by 10,600, while maximum Call OI was at 11,000 followed by 10,800. Fresh and significant Put writing was seen at strike prices 10,700, 10,800, 10,750 and 10,600, which is shifting its support, while fresh Call writing at 10,800 could act as an immediate hurdle.

The option band signified a trading band between 10,650 and 10,850 levels.

India VIX moved up 4.19 per cent to 14.30. The VIX has to hold below 13 mark to continue its positive and smooth ride in the market.

The Bank Nifty saw a breakout of the consolidation range by surpassing its previous lifetime high of 25,953 and made a new high of 26,091. It formed a strong bullish candle and needs to hold above 25,750 to extend its move towards 26,200 lavel.

On the weekly chart, maximum Put open interest stood at 26,200 followed by 26,000, while Put writing was seen at all strike prices from 25,500 to 26,000 levels.

Bank Nifty formed a Hammer candle on the daily chart and managed to close near the 25,750 level. It has been underperforming the Nifty index and got stuck in a range between 10,500 and 10,800 levels for last six sessions. Now, it has to sustain above 25,650 to see a move towards 25,950 level, while on downside, supports are seen at 25,500 and then 25,400 levels.

Nifty futures closed in the positive a 0.55 per cent gain at 10,745. Long buildup was seen in HDFC, PC Jeweller, Kotak Bank, ICICI Bank, HDFC Bank, Exide Industries, ACC, M&M Finance, Titan, UltraTech Cement, Grasim and India Cement, while shorts were seen in Eicher Motors, Hero MotoCorp, IndusInd Bank, Bajaj Finance, GAIL, IDFC, OIL, Petronet LNG, Tata Motors DVR and Bharti Infratel.


(Chandan Taparia is Technical & Derivative Analyst at Motilal Oswal Securities. Investors are advised to consult financial advisers before taking an investment calls based on these observations)"
6,2018-01-21,Grasim,"NEW DELHI: Grasim Industries has received green nod for expanding the production of manmade fibre VSF at Bharuch, Gujarat that would entail an investment of Rs 2,560 crore, according to an official document.

The company has four VSF (Viscose Staple Fibre) plants in India, of which two are located in Gujarat, one each in Kharach and Vilayat in Bharuch district.

As per the proposal, the company's Grasim Cellulosic Division wants to expand its Vilayat plant.

In a letter issued to the Grasim Industries, the Union environment ministry has said it has given the environment clearance to the company's proposal on expansion of Vilayat unit subject to compliance of certain conditions.

The company's proposal is to increase the production capacity of VSF from 1,27,750 tonnes per annum (TPA) to Rs 2,55,500 TPA. It also wants to set up a production facility of Solvent Spun Cellulosic Fibre with a capacity of 36,500 TPA.

Besides, the company has proposed to expand the production capacity of Sulphuric Acid from 1,02,300 TPA to 1,82,500 TPA, Carbon Di-Sulphide from 23,725 TPA to 34,675 TPA and captive power plant capacity from 25 MW to 55 MW.

Grasim Industries will undertake the proposed expansion within the existing plant premise spread over 222.63 hectare area at Vilayat.

The project cost is estimated to be Rs 2,560 crore and will create about 2,500 jobs, according to the letter.

In its proposal, the Aditya Birla Group firm has said the proposed expansion in VSF production capacity will cater the increased demand of manmade fibres in the country.

Among major staple fibres, VSF will have better growth due to perfect fit for the higher growing categories in apparel retail segments like women and kids wear, it added."
8,2018-01-22,Grasim,"NEW DELHI: Grasim Industries has received green nod for expanding the production of man-made fibre VSF at Bharuch, Gujarat that would entail an investment of Rs 2,560 crore, according to an official document.

The company has four VSF (Viscose Staple Fibre) plants in India, of which two are located in Gujarat, one each in Kharach and Vilayat in Bharuch district.

As per the proposal, the company's Grasim Cellulosic Division wants to expand its Vilayat plant.

In a letter issued to Grasim Industries, the Union environment ministry has said it has given the environment clearance to the company's proposal on expansion of Vilayat unit subject to compliance of certain conditions.

The company's proposal is to increase the production capacity of VSF from 1,27,750 tonne per annum (TPA) to 2,55,500 TPA. It also wants to set up a production facility of Solvent Spun Cellulosic Fibre with a capacity of 36,500 TPA.

Besides, the company has proposed to expand the production capacity of Sulphuric Acid from 1,02,300 TPA to 1,82,500 TPA, Carbon Di-Sulphide from 23,725 TPA to 34,675 TPA and captive power plant capacity from 25 MW to 55 MW.

Grasim Industries will undertake the proposed expansion within the existing plant premise spread over 222.63 hectare at Vilayat.

The project cost is estimated at Rs 2,560 crore and will create about 2,500 jobs, according to the letter.

In its proposal, the Aditya Birla Group firm has said the proposed expansion in VSF production capacity will cater the increased demand of man-made fibres in the country.

Among major staple fibres, VSF will have better growth due to perfect fit for the higher growing categories in apparel retail segments like women and kids wear, it added."
7,2018-01-22,Grasim,"NEW DELHI: Domestic market is likely to see a flat to negative start on Monday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and cues from other Asian markets. Nifty futures on the Singapore Stock Exchange were trading 2 points, or 0.02 per cent, lower at 10,912 at 8.15 am, indicating a sedate start for the Nifty50 in India. 

Here is a list of top stocks that are likely to be in focus in today's trading session:


ONGC, HPCL: ONGC has agreed to acquire the government's entire 51.11 per cent stake in Hindustan Petroleum for about Rs 37,000 crore in an all-cash deal that would close by month-end. The company will use a mix of debt, cash reserves and proceeds from a planned sale of stakes in IndianOil and GAIL to fund its acquisition. 


Reliance Industries: Reliance Industries Ltd.'s third-quarter net profit of a record Rs 9,423 crore exceeded street estimates by 12 per cent and may reinforce investor confidence in earnings growth, which is being driven by the commissioning of new plants. 


Axis Bank, Havells India and Asian Paints: Axis Bank, Asian Paints, Havells India, GNFC, Just Dial Rallis India, Videocon Industries and DHFL would be among companies that would announce their quarterly earnings on Monday.


Grasim Industries: The company has received green nod for expanding the production of viscose staple fibre at Bharuch, Gujarat that would entail an investment of Rs 2,560 crore, according to an official document.


Wipro: The IT major posted 11.85 per cent quarter-on-quarter fall in consolidated net profit at Rs 1930.10 crore for the quarter ended December 31, 2017. It had posted a net profit of Rs 2,189.60 crore in the corresponding quarter last year. 


Bosch: Germany's diversified Bosch Group is considering to take advantage of the liberalisation of retail FDI policy announced by the government earlier this month to set up company-owned stores in the country for its household appliances business. 


Coal India: The company has earned a premium of 66 per cent from sale of coal in the spot markets so far in the current year as the state-run monopoly slashed the quantity allocated to the power sector in spot auctions while increasing supplies to non-power sectors. 


Parag Milk Foods: The company is expecting a dip in revenue growth to up to 15 per cent per annum over the next three years, and will focus on dairy FMCG products in this period. 


NMDC: The company aims to produce about 45 million tonnes (MT) of iron ore during the next financial year as against the expected 35 million tonnes in the current fiscal, said a top official of the PSU. 


GRUH Finance: Net profit of GRUH Finance rose 28.29 per cent to Rs 82.16 crore in the quarter ended December 2017 as against Rs 64.04 crore during the previous quarter ended December 2016. Sales rose 12.45 per cent to Rs 428.47 crore in the quarter ended December 2017 as against Rs 381.02 crore during the previous quarter ended December 2016.


Future Retail: Future Group is in advanced talks to acquire grocery retailer Foodworld Supermarkets, a deal that could give Kishore Biyani sway over a network of nearly 150 grocery, beauty and personal care stores in southern India, according to several people with knowledge of the matter. 


DCM Shriram: Net profit of DCM Shriram rose 56.13 per cent to Rs 213.35 crore in the quarter ended December 2017 as against Rs 136.65 crore during the previous quarter ended December 2016. Sales rose 30.05 per cent to Rs 1767.58 crore in the quarter ended December 2017 as against Rs 1359.11 crore during the previous quarter ended December 2016.


Godawari Power: Net profit of Godawari Power & Ispat reported to Rs 64.21 crore in the quarter ended December 2017 as against net loss of Rs 13.58 crore during the previous quarter ended December 2016. 


Lux Industries: Net profit of Lux Industries rose 31.20 per cent to Rs 18.46 crore in the quarter ended December 2017 as against Rs 14.07 crore during the previous quarter ended December 2016. Sales rose 28.13 per cent to Rs 295.90 crore in the quarter ended December 2017 as against Rs 230.93 crore during the previous quarter ended December 2016.


GNA Axles: Net profit of GNA Axles rose 55.77 per cent to Rs 12.68 crore in the quarter ended December 2017 as against Rs 8.14 crore during the previous quarter ended December 2016. Sales rose 40.87 per cent to Rs 167 crore in the quarter ended December 2017 as against Rs 118.55 crore during the previous quarter ended December 2016."
10,2018-01-30,Grasim,"NEW DELHI: With the Nifty50 rejig likely in the third week of February, brokerage Edelweiss Securities has come up with a list of possible stocks up for inclusion in the NSE barometer.

The list included Titan, one of Big Bull Rakesh Jhunjhunwala's favourite stocks.

Jhunjhunwala and his better half, Rekha Jhunjhunwala, together held 8.45 per cent stake in the maker of jewellery, watches and eyewear as of December 31 (up from 8.06 per cent in September quarter), which at Monday's price was worth Rs 6,700 crore.

Other analysts, too, are gung-ho on the stock. As many as 25 of 31 analysts tracking the stock on Reuters' Eikon either have a strong ‘buy’ or ‘buy’ recommendations, four have ‘hold' and just two of recommend 'sell' ratings.

Analysts said the owner of jewellery brands such as Tanishq, Zoya and Mia has a strong balance sheet. Besides, it has healthy cash flow from operations, robust return ratios and has no debt on its books.

Rising share of studded jewellery, cost optimisation and operating leverage are likely to aid margins at the firm, analysts said.

The recent aggression to capitalise on opportunities across divisions is heartening. Earnings CAGR is likely to be a massive 36 per cent over FY17-20. The sheer scale of top-line opportunity demands premium valuations, Motilal Oswal Securities said in a recent note.

The stock has surged 146 per cent in last one year. Yet, analysts see scope for further upside.

Titan has been a key beneficiary of migration from unorganised to organised players driven by recent regulatory changes such as gold hallmarking and GST, which is evident from sustained market share gains, ICICI Securities said in a note.

Its business model has the inherent strength that would enable it to capitalise on larger opportunities like wedding jewellery and gain significant share in the segment, thereby providing impetus to revenue, profit growth, the brokerage said in a note.

Ambit Capital expects the jewellery maker's earnings to grow at 33 per cent annually over FY17-22. Even after this, Titan would still command only 8 per cent market share in the jewellery space and 5 per cent in wedding jewellery. This long growth runway implies Titan will continue to command punchy valuations and, hence, current valuation of 53 times FY19E EPS is inexpensive, the brokerage said.

The jewellery industry has grown at 13 per cent CAGR over FY07-17 and its size is pegged at Rs 2,50,000 crore, compared with Titan’s FY17 revenue of Rs 10,400 crore.

Besides jewellery, Titan retails watches and accessories through World of Titan, Helios and Fastrack stores.

The company also offers sunglasses, contact lenses and frames and retails them through Titan Eye Plus stores. The review looks at liquidity, free-float market cap, trading frequency, domicile and availability on the F&O segment as some of the criteria to pick stocks for the Nifty50 pack.

Bajaj Finserv and Grasim Industries are other two stocks, which are likely to be included in the February rejig. Bosch, Ambuja Cements and Aurobindo Pharma are the three stocks that may make way for the likely new index constituents."
