,Date,Company,Article
1,,Hindalco,
102,,Hindalco,
0,2018-01-01,Hindalco,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.34 crore), Steel Authority of India (SAIL) (0.33 crore) and Punjab National Bank (0.20 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Monday.

Shares of Idea Cellular (0.17 crore), Bank of Baroda (0.14 crore), NHPC (0.13 crore), State Bank of India (0.13 crore), DLF (0.12 crore), Tata Motors (0.09 crore), Sun Pharma (0.07 crore), Tata Power (0.06 crore) and Oil & Natural Gas Corporation (0.06 crore) were also among the most traded stocks on the NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
1,2018-01-01,Hindalco,"NEW DELHI: Shares of Sun Pharma (Rs 66.03 crore), Maruti Suzuki (Rs 59.34 crore) and Tata Motors (Rs 45.39 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Monday.

Shares of Ashok Leyland (Rs 44.23 crore), State Bank of India (Rs 42.98 crore), Reliance Industries (Rs 40.60 crore), Punjab National Bank (Rs 40.54 crore), DLF (Rs 39.72 crore), Steel Authority of India (SAIL) (Rs 38.92 crore), Indiabulls Housing Finance (Rs 33.65 crore), Axis Bank (Rs 32.99 crore) and Bharti Airtel (Rs 32.48 crore) were also among the most active stocks in terms of value on NSE.

Domestic equity markets opened on a flat note on Monday following global cues.

The NSE Nifty index was trading 5 points down at 10,526, while the BSE Sensex was 5 points up at 34,062 around 9.50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Cipla, Aurobindo Pharma, Indian Oil Corporation, Bharat Petroleum Corporation and GAIL (India) were trading among the top gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Wipro, Hindalco Industries, Eicher Motors and HCL Technologies were among the losers."
2,2018-01-01,Hindalco,"NEW DELHI: Over 80 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

Jindal Saw, Jindal Steel & Power, KPIT Technologies, United Spirits, PC Jeweller, Raymond, Reliance Power, Steel Authority of India, Unitech and V-Guard Industries were also among the stocks that hit fresh 52-week highs today.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.1 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
3,2018-01-01,Hindalco,"NEW DELHI: Shares of Balkrishna Paper Mills (down 7.43 per cent), PBA Infrastructure (down 6.29 per cent), California Software Company (down 4.99 per cent), Bombay Rayon Fashions (down 4.97 per cent) and Parenteral Drugs (India) (down 4.50 per cent) cracked up to 7 per cent on NSE in morning trade on Monday, reflecting the bearish mood of the market. 

On the other hand, Arihant Foundations & Housing (down 4.47 per cent), BLB (down 4.40 per cent), ANG Industries (down 4.40 per cent), Paramount Communications (down 4.34 per cent) and HB Stockholdings (down 4.30 per cent) declined over 4 per cent.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.10 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
4,2018-01-01,Hindalco,"NEW DELHI: Shares of Themis Medicare (20 per cent), Accel Frontline (19.96 per cent), Dynacons Systems & Solutions (19.92 per cent), Gallantt Metal (19.88 per cent) and Sterling Biotech (19.23 per cent) zoomed up to 20 per cent on NSE in Monday's trade, defying the bearish market sentiment.

Moreover, Banaras Beads (16.23 per cent), Ybrant Digital (15.93 per cent), Pearl Polymers (15.93 per cent), Moser Baer (15.63 per cent) and Unitech (15.10 per cent) surged over 15 per cent.

The 30-share Sensex was 24 points up at 34,081, while the 50-share Nifty index was flat at 10,531 around 10.45 am (IST).

In the Nifty50 index, 22 stocks were in the green, while 28 stocks were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, GAIL and Tata Motors were trading among the gainers.

On the other hand, Bharti Infratel, Hindustan Unilever, Tata Consultancy Services, Vedanta, Hindalco Industries and Adani Ports were trading among the top losers."
5,2018-01-01,Hindalco,"NEW DELHI: Shares of FCS Software Solutions, General Insurance Corporation of India, Rasoya Proteins, United Breweries (Holdings), Uttam Value Steels and Visesh Infotecnics were the six stocks that hit fresh 52-week lows on NSE in Monday's trade by 11 am (IST).

On the contrary, over 90 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

The Nifty50 index was trading flat at 10,532, while the BSE Sensex was 31 points up at 34,088 around 11 am (IST).

In the Nifty50 index, 24 stocks were in the green, while 26 stocks were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, GAIL and Tata Motors were trading among the gainers.

On the other hand, Bharti Infratel, Hindustan Unilever, Tata Consultancy Services, Vedanta, Hindalco Industries and Adani Ports were trading among the top losers."
6,2018-01-01,Hindalco,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
16,2018-01-03,Hindalco,"Dalal Street remained in consolidation mode on Wednesday and both Sensex and Nifty closed on a flat note after paring the day’s gains in the latter half of the session amid mixed global cues.

The 30-share Sensex settled 18 points, or 0.06 per cent, down at 33,793, while the 50-share Nifty index of NSE closed 1 points, or 0.01 per cent, up at 10,443.

More than 25 stocks from the Nifty50 index closed in the green with Adani Ports gaining 2.86 per cent, followed by Larsen & Toubro (up 2.66 per cent), Hindalco (up 1.69 per cent), ICICI Bank (up 1.68 per cent) and Ambuja Cements (up 1.57 per cent).

On the other hand, shares of Dr Reddy’s Labs, Wipro, Bajaj Auto, ONGC and Maruti Suzuki dipped between 1.35 per cent and 3 per cent.

The benchmark equity indices pared some of their gains and ended the session on a flat note amid profit booking in shares of auto and healthcare companies, said Karthikraj Lakshmanan, Senior Fund Manager-Equities, BNP Paribas Mutual Fund.

Let us look at the stocks that remained in the limelight all through the session:


Dr Reddy's drops
Shares of Dr Reddy's Laboratories fell nearly 3 per cent amid reports that an establishment inspection report (EIR) has been issued to the company's Duvvada facility by the USFDA, citing some issues. The scrip settled 2.97 per cent down at Rs 2,336.20.


Agencies

VST Tillers Tractors on a smooth journeyShares of VST Tillers Tractors soared over 4 per cent and hit their fresh 52-week high of Rs 2,678 after the company said sales of power tillers surged 113.5 per cent to 3,004 units in December 2017 over December 2016.

Agencies

Q3 results supported SanwariaShares of Sanwaria Consumer hit upper circuit after December quarter net profit of the company surged 120 per cent to Rs 25.07 crore on 11.92 per cent growth in total income from operations to Rs 1,276.66 crore in Q3 2017 over Q3 2016. The scrip settled 4.84 per cent up at Rs 30.35.


Agencies

@fresh 52-week highAs many as 120 stocks on the National Stock Exchange scaled fresh 52-week highs on Wednesday. The list included Aarti Drugs, Bajaj Electricals, DB Realty, EIH Associated Hotels, Dabur India, Jindal Steel and Power, Jai Corp, Indowind Energy and Graphite India.


Agencies
Spurt in open interestShares of OFSS witnessed the biggest spike in open interest at 43.70 per cent, followed by Jindal Steel and Power (30.68 per cent), Adani Enterprises (30.33 per cent) and Bata India (27.05 per cent).


Agencies

Sagar Cements strengthensSagar Cements surged over 10 per cent to Rs 1,011 on BSE, as the stock extended the recent rally triggered by HDFC Mutual Fund purchasing an additional 2.55 per cent stake in the company.


Agencies"
