,Date,Company,Article
5,,JSW,
1,2018-01-01,JSW,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
0,2018-01-01,JSW,"MUMBAI: Bank of Baroda last week failed to sell bad loans amounting to Rs 2,300 crore due from Bhushan Steel and Essar Steel as the reserve price was above market rates and only overseas investors and private equity funds were allowed to bid, said two senior bank executives.

“As many as 22 foreign and private investors had shown interest in the loan but did not seal the deal,’’ said one of them. “This only shows that the reserve price is unrealistic.”

The Reserve Bank of India has instructed banks to set aside 50 per cent of the loan value as provisions for cases in which insolvency proceedings have begun at the National Company Law Tribunal (NCLT). Bhushan Steel and Essar Steel are among the 12 defaulting companies that RBI directed banks in June to refer to NCLT for resolution.

Of the assets, the Bhushan Steel dues amounted to Rs 1,300 crore loan while those of Essar Steel were Rs 1,000 crore. The bank had set the reserve price at 50 per cent in cash for Bhushan Steel and 60 per cent in cash for Essar Steel.

Bank of Baroda did not reply to queries. A Bank of Baroda executive who did not want to be named said the auction didn’t succeed because funds could not get clearance from overseas parents due to the Christmas and New Year holiday break. The assets could be put up for sale again soon, the person said.

While the reserve prices may appear close to other recent transactions, there’s a difference in that they involve only a part payment being made immediately. This has been the case in deals involving asset reconstruction companies (ARCs), which are looking to pick up assets during the ongoing insolvency process.

ARCs weren’t invited to bid in the Bank of Baroda bad debt auction held last week.

In June, ICICI Bank sold Rs 2,000 crore of loan assets to Edelweiss ARC at a 45 per cent discount in a deal based on the so-called 15:85 structure. The bank gets 15 per cent as immediate payment and the remaining 85 per cent is in the form of security receipts issued by the ARC that’s paid over five to seven years.

Indian Overseas Bank last week sold a Rs 620 crore loan granted to Bhushan Steel to SSG Capital at Rs 376 crore, indicating a haircut of 40 per cent. This deal too was based on the 15:85 structure. “If a deal is under 15:85 structure, the bank is justified in expecting about 40-45 per cent haircut. But if it’s a cash deal, the haircut is much more,” said a bidder from a private equity fund.

For instance, if the Aion Capital-JSW Steel bid for Monnet Ispat is approved by lenders, the haircut could be as high as 75 per cent since it would be an all-cash deal, said one of the persons cited above."
2,2018-01-02,JSW,"KOLKATA | MUMBAI: Steel companies hoping to post strong numbers in the January-March quarter riding on a strong demand pickup have come in for a rude shock. A day into the new year, they were faced with a steep jump in input costs, thanks to a 20-22% hike in iron ore prices announced by state-run miner NMDC.

Large companies like JSW Steel and Essar Steel which do not have captive iron ore mines and a host of other medium and small firms which rely on NMDC to meet the bulk of their ore supplies will be adversely hit.

After the hike, experts said steel production costs are expected to jump at least Rs 1,100-Rs 1,300 per tonne, a substantial increase by industry standards.

On Tuesday, NMDC announced a Rs 500-increase in price of lump ore to Rs 3,100 per tonne, or up 20%, while fines will now be charged at Rs 2,760 per tonne or 22% higher, excluding royalty, district mineral foundation, NMET, cess, forest permit fee and other taxes.

The last time NMDC revised rates was in November 2017 when price of lump ore and fines were fixed at Rs 2,600 per tonne and Rs 2,260, respectively.

A top executive at a large steel company questioned NMDC’s pricing policy adding that the miner is trying to create a shortage of iron ore in the market by exporting more, despite lower export realisation of nearly Rs 560 per tonne.

“The pricing policy of NMDC is not appropriate and it seems like they slowly want to move towards a system where companies have to import more. With prices of coking coal already shooting up, iron ore is the only advantage India has for steel companies, but that is slowly ceasing to be one,” the official said. This will reinforce the distress in the steel industry that already makes up for 24% of NPAs in Indian banks, he added.

Since small merchant miners typically follow NMDC’s ricing policy, the latest revision will establish an overall upward trend in prices, according to industry watchers.

Experts feel there is a shortage in the domestic iron ore market but is not big enough to justify a sharp price increase. An Investec report said an estimated 15-20 mt of production has been hit by non-payment of penalty, leading to supply shortage in Odisha and local ore prices will stay strong unless the state government steps in to raise the mining cap to ease the shortage."
4,2018-01-03,JSW,"NEW DELHI: The Nifty Metal index hit a fresh 52-week high of 4,015.45 in Wednesday's trade, backed by gains in APL Apollo Tubes (up 6.06 per cent) and Jindal Steel & Power (up 5.48 per cent).

The Nifty Metal index was trading 1.39 per cent up at 3,998 around 01:40 pm (IST), with all components in the green.

Shares of Steel Authority of India (SAIL) (up 2.40 per cent), Hindustan Copper (up 2.04 per cent), Jindal Stainless (Hisar) (up 1.81 per cent), Hindalco Industries (up 1.80 per cent), NMDC (up 1.48 per cent), JSW Steel (up 1.40 per cent), Vedanta (up 1.39 per cent) and MOIL (up 1.01 per cent) gained over 1 per cent in Wednesday's trade.

Benchmark NSE Nifty50 index was 29 points up at 10,471, while the BSE Sensex was 70 points up at 33,882.

Among the 50 stocks in the Nifty50 index, 33 were trading in the green, while 17 were in the red. 

In the Nifty 50 index, Adani Ports SEZ, Tech Mahindra, Hindalco Industries, ICICI Bank, Larsen & Toubro and Hindustan Petroleum Corporation were among the top gainers.

However, Dr Reddy's Labs, Bajaj Auto, Oil & Natural Gas Corporation, Maruti Suzuki, Tata Motors and Wipro were among the top losers."
3,2018-01-03,JSW,"Hello! Here’s a lowdown on top macro triggers that may move the market on Wednesday. This report was compiled from agency feeds.


Now Comes the Electoral Bonds 
Finance minister Arun Jaitley has unveiled the framework for electoral bonds aimed at cleaning up political funding with conditions such as a limited tenure and eligibility restricted to parties with a track record of at least one election. Jaitley had pledged to establish a system for party donations that would help stamp out black money as a source of funding in his February 2017 Budget in the wake of demonetisation. Donors can buy these bonds and give them to the party of their choice. The party can encash them through designated bank accounts within 15 days. Electoral bonds would be issued/purchased for any value in multiples of ₹1,000, ₹10,000, ₹1 lakh, ₹10 lakh and ₹1crore from specified branches of SBI.


New Insolvency Rule
The liquidation value of a company undergoing insolvency proceedings will be kept confidential, a change that seeks to maximise the realisation for creditors.The Ministry of Skill Development & Entrepreneurship, which funds the sector skill councils through the National Skill Development Corporation, has told them to ensure that their industry partners provide jobs to people who have been trained and that these numbers must be reflected on the smart portal created for the purpose. The Insolvency and Bankruptcy Board of India (IBBI) has amended the regulations to provide for this confidentiality and has also clearly defined ""dissenting creditor"" to bring more clarity to the insolvency and bankruptcy process. 


Anti-dumping Duty Likely on Chinese Chemical Imports 
India is likely to impose anti- dumping duty of up to USD 397 per tonne on a Chinese chemical used in construction and dyes industry. The move is aimed at guarding domestic players from cheap imports of 'Sulphonated Naphthalene Formaldehyde' from the neighbouring country. Commerce ministry's investigation arm Directorate General of Anti dumping and Allied Duties (DGAD) in its final findings has concluded that the product has been exported to India from China below its normal value and it has resulted in dumping. 


Hike in Iron Ore Prices to Raise Cost of Steel 
Steel companies hoping to post strong numbers in the January-March quarter riding on a strong demand pickup have come in for a rude shock. A day into the new year, they were faced with a steep jump in input costs, thanks to a 20-22% hike in iron ore prices announced by state-run miner NMDC. Large companies like JSW Steel and Essar Steel which do not have captive iron ore mines and a host of other medium and small firms which rely on NMDC to meet the bulk of their ore supplies will be adversely hit. After the hike, experts said steel production costs are expected to jump at least Rs 1,100-Rs 1,300 per tonne, a substantial increase by industry standards. 


More Than 5 Lakh Indian Tech Workers May Return to India
India may be looking at more than 500,000 of its ""skilled"" work force returning home from America if a proposal by the Trump administration not to extend H-1B visa of those waiting for permanent residency (Green Card) is implemented. The Department of Homeland Security is said to be considering new regulations that would prevent H-1B visa extensions as part of President Donald Trump's ""Buy American, Hire American"" initiative promised during the 2016 campaign. If an H-1B visa holder has applied for a Green Card at the end of his six-year stay, then he or she will have to exit the United States till the processing is complete. 


I-T Dept to Seek Restoration of Some ‘Struck Off’ Companies 
The income tax department will seek restoration of deregistered companies that have pending income tax liabilities. The Central Board of Direct Taxes has asked assessing officers to request the restoration of companies ""struck off"" so that the government can recover tax dues. ""The Board has decided that request/appeal for restoration of name of the struck off company with retrospective date from the date of being 'struck off"" shall be made by the income tax department,"" it said in a letter. The ministry of corporate affairs deregistered 2.24 lakh companies under section 248 (5) of the Companies Act for not complying with regulatory filings. 


1% GST for Manufacturers under Composition Scheme 
The government has notified lower 1% GST rates for manufacturers who have opted for composition scheme as well as easier norms for traders opting for it. The finance ministry has notified the changes decided by the GST Council, chaired by Union Finance Minister Arun Jaitley and comprising state counterparts, in November 2017. The notification stipulates that manufacturers who have opted for composition scheme will now have to pay 1% Goods and Services Tax (GST) as against 2% earlier. 



Top Video

FM Jaitley Eyes Rs 1 Lakh Cr from Divestments






Top Quote

'In 2018, Small Cap will Continue to Outperform Large Cap'


FUNDAMENTALS
Factory activity expands fastest in 5 years: India's factory activity expanded at the fastest pace in five years in December, suggesting a further strengthening of the economic recovery seen in the September quarter. The seasonally adjusted Nikkei India Manufacturing Purchasing Managers Index (PMI) rose to 54.7 in December from November's 52.6. A reading above 50 denotes expansion. 


Rupee Up: The rupee shot up to end at a nearly 2-1/2 year high of 63.48, surging by 20 paise against the US dollar on Tuesday.


Bonds Mixed: Government bonds (G-Secs) ended mixed in a quiet trade due to alternate bouts of buying and selling. The 6.79% 10-year benchmark bond maturing in 2027 slipped to Rs 96.33 from Rs 96.38 previously, while its yield inched up to 7.34% from 7.33%. The 6.84% 10-year benchmark bond maturing in 2022 declined to Rs 98.78 from Rs 98.89 previously, while its yield edged up to 7.14% from 7.11%. The 7.16% 10-year benchmark bond maturing in 2023 fell to Rs 99.92 from Rs 100.00 previously, while its yield moved up to 7.18% from 7.16%. However, the 6.68% G-Secs maturing in 2031, the 6.79% G-Secs maturing in 2029 and the 7.35% G-Secs maturing in 2024 were quoted higher to Rs 93.69, Rs 96.10 and Rs 100.21 respectively.


Call Rates Down: The overnight call money rates finished lower at 5.90% from Last Friday's level 6.10%. It resumed lower at 6.00% and moved in a range of 6.05% and 5.75%.


Liquidity: The Reserve Bank of India, under the Liquidity Adjustment Facility, purchased securities worth Rs 3,490 crore in 6-bids at the overnight repo operation at a fixed rate of 6.00% as on today, while its sold securities worth Rs 51,124 crore in 56-bids at the 2-days reverse repo auction at a fixed rate of 5.75% as on December 30."
5,2018-01-03,JSW,"NEW DELHI: Domestic market continued to consolidate on Wednesday ahead of corporate earnings scheduled for later this month and ahead of the Union Budget 2018. BSE Sensex ended 19 points lower at 33,793.38 and Nifty50 closed at 10,443.20, ending flat for the third session in a row.

Losses in major auto stocks such as Bajaj Auto (down 1.61 per cent), Maruti Suzuki (down 1.35 per cent), Motherson Sumi (down 1.29 per cent), Tata Motors (down 1.29 per cent) and TVS Motors (down 0.46 per cent) dragged the BSE Auto index down by 147 points to 26,418.50.

Pharma stocks also took a beating after shares of Dr Reddy's Laboratories fell 2.97 per cent at Rs 2,336.20 amid reports that an establishment inspection report (EIR) has been issued to the company's Duvvada facility, citing some issues. 

Other top pharma losers were NecLife, Poly Medicure, Bliss GVS, Morepen Laboratories, Apollo Hospitals, shedding over 1 per cent each.


Consolidation continued, as the equity benchmark indices ended Wednesday's session on a flat note. Consolidation could continue for a few more sessions and volatility is expected to remain high ahead of the Q3FY18 earnings season (likely to begin in the next week). Markets participants would continue to closely monitor the macro events (like inflation & IIP growth) and global developments. With indices near record high, we advise traders to keep their positions hedged-Jayant Manglik, President, Religare Broking
Broader markets outperformed with BSE Midcap index adding 94 points or 0.53 per cent to end at 17,819.32. The top midcap gainers of the day were JSPL, Adani Enterprises, OFSS, UBL, Tata Chemicals and Wockhardt Pharma. 

Smallcaps such as Ambika Cotton Mills, Nagarjuna Fertilizers and Chemicals, Vikas EcoTech and Phillips Carbon Black caused the BSE Smallcap index to gain as many as 187 points or 0.98 per cent at 19,345.46.

On the NSE, Nifty Metal (up 1.45 per cent) was the top sectoral gainer thanks to gains in shares of JSPL (up 8.55 per cent), APL Apollo (up 6.43 per cent), WelCorp (up 4.97 per cent), Hindustan Copper (up 2.71 per cent), SAIL (UP 2.23 per cent) and JSW Steel (up 1.76 per cent).

While Realty, FMCG, Metal and Media ended in green along with Nifty Pvt Bank index, other sectoral indices ended on a negative note.

Shares of UCO Bank advanced 0.82 per cent in after the board of directors of the state-run lender approved a proposal regarding issuing of equity shares to government on a preferential basis. 

Globally, bitcoin prices advanced over 10 per cent in two trading sessions after The Wall Street Journal reported Peter Thiel's Founders Fund has amassed hundreds of millions of dollars of the volatile cryptocurrency. 

The blue-chip CSI300 index was up 0.61 per cent, up for a fourth straight session, aided by strong gains in consumer and transport firms, Reuters reported.

In Europe, the pan-European STOXX 600 index was up 0.3 per cent, while euro zone blue chips gained 0.2 per cent."
7,2018-01-04,JSW,"MUMBAI: Goldman Sachs is bullish on the Indian steel sector as it believes the sector is in the middle of a multi-year upcycle due to higher spreads, rising domestic capacity and improving iron ore supply.

The investment bank has initiated coverage on the sector with a buy rating on JSW Steel and a target price of Rs 315. Goldman has assigned a neutral rating on Tata Steel with target price of Rs 780.

Goldman Sachs’ target price on JSW Steel implies a potential upside of 17.45 per cent from Wednesday’s closing level of Rs 268.20 on the BSE. Tata Steel has a potential upside of 3.67 per cent from Goldman Sachs’ target price. Shares of Tata Steel ended at Rs 733.3 on Wednesday.

The investment bank prefers JSW Steel over Tata Steel due to higher profitability and better valuations.

“In a stable steel price and benign raw material cost environment, we prefer a low cost convertor (JSW Steel) over an integrated steel mill (Tata Steel). On our estimates, JSW Steel screens as attractive among global peers, while Tata Steel looks fairly valued,” said Goldman Sachs in a note dated Tuesday.

Goldman Sachs believes that JSW Steel is set to benefit from weaker global raw material prices and the Rs 26,800 crore capital expenditure announced by the company will help enhance its steel capacity by 5 million tones by the end of financial year 2019-2020.

The investment bank foresees JSW Steel generating strong free cash flow over the next two financial years and its net debt to EBITDA ratio to come down to 2.6 times from 4.2 times in the financial year ended March 2017. Driven by capital expenditure plans and lower operating costs, JSW Steel is likely to generate top quartile return on equity, added Goldman Sachs.

On Tata Steel, the investment bank said the company’s profitability is likely to be partly impacted by narrowing spreads for captive steel mills as global or domestic raw material prices weaken.

Goldman Sachs said it would consider turning constructive on Tata Steel if there is visibility on a timely execution of expansion plan, which would imply faster volume growth and higher profitability trajectory."
8,2018-01-04,JSW,"NEW DELHI: Nifty Metal index extended its bullish run for the third consecutive session on Thursday to hit a fresh all-time high of 4,075.60, backed by gains in shares of APL Apollo Tubes (up 7.52 per cent), Coal India (up 2.30 per cent) and JSW Steel (up 2.01 per cent).

Shares of Jindal Steel & Power (up 1.84 per cent), NMDC (up 1.84 per cent), National Aluminium Company (NALCO) (up 1.74 per cent), Tata Steel (up 1.54 per cent), Hindalco Industries (up 1.46 per cent), MOIL (up 1.42 per cent), Steel Authority of India (SAIL) (up 1.39 per cent) and Jindal Stainless (Hisar) (up 0.89 per cent) were also gaining in trade.

Hindustan Copper (down 0.25 per cent) was the only component in the Nifty Metal index that was trading down in the metal index around 10.45 am (IST).

Benchmark NSE Nifty50 index was 13 points up at 10,456, while the BSE Sensex was 38 points up at 33,832 around that time.

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

Shares of NHPC, Steel Authority of India (SAIL), Hindalco Industries, Ashok Leyland, Tata Motors, ITC, Oil and Natural Gas Corporation and Punjab National Bank were among the most traded stocks on the National Stock Exchange.

Coal India, Larsen & Toubro, Tata Steel and Dr Reddy's Labs were trading among the top gainers in the Nifty50 index.

On the contrary, HCL Technologies, Sun Pharma, ICICI Bank, Infosys and Lupin were seen under selling pressure."
9,2018-01-04,JSW,"NEW DELHI: A hike in iron ore prices by state-run NMDC has left steel companies with no choice but to pass on the increased production cost to customers, JSW Steel Chairman Sajjan Jindal has said.

""Recent increase in iron-ore price by state owned NMDC & Orissa pvt. miners is forcing steel companies to pass on increased cost of production,"" Jindal said in a tweet.

On January 2, 2017, the country's largest iron ore miner NMDC increased prices of higher grade iron (lumps) by Rs 500 to Rs 3,100 per tonne for the current month.

The state-run firm also raised the prices for iron ore fines, which is inferior grade ore, by Rs 500 to Rs 2,760 per tonne for January.

The increased cost of other raw materials like coal, refractory, electrodes is further fueling this and leaving no other option, Jindal said.

The price hike in January is the third-straight rise since November 2017 when NMDC had fixed the rates of lump ore at Rs 2,300 a tonne and that of fines at Rs 2,060 a tonne.

In December, 2017, it rose the price of lump ore by Rs 300 a tonne to Rs 2,600 and fines by 200 to Rs 2,260 a tonne."
