,Date,Company,Article
0,2018-01-02,Phosphorus Limited,"NEW DELHI: PSU bank stocks, including Bank of Baroda (down 2.17 per cent), Punjab National Bank (down 1.68 per cent), Allahabad Bank (down 1.63 per cent), Bank of India (down 1.56 per cent) and Union Bank of India (down 1.52 per cent) cracked up to 2 per cent in afternoon trade on Tuesday.

The Nifty PSU Bank index was trading 1.23 per cent down at 3,633 around 01:15 pm (IST) with all components in the red.

Shares of Canara Bank (down 1.50 per cent), Syndicate Bank (down 1.44 per cent), Andhra Bank (down 1.11 per cent), State Bank of India (down 1.04 per cent), Oriental Bank of Commerce (down 1.03 per cent) and IDBI Bank (down 0.66 per cent) declined up to 1.50 per cent.

Benchmark NSE Nifty50 index was trading flat at 10,436, while the BSE Sensex was 15 points down at 33,798.

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

Shares of Ashok Leyland, Tata Power, Bharat Heavy Electricals (BHEL), NMDC, Tata Motors and State Bank of India were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Tata Motors, Bharti Infratel, Oil and Natural Gas Corporation, Tech Mahindra, UPL, Mahindra & Mahindra were among the top gainers.

However, Eicher Motors, Hindustan Petroleum Corporation, Bharat Petroleum Corporation, Indiabulls Housing Finance, Aurobindo Pharma and Maruti Suzuki India were among the top losers."
1,2018-01-02,Phosphorus Limited,"NEW DELHI: Most of the realty stocks, including Unitech (down 4.87 per cent), Delta Corp (down 2.33 per cent), Housing Development & Infrastructure (down 1.87 per cent) and Sobha (down 1.72 per cent) were trading in the negative zone in afternoon trade on Tuesday.

The Nifty Realty index was trading 0.62 per cent down at 346 around 01:30 pm (IST).

Shares of Indiabulls Real Estate (down 1.28 per cent), DLF (down 0.60 per cent), Oberoi Realty (down 0.25 per cent) and Godrej Properties (down 0.11 per cent) were also trading down.

Prestige Estates Projects (up 2.14 per cent) and Phoenix Mills (up 1.25 per cent) were the two components in the nifty Realty index that were up around that time. 

Benchmark NSE Nifty50 index was 8 points up at 10,444, while the BSE Sensex was 2 points up at 33,815. 

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 27 were in the red. One stock was appearing unchanged.

Shares of Ashok Leyland, Tata Power, Bharat Heavy Electricals (BHEL), NMDC, Tata Motors and State Bank of India were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Tata Motors, Bharti Infratel, Oil and Natural Gas Corporation, Tech Mahindra, UPL, Mahindra & Mahindra were among the top gainers.

However, Eicher Motors, Hindustan Petroleum Corporation, Bharat Petroleum Corporation, Indiabulls Housing Finance, Aurobindo Pharma and Maruti Suzuki India were among the top losers."
2,2018-01-03,Phosphorus Limited,"Manas Jaiswal of manasjaiswal.com has a buy call on UPL with a target price of Rs 795.The current market price of UPL is Rs 772.15. Time period given by the analyst is 'Intra Day' when UPL price can reach defined target. Manas Jaiswal recommended to keep a stop loss at Rs 764.UPL, incorporated in the year 1985, is a Large Cap company (having a market cap of Rs 39,228.12 Crore) operating in Chemicals sector.The company’s top management includes Dr.Reena Ramachandran, Mr.A C Ashar, Mr.Hardeep Singh, Mr.J R Shroff, Mr.K Banerjee, Mr.Pradeep Goyal, Mr.Pradip Madhavji, Mr.R D Shroff, Mr.V R Shroff, Mr.Vasant P Gandhi, Mr.Vinod Sethi, Mrs.S R Shroff. Company has SRBC & Co LLP as its auditors. As on 30-09-2017, the company has a total of 508,037,582 shares outstanding."
3,2018-01-03,Phosphorus Limited,"Independent analyst Kunal Bothra has a buy call on UPL with a target price of Rs 820.The current market price of UPL is Rs 772.15.Time period given by the analyst is 'Intra Day' when UPL price can reach defined target. Kunal Bothra recommended to keep a stop loss at Rs 750.UPL, incorporated in the year 1985, is a Large Cap company (having a market cap of Rs 39,228.12 Crore) operating in Chemicals sector.The company’s top management includes Dr.Reena Ramachandran, Mr.A C Ashar, Mr.Hardeep Singh, Mr.J R Shroff, Mr.K Banerjee, Mr.Pradeep Goyal, Mr.Pradip Madhavji, Mr.R D Shroff, Mr.V R Shroff, Mr.Vasant P Gandhi, Mr.Vinod Sethi, Mrs.S R Shroff. Company has SRBC & Co LLP as its auditors. As on 30-09-2017, the company has a total of 508,037,582 shares outstanding."
4,2018-01-04,Phosphorus Limited,"NEW DELHI: Shares of NHPC (number of shares traded: 1.52 crore), Hindalco Industries (0.32 crore) and Steel Authority of India (SAIL) (0.23 crore) were trading as the most active stocks in terms of volume on the National Stock Exchange (NSE) in morning trade on Thursday.

Shares of Tata Motors (0.20 crore), Ashok Leyland (0.20 crore), ITC (0.18 crore), Oil and Natural Gas Corporation (0.17 crore), Idea Cellular (0.16 crore), NMDC (0.14 crore), Tata Power (0.13 crore), Punjab National Bank (0.13 crore) and Vedanta (0.12 crore) were also among the most traded stocks on the NSE.

Equity benchmarks Nifty50 and Sensex registered a positive opening today but pared gains soon.

The NSE Nifty index was trading 16 points up at 10,459, while BSE Sensex was 49 points up at 33,842.03 around 09:45 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Asian Paints, Oil and Natural Gas Corporation, UPL, Dr. Reddy's Laboratories, Coal India and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, YES Bank and Sun Pharmaceutical Industries were trading as the losers of the Nifty pack of stocks.

Among the 50 stocks in the Nifty50 index, 31 were advancing, while 19 were declining in trade."
5,2018-01-04,Phosphorus Limited,"NEW DELHI: Shares of Hindalco Industries (Rs 99.95 crore), Tata Motors (Rs 92.85 crore), Maruti Suzuki (Rs 80.60 crore) and Reliance Industries (Rs 64.91 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Thursday.

Shares of NHPC (Rs 55.79 crore), ITC (Rs 53.67 crore), Vedanta (Rs 46.87 crore), Infosys (Rs 44.42 crore), Lupin (Rs 43.44 crore), Sun Pharma (Rs 42.15 crore), Tata Steel (Rs 40.44 crore) and State Bank of India (Rs 40.05 crore) were also among the most active stocks in terms of value.

Equity benchmarks Nifty50 and Sensex registered a positive opening today but pared gains soon.

The NSE Nifty index was trading 16 points up at 10,459, while BSE Sensex was 49 points up at 33,842.03 around 09:45 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Asian Paints, Oil and Natural Gas Corporation, UPL, Dr. Reddy's Laboratories, Coal India and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, YES Bank and Sun Pharmaceutical Industries were trading as the losers of the Nifty pack of stocks.

Among the 50 stocks in the Nifty50 index, 31 were advancing, while 19 were declining in trade."
6,2018-01-04,Phosphorus Limited,"NEW DELHI: Shares of Nitesh Estates (20 per cent), Moksh Ornaments (19.93 per cent), Ajooni Biotech (19.91 per cent) and Orient Green Power Company (19.70 per cent) zoomed up to 20 per cent in morning trade on Thursday.

On the other hand, Aro Granite Industries (19.14 per cent), Oriental Carbon (17.25 per cent), Madhav Marbles (17.04 per cent), Vikas GlobalOne (14.39 per cent), SJVN (14.08 per cent), Pearl Polymers (13.15 per cent), Mohit Industries (12.83 per cent) and Sagar Cements (11.01 per cent) rallied over 10 per cent. 

Equity benchmarks Nifty50 and Sensex pared some of their opening gains on selling in select IT and auto stocks. 

The NSE Nifty index was trading 21 points up at 10,464, while BSE Sensex was 59 points up at 33,853 around 10:05 am (IST).

Shares of NHPC, SAIL, Hindalco, Ashok Leyland, ITC and Tata Motors were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Asian Paints, Coal India, UPL and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, Power Grid Corporation of India, Sun Pharmaceutical Industries and YES Bank were among the top losers."
7,2018-01-04,Phosphorus Limited,"NEW DELHI: Shares of Shekhawati Poly-Yarn (down 7.14 per cent), Sterling Biotech (down 6.93 per cent), Diamond Power (down 5.20 per cent) and CKP Products (down 5.09 per cent) cracked over 5 per cent in morning trade on Thursday, even as broader markets remained in the positive zone. 

On the other hand, Bombay Rayon Fashions (down 4.99 per cent), Lasa Supergenerics (down 4.98 per cent), Ortin Laboratories (down 4.97 per cent), Nirvikara Paper Mills (down 4.95 per cent), Steel Exchange (down 4.92 per cent), Parenteral Drug (down 4.87 per cent), Castex Technologies (down 4.86 per cent) and SE Power (down 4.80 per cent) declined up to 5 per cent.

Equity benchmarks Nifty50 and Sensex pared some of their opening gains on selling in select IT and auto stocks. 

The NSE Nifty index was trading 21 points up at 10,464, while BSE Sensex was 59 points up at 33,853 around 10:05 am (IST).

Shares of NHPC, SAIL, Hindalco, Ashok Leyland, ITC and Tata Motors were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Asian Paints, Coal India, UPL and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, Power Grid Corporation of India, Sun Pharmaceutical Industries and YES Bank were among the top losers.

Among the 50 stocks in the Nifty50 index, 3 were advancing, while 19 were declining in trade. One stocks appeared to be unchanged."
8,2018-01-04,Phosphorus Limited,"Name of the Company: Farmss Name of Founder(s): Mayur Tambe and Shraddha M Bagwe

City: Nashik

Revenues: NA

Headcount: 3

Industry: Agriculture

Despite the advances in technology, the agrarian sector of the country seems to have been completely bypassed on the road to modernization and automation. Green shoots of change are, however, now visible. 

Ask any farmer, and he would unequivocally state that the soil is the most important asset to carry out any form of cultivation. The fertility of the soil and the amount of essential nutrients he needs to add, plays the biggest part in what he is finally able to produce. This is where understanding the condition of the soil becomes very important for the farmer. 

Currently, soil tests are done in a laboratory setup in India, which faces a lot of problems in terms of lack of adequate quality infrastructure and skill sets. Farmers often fail to receive the results on time, and even if they do, there is a high chance of the result being fudged. In the end, farmers end up making approximate decisions on the condition of their soil. ""Our attempt is to provide a new way for these farmers on how soil testing service can be availed near field while also getting reliable results,"" says Shraddha M Bagwe, co-founder, Farmss.

To get around this problem, Farmss is building a mobile based near-field soil testing and fertilizer recommendation platform for small and marginal farmers to enable informed decisions about fertilizer usage. A compact solution to provide quick, but reliable soil testing service that can be taken around anywhere in the country, with the help of village level entrepreneurs, is what the startup wants to achieve. 

""We believe the last person in the value chain i.e. the village level entrepreneur, is the most important person in the whole implementation and therefore our product's four key attributes are - easy to reach/scale, easy to use, accurate and reliable, low cost,"" says Bagwe, 23. 


Soil Mechanics
The solution that Bagwe and her co-founder Mayur Tambe have come up is simple for the farmer to follow and consists of three parts. The first part involves sample collection where a person on-field collects the soil sample in a bag and tags the bag. The information of the farmer, such as name, geo location, land area and crop is recorded in a mobile application. 

The sample then needs to be taken to the village of the Farmer Producers Organization (FPO) where tests can be run using Farmss kit, which consists of a chemical colorimetric kit that extracts the nutrient from the soil and develops a colored complex. The intensity of solution coloration is a measure of the nutrient concentration. The Farmss mobile based color detection system that consists of a phone and an add-on considers the solution as an input and reads the color to give a quantitative nutrient concentration value. 

""The existing colorimetric kits are not practically used in the field as the color detection by the human eye is very difficult and due to interference of natural light. This gap is addressed by Farmss mobile based color detection system to get appropriate quantitative concentration value,"" says Bagwe.

Lastly, based on the nutrient concentration, the same testing app further calculates the appropriate fertilizer recommendation for a specific farmer. The testing app is linked to the sample collection application, which provides the farmer necessary information to calculate the fertilizer needed. This report can also be sent electronically sent to the farmer's phone. The nutrient status and fertilizer recommendation report helps the farmer make informed decisions and ensure optimum fertilizer usage


ET Online
Farmss Soil testing process.


Getting the mix rightTambe and Bagwe met at a workshop organized by Digital Impact Square, a social innovation center and an initiative by TCS Foundation in Nashik. Shared interest to do something innovative around agriculture meant that the duo ended up collaborating for what was to be innovators working on a ""challenge"" for a period of six months. 

""The complexity of the challenge inspired us to find a solution. Throughout the first six months, we validated the problem statement in the field, attempted a couple of solutions, failed and reattempted. At the end of six months we had version one of our solution prototype which was reviewed by DISQ panel and we were given a go ahead for our further journey,"" says Bagwe.


Read: Now, grow vegetables in your living room with this self-watering modular farm 

But the end of six months proved to be a tipping point for both the co-founders. ""We had other plans in place, but we knew we could not stop what we had started to work on. This was fading as an internship and becoming more of our own venture. We knew addressing this challenge was as much socially impactful as it was a sustainable business idea. We saw that as a perfect social business opportunity and decided to pursue it. I took a year off from Welingkar Institute, where I was doing my PGDM and then the two of us were completely dedicated to Farmss,"" says Bagwe. 


Impact
For small and marginal farmers who are 80% of the total (about 110 million), saving on the nitrogen (N), phosphorus (P) and potassium (K) or NPK fertilizers can also add a lot of value to decrease their cost of production. The wide ratio of one soil testing lab for 2.09 lakh farmers in India (with the capacity of a lab being 3000 samples per year) and the lack of skilled lab personnel puts a question mark on the quality and reliability of lab results leave alone the timeliness of the same.


ET Online
Co-founders Mayur Tambe and Shraddha M Bagwe.
According to the Census of India 2011, District Census Handbook Nashik, almost 60% of the farmers (about 5 lakh) are such, who want to do the soil testing, but cannot, and have ended up taking approximate decisions.

""We want to impact the lives of these small and marginal farmers and bring them the scientific way of making decisions while creating awareness among those who were till now not able to experience the benefits of soil testing due to lack of facilities,"" says Bagwe.


Also Read: Ashwath Hegde goes green with edible ""plastic-like"" bags

The service would essentially be charged on a per test basis, which would be somewhere ranging between Rs. 50-100 for five parameters (NPK, pH, EC) and recommendation. ""We are currently in the development and calibration stage, where we calibrate the results against a standard certified laboratory and we look forward to starting our pilot tests early this year,"" says Bagwe. 

The young co-founders initially used their stipend to fund the project, but have found support from the ecosystem along the way. For instance, the National Agro Foundation (Tamil Nadu) has come on board as the research partner for this project. ""They also have an NABL certified soil testing lab in Chennai and supported us with the lab research and testing, which means we did not have to bear that cost. Currently we are also working with another lab in Nashik which is supporting us by providing their already tested samples and results, which we recheck to validate our solution. This is how we have managed to lower our research expense by finding like-minded people and people who believe in our vision,"" says Bagwe. 

Sahyadri Farms with over more than 8000 marginal farmers, on the other hand, being a Farmer's Producer Company is also helping the startup implement and validate the model with the farmers associated with them.


For complete coverage click here"
13,2018-01-05,Phosphorus Limited,"NEW DELHI: As many as 181 stocks, including Escorts, Havells India, Hexaware Technologies, Hindalco Industries, Jindal Saw, Jain Irrigation Systems and JSW Steel hit fresh 52-week highs on NSE on Friday.

Adani Enterprises, Adani Power, Bajaj Electricals, Century Textiles & Industries, D B Realty, Jubilant Foodworks, Larsen & Toubro, United Spirits, NMDC, PC Jeweller, Raymond, Steel Authority of India, Tata Elxsi, Tata Steel, Tech Mahindra, Titan Company and Sun TV Network also joined the league of stocks that hit fresh 52-week highs on Friday.

Meanwhile, Bombay Rayon Fashions, Jindal Cotex and Neuland Laboratories were the three stock that hit fresh 52-week lows on NSE.

Equity benchmarks Nifty50 and Sensex winded up the week on a high, backed by sustained buying across sectors, barring PSU banks.

The Nifty50 index closed 54 points up at 10,559, while the 30-share Sensex settled 184 points up at 34,154 on Friday.

In the Nifty 50 index, YES Bank, Bajaj Finance, Adani Ports SEZ, Bharti Airtel, IndusInd Bank, Dr Reddy's Labs, Lupin, Eicher Motors, Tata Steel, HDFC, Indiabulls Housing Finance and Tata Consultancy Services stood among the top gainers.

On the contrary, Bharti Infratel, Hindalco Industries, UPL, Hindustan Petroleum Corporation, Indian Oil Corporation, Bharat Petroleum Corporation, State Bank of India, Wipro, ICICI Bank, Oil and Natural Gas Corporation, GAIL and Sun Pharma remained among the top losers. 

Out of 50 stocks in the Nifty50 index, 31 settled in the green, while 19 stocks closed the day in the red."
