,Date,Company,Article
0,,PowerGrid,
0,2018-01-01,PowerGrid,"Indian equity market had a turbulent start to the New Year as the benchmark Nifty50 remained range bound throughout the day, but saw a sharp decline in the last hour of the trade. The Index ended the day losing 95.15 points or 0.90 per cent.

Though there is no technical breakdown on the charts, the Monday's session remain technically important and it has certainly pushed the Nifty into some more time under consolidation.

On Tuesday, we see the market making a quiet opening. We may see some lower volumes as well as the participation in the market will remain affected due New Year holidays.


 

The levels of 10,465 and 10,510 will play out as important resistance levels to watch out for on Tuesday. Supports come in lower at 10,380 and 10,345.

The Relative Strength Index (RSI) on the daily chart is 55.2808 and it remains neutral showing no divergence against the price. The daily MACD continues to stay bullish remaining in continuing buy mode.

An engulfing bearish candle has emerged. It remains significant as it has occurred at the resistance zone of 10,490-10,535 and therefore it reinforces the credibility of this resistance area. The pattern analysis reveals the importance of the 10,490-10,535 support zones.

The market has once again failed to confirm the attempted breakout twice from these levels. This zone will continue to act as immediate short term resistance for the market. Failing to clear the 10,490-10,535 zones for the second time has shown the credibility of this resistance area. Failure to clear the 10,490-10,535 zones has made some more consolidation imminent in the market.

There is no structural breach on the charts, but these levels will continue to resist until we see a comprehensive breakout above this resistance area. Going into trade on Tuesday, selection of stocks will hold the key. We recommend avoiding shorts and trimming exposures with any potential upmove and protecting profits. 
Due to New Year holiday season, the volumes will remain affected and this may also infuse some lack of depth and volatility in the market. Cautious outlook is advised for the day.


STOCKS TO WATCH: Very high open interest is seen in counters like JP Associates, IDFC Bank, Suzlon, Adani Power, Sail, RCom, ITC, Tata Power and Federal Bank. Longs were seen added in Reliance Power, Bank Of Baroda, HCC, Power Grid, Karnataka Bank, CG Power and BHEL.


(Milan Vaishnav, CMT, MSTA is Consultant Technical Analyst at Gemstone Equity Research & Advisory Services, Vadodara. He can be reached at milan.vaishnav@equityresearch.asia)"
1,2018-01-02,PowerGrid,"NEW DELHI: Infrastructure major Larsen & Toubro (L&T) today said its construction arm has won contracts worth Rs 1,454 crore including one in Egypt.

The Smart World & Communications Business Unit secured an order worth Rs 864 crore for implementation of 5 million Smart Meters across 16 cities of Uttar Pradesh and Haryana, the company said in a statement.

""This is a significant win for us in the smart solutions space and reaffirms our credentials as a technology leader,"" said S N Subrahmanyan, CEO and MD, L&T.

Besides, Power Transmission & Distribution Business has bagged orders worth Rs 568 crore from both international and domestic customers.

""In Africa, the business has bagged a breakthrough order from the Egyptian Electricity Transmission Company for turnkey construction of the Sokhna 500/220kV Gas Insulated Substation,"" the statement said.

In the domestic market, Sterlite Power Grid Ventures awarded an order for a project involving engineering, procurement and construction of 765kV, 400kV and 220kV Transmission Lines associated with Goa Tamnar Transmission Project Limited, it said.

Further, the business has secured an order from Chamundeshwari Electricity Supply Corporation, a Karnataka Government undertaking, for turnkey execution of power distribution system to strengthen works in several subdivisions of the Mysuru area.

Larsen & Toubro is an Indian multinational engaged in technology, engineering, construction, manufacturing and financial services with USD 17 billion in revenue."
2,2018-01-03,PowerGrid,"NEW DELHI: Most of the power sector stocks, including Adani Power (up 2.77 per cent), NHPC (up 2.35 per cent), GMR Infrastructure (up 2.31 per cent) and Adani Transmission (up 2.26 per cent) were trading up in afternoon trade on Wednesday, keeping the BSE Power index in the green zone. 

The S&P BSE Power index was trading 0.50 per cent up at 2,420 around 12:35 pm (IST).

Shares of CG Power and Industrial Solutions (up 1.49 per cent), ABB India (up 1.46 per cent), JSW Energy (up 1.45 per cent), Reliance Infrastructure (up 0.95 per cent), Tata Power Company (up 0.90 per cent), Reliance Power (up 0.70 per cent), Bharat Heavy Electricals (up 0.56 per cent) and Power Grid Corporation of India (up 0.47 per cent) were also among top gainers in the power index. 

However, stocks such as KEC International (down 1.74 per cent), NTPC (down 0.17 per cent) and CESC (down 0.08 per cent) were trading down in the power index around that time. 

Benchmark BSE Sensex was 90 points up at 33,902, while the NSE Nifty50 index was 34 points up at 10,477.

Among the 50 stocks in the Nifty50 index, 35 were trading in the green, while 15 were in the red. 

Adani Ports, ICICI Bank, YES Bank, Bharti Airtel and Reliance Industries were among the top gainers in the Sensex index.

On the contrary, Dr Reddy's Labs, Oil & Natural Gas Corporation, Wipro and Tata Motors were seen under selling pressure."
6,2018-01-04,PowerGrid,"NEW DELHI: Gains in shares of Dr. Reddy's Laboratories (up 2.41 per cent), Sun Pharmaceutical Industries (up 1.41 per cent), Cipla (up 0.77 per cent), Cadila Healthcare (up 0.77 per cent), Aurobindo Pharma (up 0.37 per cent) and Divi's Laboratories (up 0.29 per cent) were keeping the Nifty Pharma index in the green zone in Thursday's trade.

The Nifty Pharma index was trading 0.73 per cent up at 9,589 around 02:40 pm (IST). 

However, Piramal Enterprises (down 1.45 per cent), Glenmark Pharmaceuticals (down 0.41 per cent) and Lupin (down 0.03 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was up by 48 points at 10,491, while the BSE Sensex was 142 points up at 33,936.

Among the 50 stocks in the Nifty50 index, 30 were trading in the green, while 20 were in the red. 

Shares of NHPC, Punjab National Bank, State Bank of India, Steel Authority of India (SAIL), Bank of Baroda, Ashok Leyland, Bharat Heavy Electricals (BHEL), Idea Cellular, Oil and Natural Gas Corporation, Hindalco Industries, ITC and Tata Motors were among the most traded stocks on the NSE.

In the Nifty 50 index, Tata Steel, Larsen & Toubro, Oil and Natural Gas Corporation, Dr Reddy's Labs, Coal India and Asian Paints were among the top gainers.

However, Eicher Motors, Tata Motors, HCL Technologies, Infosys, Hero MotoCorp and Power Grid Corporation were among the top losers."
5,2018-01-04,PowerGrid,"NEW DELHI: Most of the power stocks, including NHPC (up 3.06 per cent), Reliance Power (up 2.11 per cent), CESC (up 1.55 per cent), ABB India (up 1.46 per cent) and Adani Transmission (up 0.94 per cent) were trading up in afternoon trade on Thursday. 

The S&P BSE Power index was trading 0.17 per cent up at 2,417 around 01:25 pm (IST).

Shares of Siemens (up 0.78 per cent), PTC India (up 0.76 per cent), Torrent Power (up 0.74 per cent), Bharat Heavy Electricals (up 0.56 per cent), JSW Energy (up 0.50 per cent), Reliance Infrastructure (up 0.38 per cent) and Suzlon Energy (up 0.32 per cent) were also seen in the green in the power index. 

However, shares of GMR Infrastructure (down 2.52 per cent), Tata Power Company (down 0.94 per cent), CG Power and Industrial Solutions (down 0.87 per cent) and Power Grid Corporation of India (down 0.40 per cent) were the losers in the BSE Power index. 

Benchmark BSE Sensex was 116 points up at 33,909, while the NSE Nifty50 index was 33 points up at 10,476. 

Among the 50 stocks in the Nifty index, 26 were trading in the green, while 24 were in the red. 

Tata Steel, Larsen & Toubro, Dr Reddy's Labs and Coal India were among the top gainers in the Sensex index.

On the other hand, Sun Pharma, Tata Motors, Bajaj Auto and Hero MotoCorp were among the laggards in the Sensex index."
7,2018-01-04,PowerGrid,"NEW DELHI: The Nifty FMCG index was trading on a choppy note in afternoon trade on Thursday.

The Nifty FMCG index was trading 0.01 per cent up at 26,652 around 02:50 pm (IST).

Shares of United Spirits (up 1.37 per cent), Godrej Industries (up 0.62 per cent), Marico (up 0.34 per cent), United Breweries (up 0.18 per cent), Godrej Consumer Products (up 0.17 per cent), ITC (up 0.11 per cent) and Dabur India (up 0.10 per cent) were trading up in the Nifty FMNG index.

On the contrary, Britannia Industries (down 1.23 per cent), Jubilant Foodworks (down 1.06 per cent), Procter & Gamble Hygiene & Healthcare (down 0.68 per cent), Colgate-Palmolive (India) (down 0.57 per cent), Tata Global Beverages (down 0.45 per cent) and GlaxoSmithKline Consumer Healthcare (down 0.22 per cent) were trading down in the FMCG index around that time. 

Shares of NHPC, Punjab National Bank, State Bank of India, Steel Authority of India (SAIL), Bank of Baroda, Ashok Leyland, Bharat Heavy Electricals (BHEL), Idea Cellular, Oil and Natural Gas Corporation, Hindalco Industries, ITC and Tata Motors were among the most traded stocks on the NSE.

In the Nifty 50 index, Tata Steel, Larsen & Toubro, Oil and Natural Gas Corporation, Dr Reddy's Labs, Coal India and Asian Paints were among the top gainers.

However, Eicher Motors, Tata Motors, HCL Technologies, Infosys, Hero MotoCorp and Power Grid Corporation were among the top losers."
3,2018-01-04,PowerGrid,"NEW DELHI: Shares of Nitesh Estates (20 per cent), Moksh Ornaments (19.93 per cent), Ajooni Biotech (19.91 per cent) and Orient Green Power Company (19.70 per cent) zoomed up to 20 per cent in morning trade on Thursday.

On the other hand, Aro Granite Industries (19.14 per cent), Oriental Carbon (17.25 per cent), Madhav Marbles (17.04 per cent), Vikas GlobalOne (14.39 per cent), SJVN (14.08 per cent), Pearl Polymers (13.15 per cent), Mohit Industries (12.83 per cent) and Sagar Cements (11.01 per cent) rallied over 10 per cent. 

Equity benchmarks Nifty50 and Sensex pared some of their opening gains on selling in select IT and auto stocks. 

The NSE Nifty index was trading 21 points up at 10,464, while BSE Sensex was 59 points up at 33,853 around 10:05 am (IST).

Shares of NHPC, SAIL, Hindalco, Ashok Leyland, ITC and Tata Motors were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Asian Paints, Coal India, UPL and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, Power Grid Corporation of India, Sun Pharmaceutical Industries and YES Bank were among the top losers."
4,2018-01-04,PowerGrid,"NEW DELHI: Shares of Shekhawati Poly-Yarn (down 7.14 per cent), Sterling Biotech (down 6.93 per cent), Diamond Power (down 5.20 per cent) and CKP Products (down 5.09 per cent) cracked over 5 per cent in morning trade on Thursday, even as broader markets remained in the positive zone. 

On the other hand, Bombay Rayon Fashions (down 4.99 per cent), Lasa Supergenerics (down 4.98 per cent), Ortin Laboratories (down 4.97 per cent), Nirvikara Paper Mills (down 4.95 per cent), Steel Exchange (down 4.92 per cent), Parenteral Drug (down 4.87 per cent), Castex Technologies (down 4.86 per cent) and SE Power (down 4.80 per cent) declined up to 5 per cent.

Equity benchmarks Nifty50 and Sensex pared some of their opening gains on selling in select IT and auto stocks. 

The NSE Nifty index was trading 21 points up at 10,464, while BSE Sensex was 59 points up at 33,853 around 10:05 am (IST).

Shares of NHPC, SAIL, Hindalco, Ashok Leyland, ITC and Tata Motors were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Asian Paints, Coal India, UPL and Hindalco Industries were trading among the top gainers.

On the other hand, Tata Motors, HCL Technologies, ICICI Bank, Power Grid Corporation of India, Sun Pharmaceutical Industries and YES Bank were among the top losers.

Among the 50 stocks in the Nifty50 index, 3 were advancing, while 19 were declining in trade. One stocks appeared to be unchanged."
8,2018-01-05,PowerGrid,"NEW DELHI: Power sector stocks, including Adani Power (up 4.98 per cent), Bharat Heavy Electricals (up 2.18 per cent), JSW Energy (up 1.38 per cent) and Tata Power Company (up 0.45 per cent) were trading up in afternoon trade on Friday.

The S&P BSE Power index was trading 0.25 per cent up at 2,427 around 12:55 pm (IST). 

Shares of Power Grid Corporation of India (up 0.35 per cent), ABB India (up 0.30 per cent), KEC International (up 0.27 per cent), GMR Infrastructure (up 0.24 per cent), Reliance Power (up 0.17 per cent) and CG Power and Industrial Solutions (up 0.16 per cent) were also in the green. 

However, NHPC (down 1.48 per cent), Adani Transmission (down 1.13 per cent), CESC (down 0.80 per cent), Suzlon Energy (down 0.63 per cent), Reliance Infrastructure (down 0.63 per cent), PTC India (down 0.46 per cent) and Siemens (down 0.24 per cent) were trading down in the BSE Power index. 

Benchmark BSE Sensex was 133 points up at 34,102, while the NSE Nifty50 index was 32 points up at 10,536.

Among the 50 stocks in the Nifty50 index, 31 were trading in the green, while 19 were in the red.

YES Bank, Adani Ports and Bharti Airtel were leading the Sensex kitty of stocks.

On the other hand, Oil & Natural Gas Corporation, ICICI Bank and Sun Pharma were seen under selling pressure."
