,Date,Company,Article
6,,Reddy,
39,,Reddy,
0,2018-01-01,Reddy,"NEW DELHI: Over 80 stocks, including Container Corporation of India, D B Realty, GMR Infrastructure, Graphite India, Indraprastha Gas and Indowind Energy hit fresh 52-week highs on NSE in Monday's trade.

Jindal Saw, Jindal Steel & Power, KPIT Technologies, United Spirits, PC Jeweller, Raymond, Reliance Power, Steel Authority of India, Unitech and V-Guard Industries were also among the stocks that hit fresh 52-week highs today.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.1 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
1,2018-01-01,Reddy,"NEW DELHI: Shares of Balkrishna Paper Mills (down 7.43 per cent), PBA Infrastructure (down 6.29 per cent), California Software Company (down 4.99 per cent), Bombay Rayon Fashions (down 4.97 per cent) and Parenteral Drugs (India) (down 4.50 per cent) cracked up to 7 per cent on NSE in morning trade on Monday, reflecting the bearish mood of the market. 

On the other hand, Arihant Foundations & Housing (down 4.47 per cent), BLB (down 4.40 per cent), ANG Industries (down 4.40 per cent), Paramount Communications (down 4.34 per cent) and HB Stockholdings (down 4.30 per cent) declined over 4 per cent.

Benchmark NSE Nifty50 index was trading flat at 10,531, while the BSE Sensex was 22 points up at 34,079 around 10.10 am (IST).

Among the 50 stocks in the Nifty50 index, 23 were trading in the green, while 27 were in the red. 

Shares of Steel Authority of India (SAIL), Ashok Leyland, Punjab National Bank, Idea Cellular, NHPC and Bank of Baroda were among the most traded stocks on NSE.

In the Nifty index, Indiabulls Housing Finance, Sun Pharmaceutical Industries, Aurobindo Pharma, ITC, Dr. Reddy's Laboratories and Cipla were trading among the gainers.

On the other hand, Bharti Infratel, Vedanta, Tata Consultancy Services, Hindalco Industries, Hindustan Unilever and Bajaj Auto were trading among the top losers."
3,2018-01-02,Reddy,"NEW DELHI: Shares of State Bank of India (number of shares traded: 0.31 crore), Tata Power (0.26 crore) and Oil and Natural Gas Corporation (0.23 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Tuesday.

Stocks such as Idea Cellular (0.23 crore), Bharat Heavy Electricals (BHEL) (0.22 crore), Punjab National Bank (0.17 crore), Ashok Leyland (0.14 crore), Steel Authority of India (SAIL) (0.13 crore), NHPC (0.13 crore), Axis Bank (0.11 crore), ITC (0.10 crore) and ICICI Bank (0.10 crore) were also in the league.

The NSE Nifty index was trading 21 points up at 10,457, while BSE Sensex was 44 points up at 33,857 around 09:35 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Oil and Natural Gas Corporation, Bajaj Auto, Mahindra & Mahindra, Dr. Reddy's Laboratories, Coal India, HCL Technologies and Bharti Infratel were trading among the top gainers.

On the other hand, Eicher Motors, Indiabulls Housing Finance, Bharat Petroleum Corporation, State Bank of India, Hindustan Petroleum Corporation and Hindustan Unilever were trading among the losers."
2,2018-01-02,Reddy,"NEW DELHI: Benchmark indices climbed in Tuesday's trade amid strong global cues. Gains seen on domestic indices were largely in tandem with other Asian markets that hit a decade high after a Chinese monthly manufacturing data came in better-than-expected and the domestic currency hit fresh 5-month high. 

At 9.24 am, the 30-share Sensex was trading 93.80 points, or 0.28 per cent, higher at 34,893.62. Nifty50 rose 43.15 points, or 0.41 per cent, to 10,478.70. 

""Recently, we saw a few whipsaws in the downward direction. Traders are advised to stay light and avoid taking undue risks. One needs to keep a close watch on banking basket as well,” Angel Broking said in a note.

Among Sensex stocks, ONGC rose 2.03 per cent to Rs 196.30 on BSE. The state-owned company has made a significant oil and gas discovery to the west of Mumbai High fields in the Arabian Sea, oil minister Dharmendra Pradhan said on Monday. 

Bajaj Auto added 1.34 per cent to Rs 3,337.05. NTPC, M&M, Coal India and Dr Reddy's Labs advanced up to 1 per cent after the drugmaker received USFDA approval for guaifenesin pseudoephedrine tablets.

JSW Energy fell half-a-per cent, while JP Power Ventures rose 1.50 per cent. Sajjan Jindal-led JSW Energy has terminated the proposed acquisition of the 500 mw-Bina Power from Jaiprakash Power Ventures after months of delay in getting the necessary approvals from lenders.

SBI fell 1 per cent to Rs 304. The bank has cut its base rate, below which it does not give loans to prime customers, by 30 basis points to 8.65 per cent. The bank is also set to initiate insolvency proceedings against at least a dozen defaulting companies including Videocon Industries on Tuesday after failing to recast their loans by the December deadline."
4,2018-01-02,Reddy,"NEW DELHI: Shares of State Bank of India (Rs 127.55 crore), Maruti Suzuki (Rs 89.82 crore), Axis Bank (Rs 79.67 crore), Reliance Industries (Rs 75.14 crore) and Indiabulls Housing Finance (Rs 68.34 crore) were trading as the most active stocks in terms of value on NSE in morning trade on Tuesday.

Shares of Oil and Natural Gas Corporation (Rs 58.69 crore), Infosys (Rs 54.39 crore), Sun Pharma (Rs 53.81 crore), Mahindra & Mahindra (Rs 51.62 crore), Tata Consultancy Services (Rs 50.20 crore), HDFC (Rs 45.76 crore) and Vedanta (Rs 41.57 crore) were also in that league.

The NSE Nifty index was trading 21 points up at 10,457, while BSE Sensex was 44 points up at 33,857 around 09:35 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, Oil and Natural Gas Corporation, Bajaj Auto, Mahindra & Mahindra, Dr. Reddy's Laboratories, Coal India, HCL Technologies and Bharti Infratel were trading among the top gainers.

On the other hand, Eicher Motors, Indiabulls Housing Finance, Bharat Petroleum Corporation, State Bank of India, Hindustan Petroleum Corporation and Hindustan Unilever were trading among the losers."
8,2018-01-03,Reddy,"NEW DELHI: Shares of Ajooni Biotech (20 per cent), Moksh Ornaments (20 per cent), Nagarjuna Fertilizers and Chemicals (16.29 per cent), Orient Green Power Company (13.18 per cent), Orbit Exports (12.38 per cent) and Color Chips (11.46 per cent) zoomed over 11 per cent on NSE in morning trade on Wednesday.

On the other hand, Apollo Sindoori Hotels (10 per cent), STEL Holdings (9.99 per cent), Accel Frontline (9.98 per cent), MEP Infrastructure Developers (9.94 per cent), Sagar Cements (9.62 per cent) and ICSA-India (9.52 per cent) rallied up to 10 per cent. 

Equity market benchmarks Sensex and Nifty appeared firm. The 30-share Sensex was trading 110 points up at 33,922, while the 50-share Nifty50 index was 39 points up at 10,481 around 9.55 am (IST).

In the Nifty 50 index, 39 stocks were in the green, while 9 stocks were in the red. Two stocks were appearing unchanged. 

Shares of Ashok Leyland, Tata Power, Coal India, Idea Cellular, Bharat Heavy Electricals (BHEL) and Steel Authority of India (SAIL) were among the most traded stocks on the National Stock Exchange.

In the Nifty index, Adani Ports & Special Economic Zone, Vedanta, Tech Mahindra, ICICI Bank, Hindustan Petroleum Corporation and Reliance Industries were among the top gainers.

However, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Infosys, Asian Paints, Tata Motors and HDFC Bank were among the losers of the Nifty pack of stocks."
6,2018-01-03,Reddy,"NEW DELHI: Shares of Ashok Leyland (number of shares traded: 0.38 crore), Coal India (0.33 crore) and Tata Power (0.32 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Wednesday.

Shares of Bharat Heavy Electricals (BHEL) (0.23 crore), Punjab National Bank (0.12 crore), State Bank of India (0.12 crore), NMDC (0.10 crore), Reliance Industries (0.09 crore), Tata Motors (0.09 crore), Vedanta (0.08 crore), Idea Cellular (0.08 crore) and ICICI Bank (0.08 crore) also joined the league of most traded stocks.

Domestic equity markets opened in green following global cues. The NSE Nifty index was trading 20 points up at 10,462, while BSE Sensex was 67 points up at 33,879 around 09:30 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty index, ICICI Bank, Vedanta, Hindalco Industries, Adani Ports & Special Economic Zone, Tech Mahindra, Bharti Airtel, State Bank of India and Sun Pharmaceutical Industries were trading among the top gainers.

On the other hand, Dr. Reddy's Laboratories, Oil and Natural Gas Corporation, Tata Motors, Bharat Petroleum Corporation, GAIL (India), Asian Paints and Infosys were among the losers of the Nifty50 pack.

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
30,2018-01-03,Reddy,"Dalal Street remained in consolidation mode on Wednesday and both Sensex and Nifty closed on a flat note after paring the day’s gains in the latter half of the session amid mixed global cues.

The 30-share Sensex settled 18 points, or 0.06 per cent, down at 33,793, while the 50-share Nifty index of NSE closed 1 points, or 0.01 per cent, up at 10,443.

More than 25 stocks from the Nifty50 index closed in the green with Adani Ports gaining 2.86 per cent, followed by Larsen & Toubro (up 2.66 per cent), Hindalco (up 1.69 per cent), ICICI Bank (up 1.68 per cent) and Ambuja Cements (up 1.57 per cent).

On the other hand, shares of Dr Reddy’s Labs, Wipro, Bajaj Auto, ONGC and Maruti Suzuki dipped between 1.35 per cent and 3 per cent.

The benchmark equity indices pared some of their gains and ended the session on a flat note amid profit booking in shares of auto and healthcare companies, said Karthikraj Lakshmanan, Senior Fund Manager-Equities, BNP Paribas Mutual Fund.

Let us look at the stocks that remained in the limelight all through the session:


Dr Reddy's drops
Shares of Dr Reddy's Laboratories fell nearly 3 per cent amid reports that an establishment inspection report (EIR) has been issued to the company's Duvvada facility by the USFDA, citing some issues. The scrip settled 2.97 per cent down at Rs 2,336.20.


Agencies

VST Tillers Tractors on a smooth journeyShares of VST Tillers Tractors soared over 4 per cent and hit their fresh 52-week high of Rs 2,678 after the company said sales of power tillers surged 113.5 per cent to 3,004 units in December 2017 over December 2016.

Agencies

Q3 results supported SanwariaShares of Sanwaria Consumer hit upper circuit after December quarter net profit of the company surged 120 per cent to Rs 25.07 crore on 11.92 per cent growth in total income from operations to Rs 1,276.66 crore in Q3 2017 over Q3 2016. The scrip settled 4.84 per cent up at Rs 30.35.


Agencies

@fresh 52-week highAs many as 120 stocks on the National Stock Exchange scaled fresh 52-week highs on Wednesday. The list included Aarti Drugs, Bajaj Electricals, DB Realty, EIH Associated Hotels, Dabur India, Jindal Steel and Power, Jai Corp, Indowind Energy and Graphite India.


Agencies
Spurt in open interestShares of OFSS witnessed the biggest spike in open interest at 43.70 per cent, followed by Jindal Steel and Power (30.68 per cent), Adani Enterprises (30.33 per cent) and Bata India (27.05 per cent).


Agencies

Sagar Cements strengthensSagar Cements surged over 10 per cent to Rs 1,011 on BSE, as the stock extended the recent rally triggered by HDFC Mutual Fund purchasing an additional 2.55 per cent stake in the company.


Agencies"
