,Date,Company,Article
2,,Shree Cement,
0,2018-01-08,Shree Cement,"NEW DELHI: Cement stocks such as Rain Industries (up 5.46 per cent), Andhra Cements (up 3.78 per cent), GPT Infraprojects (up 3.77 per cent), Ramco Industries (up 2.54 per cent) and Sagar Cements (up 2.01 per cent) were trading up in Monday's trade, contributing their share to the market rally.

Stocks such as Everest Industries (up 1.85 per cent), Orient Refractories (up 1.81 per cent), Mangalam Cement (up 1.80 per cent), STARCEMENT (up 1.70 per cent), Sanghi Industries (up 1.66 per cent), Shree Cement (up 1.40 per cent) and Vesuvius India (up 1 per cent) were also among the gainers. 

On the contrary, IFGL Refractories (down 5.67 per cent) cracked up to 6 per cent among the cement stocks.

It was followed by, Burnpur Cement (down 3.23 per cent), IFGL Refractories (down 1.84 per cent), Prism Cement (down 1.78 per cent), NCL Industries (down 1.45 per cent), APCL (down 1.16 per cent) and India Cements (down 1.16 per cent).

The NSE Nifty50 index was trading 60 points up at 10,619 around 11:20 am, while the 30-share BSE Sensex was 209 points up at 34,363 around the same time. 

Sun Pharmaceutical Industries (up 3.04 per cent), Tech Mahindra (up 2.85 per cent), Lupin (up 2.46 per cent), Bharat Petroleum Corporation (up 2.08 per cent), Infosys (up 1.77 per cent), ITC (up 1.29 per cent), UPL (up 1.23 per cent), Hindustan Petroleum Corporation (up 1.22 per cent), Hero MotoCorp (up 1.21 per cent), ICICI Bank (up 1.13 per cent), Dr. Reddy's Laboratories (up 1.11 per cent) and YES Bank (up 1.07 per cent) were among the top gainers in the Nifty pack. 

Among the 50 stocks in the Nifty50 index, 37 were trading up, while 13 were trading down."
1,2018-01-11,Shree Cement,"NEW DELHI: Shree Cement on Thursday reported a 41.58 per cent increase in its standalone net profit at Rs 333.33 crore for the quarter ended December, mainly on account of higher income.

The company had reported a net profit of Rs 235.43 crore during October-December period of the previous fiscal, Shree Cement said in a regulatory filing.

Total income during the quarter under review stood at Rs 2,383.53 crore as against Rs 2,226.79 crore in the year-ago period, up 7.03 per cent.

Revenue from cement stood at Rs 2,193.64 crore as against Rs 2,085.25 crore in the corresponding period of the previous fiscal.

Revenue from power grew to Rs 349.58 crore compared to Rs 246.47 crore in the year-ago period, the company said.

Shree Cement stock closed 0.19 per cent up at Rs 19,511.95 apiece on BSE."
2,2018-01-12,Shree Cement,"NEW DELHI: Domestic equity markets are likely to see a positive start on Friday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues. 
Nifty futures on the Singapore Stock Exchange were trading 40 points, or 0.37 per cent, higher at 10,397, indicating a positive start for the Nifty50 in India. 
Here is a list of top stocks that are likely to be in focus in today's trading session:


TCS: India’s largest software exporter reported a net profit of $1.01 billion on revenue of $4.78 billion for the quarter ended December. In rupee terms, it reported a profit of Rs 6,531 crore on revenue of Rs 30,904 crore.


Infosys: The second largest IT major will announce its quarterly numbers today. Brokerage firm KR Choksey Shares and Securities believes that Infosys may report a growth of 1.4 per cent in dollar revenues for Q3 FY18 with a cross currency tailwind of 14 bps. It said that Infosys' muted growth will be on account of seasonal weakness and poor show at BFSI and retail segments. The numbers will be out around 3.45 pm. 


Gujarat NRE Coke: The National Company Law Tribunal’s Kolkata chapter has ordered liquidation of Gujarat NRE Coke, a company that failed to resolve the Rs 4,900-crore default case. But, there is twist. For the first time under the Insolvency and Bankruptcy Code, the dedicated bankruptcy court has mandated to liquidate a company as an “ongoing concern”, which is aimed at protecting about 10,000 jobs.


Karnataka Bank, GAIL: Sintex, GAIL, Karnataka Bank and RIIL are among a dozen companies which will report their quarterly earnings today. 


Capital First:  Capital First said that it explores various opportunities on a continuous basis amid market talk that the Mumbai-based non-banking finance company could be considering a merger with IDFC Bank, which is up for sale.


Reliance Industries: A media report suggested that Reliance Industries' telecom venture Reliance Jio Infocomm is planning to create its own cyptocurrency, JioCoin.


Adani Enterprises: Billionaire Gautam Adani is the latest to jump into the affordable mortgage lending business, with Adani Enterprises, the holding company of the Adani Group, looking to set up a housing finance company that will offer home loans through realty developers and will also lend directly to retail customers.

Bharati Defence: Lenders to Bharati Defence and Infrastructure have asked interested parties to provide a resolution plan for the company which is facing insolvency proceedings at a bankruptcy court. The company faces claims in the range of Rs 8,500 crore from financial and operational creditors.


Amtek Auto: The UK-based metals group Liberty House and Deccan Value Investors, a US-registered hedge fund have emerged as top contenders for auto component maker Amtek Auto which is in bankruptcy courts awaiting resolution, said two senior officials familiar.


Tata Motors:
HSBC has maintained ‘buy’ rating on Tata Motors with a target price of Rs 500. Tata Motors’ domestic/traditional India business is on the path of recovery and has the potential to make a difference to the stock price in the coming years, said HSBC. 


Pidilite Industries:
 CLSA has retained ‘sell’ rating on Pidilite Industries with a target price of Rs 870. Pidilite remains one of the best franchises in the building materials space but we believe valuations at 40 times FY20 earnings basis leave little room for upside, particularly given a 13 per cent earnings CAGR over FY18-FY20 period. 


Telecom stocks: The telecom regulator may reduce international termination rate (ITR) — a charge paid by international operators to local networks that receive calls — by almost half from the current 53 paise a minute, a move that would deal a body blow to India’s top telcos Bharti Airtel, Vodafone India and Idea Cellular which receive bulk of international calls. “ITR could be 25-30 paise a minute,” said a person aware of developments, asking not to be named. “It may be announced very soon.


Varun Beverages: has concluded the acquisition of PepsiCo India's previously franchised rights for the state of Chhattisgarh.

Shree Cement: Board of Shree Cement at its meeting has approved the acquisition of majority equity stake in Union Cement Company, UAE. The Company has also signed the Definitive Agreement in this regard with the sellers.


Indiabulls Real Estate: The company through its wholly-owned subsidiary Yashita Buildcon has entered into a binding and definitive agreement to acquire a prime and newly constructed commercial building, having leasable area of approx 2.5 lac sq ft in Gurugram.


Texmaco Rail & Engineering: The company has incorporated a subsidiary namely, Texmaco Defence Systems."
3,2018-01-15,Shree Cement,"ET Intelligence Group: One of India’s low-cost cement producers Shree Cement’s acquisition of the UAE-based United Cement Company (UCC) is a right step in its comprehensive expansion strategy without stretching its balance sheet. Besides several operational advantages, the acquisition is expected to boost the company’s earnings per share (EPS) by 5-7 per cent in the very first year.

UCC, operating in the UAE region for the past 46 years, has a clinker capacity of 3.3 MT and a grinding capacity of 4 MT. It is estimated that the installed cement capacity of the UAE is close to 41 MT. It means that over 10 per cent of the UAE’s capacity is with UCC. And if one adds the clinker capacity, the share of UCC may exceed 15 per cent of the UAE’s total installed cement capacity.

Long legacy and reasonably good share of the UAE’s cement industry add to stable earnings’ prospects for Shree Cement. Also, analysts point out that UCC has operating profit margin in the range of 22-23 per cent in the past four years, which is quite encouraging in a region of the size of the UAE. UCC’s plants are close to Ras Al-Khaimah’s port through which it serves cement demand in the Gulf, the Middle East and East Africa regions. Cement demand in these regions is fairly stable.



As regards the valuation of the deal, the company would be paying $305.24 million (Rs 1,940 crore). This amount would be paid through internal accruals.

At the end of FY17, Shree Cement had liquid investments amounting to Rs 3,390 crore. The acquisition has taken place at an Enterprise Value (EV)/EBITDA of 8.8 and its replacement cost (EV/tonne) of $76.

According to analysts’ estimates, listed cement companies — Fujairah Cement Industries and Gulf Cement Company — in the United Arab Emirates are trading close to EV/EBITDA of 8.6 (trailing). This means the acquisition is not that expensive.

This acquisition of the company shows that Shree Cements is cautiously on the right path of achieving its target of total capacity of 40 MT by FY20 from 29.3 MT at present. This expansion would materialise without much leveraging the balance sheet given its strong cash flows, internal accruals and cost efficiency. The expansion is also timely as the industry is yet to enter a peak demand cycle.

On the valuation front, Shree Cement’s enterprise value (EV) was 19.4 times its FY19 projected EBITDA. Though this looks a bit expensive, this premium is justified given its strong earnings’ growth, almost pan-India geographical presence and light balance sheet.

In the December 2017 quarter, the company’s net sales grew close to 20 per cent to Rs 2,236.2 crore on a year on year comparison. Due to high power and fuel costs and tax, the company’s net profit grew by 7.3 per cent to Rs 252 crore in the quarter on a year on year comparison.

The company’s sales volumes increased by 8.3 per cent in the December quarter in comparison with the last year’s December quarter. Its realisation in selling per tonne of cement improved by 8.4 per cent to Rs 4,007."
4,2018-01-23,Shree Cement,"NEW DELHI: Dalal Street investors woke up to a new milestone on Tuesday, as the broader Nifty50 index of the National Stock Exchange (NSE) breached the crucial 11,000 mark for the first time.

The S&P BSE Sensex, too, scaled another record high at 36,140, up 342 points, or 1 per cent, with State Bank of India (up 4 per cent) being the top gainer and Wipro (down 1.50 per cent) the worst laggard.


Here’s a look at the top stocks/sectors that hogged limelight:
Vakrangee on a high! 
Shares of Vakrangee, an e-governance service provider, surged over 5 per cent after a robust December quarter show. The company posted an impressive 87.5 per cent YoY rise in PAT at Rs 246 crore. This apart, the company hit another milestone on Monday when its m-cap spiralled almost 100,000 per cent to Rs 50,000 crore from Rs 50 crore in March 2009. The stock settled at Rs 496 apiece, up 5.43 per cent on BSE.





Spurt in open interest
Shares of Shree Cement witnessed the biggest spike in open interest contracts at 21.16 per cent, followed by Torrent Power (16.98 per cent) and Can Fin Homes (16.83 per cent).





Metal, bank stocks on fire
Shares of metal companies and state-run lenders advanced the most in today's session. The Nifty Metal Index surged 4 per cent to 4,169 with 12 out of 15 constituents ending in the green and 3 in the red. On similar lines, the Nifty PSU Bank index gained 146 points or 4 per cent to settle at 3,832 with all the 12 constituents in the green. Punjab National Bank (up 5.68 per cent), Bank of Baroda (up 5 per cent) and Syndicate Bank (up 4 per cent) were the top gainers in the pack.





Earnings lifts Rane (Madras)
Shares of Rane (Madras) hit the upper circuit limit of Rs 863.45 apiece on BSE after its net profit surged 317.5 per cent to Rs 14.20 crore on 31.7 per cent rise in total net revenue to Rs 318.60 crore in Q3 2017 over Q3 2016. On the contrary, shares of Rallis India lost over 7 per cent to Rs 251.90 on BSE after consolidated net profit fell 1.6 per cent to Rs 24.94 crore in the third quarter.





Most active stocks
Reliance Communications (up 2 per cent), GMR Infra (up 4 per cent) and JP Associates (up 0.68 per cent) were the most active stocks in terms of volume while those of SBI (up 4 per cent), JSPL (up 10 per cent) and RIL (up 1 per cent) were most active in terms of value.





ONGC extends gains
Shares of state-run Oil and Natural Gas Corp (ONGC) jumped nearly 4 per cent after the company got approval from the government to sell its stakes in IOC and GAIL to fund the Rs 36,915 crore acquisition of HPCL. ONGC holds 13.77 per cent stake in nation's biggest refiner IndianOil (IOC), which at Tuesday’s price was worth over Rs 26,200 crore. It also holds 4.86 per cent stake in gas utility GAIL India, which was worth over Rs 3,847 crore, said a PTI report."
5,2018-01-23,Shree Cement,"Hello friends! You are here at ETMarkets Evening Podcast.

This is Abhinav Kaul and I will get you a heads-up on today's session on Dalal Street and lowdown on cues and trading tips from market hotshots for future trading sessions.

Benchmark indices seem to be in a tearing hurry. This time too, it was a fresh day with a fresh closing peak, powered by ample liquidity. 

The end of the funding logjam in the US gave more hope. But volatility is all set to bump up ahead of the expiry of January series futures & options contracts. 

The BSE Sensex today finished above 36,000 at 36,140, with a gain of 342 points. SBI took the pole position, but Wipro lost by the heaviest margin. 

For the broader Nifty50, the closing was above 11,000 at 11,084, a jump of 117 points. As many as 35 constituents turned green and 15 red.

Axis Bank, Infosys, Bharat Forge, HCL Technologies, ICICI Bank and Action Construction Equipment all hit fresh 52-week highs on the NSE.

Defence PSU Bharat Dynamics Ltd has filed draft papers with capital markets regulator Sebi to float an initial public offer. 


Here's the take of A K Prabhakar from IDBI Capital Markets on fundamentals in this exclusive chat with ETMarkets.com


Byte 1: A K Prabhakar 

Shares of Shree Cement witnessed the biggest spike in open interest contracts at 21.16 per cent, followed by Torrent Power (16.98 per cent) and Can Fin Homes (16.83 per cent).

We have with us Anup Chandak from Sharekhan to offer us some insights on futures and options. 


Byte 2: Anup Chandak 

The Nifty made a strong bull candle, but some analysts feel that the ongoing rally needs to pause as the NSE barometer is moving too far from its short-term moving averages.

Mazhar Mohammad from Chartview India has more on the technical side.


Byte 3: Mazhar Mohammad 

That's all for now. Do check out ETMarkets.com for detailed market analysis and come back for our regular morning podcast feed on Wednesday. Have a great time ahead."
0,2018-02-01,Shree Cement,"This year's Budget will be the first one after the launch of the Goods and Services Tax (GST). The GST Council is already on the job with periodic assessments to address the ongoing tax issues. So, it will be fair to say the industry is not expecting much action in the Budget on the indirect tax front. The annual exercise may focus more on direct tax and source of revenue and expenditure.Below are the sectors and stocks that are going to ride on the Budget momentum.AgricultureWhat to expect: Brokerages are expecting an increase in short-term farm loan limit to Rs 5 lakh from Rs 3 lakh at present. Amendment to new investment policy is also seen. The urea industry expects benefits or incentives for investments towards capacity expansion. Stocks in play: Any such move will be positive for companies such as Dhanuka Agritech, PI Industries and Kaveri Seed. Amendment in the new investment policy will be positive for urea manufacturers such as Chambal Fertilizers and Coromandel International.AutomobileWhat to expect: Sharekhan believes that FM Arun Jaitley may announce some incentive for scrapping old heavy commercial vehicles more than 10-15 years old. In addition, GST rate on electric vehicles may be reduced to 5 per cent, from 12 per cent. Additional incentives such as exemption of road tax to promote sales of electric vehicles can be announced.Stocks in play: Any such announcement will be positive for companies such as Ashok Leyland, Tata Motors, Eicher Motors and Mahindra & Mahindra.Banking, Financial services and Insurance (BFSI) What to expect: a) There may be some announcement related to final blueprint and roadmap of PSU bank recap plan and steps to improve the bank’s efficiency. b) FM may announce carry forward of losses beyond eight years. c) Banks and housing finance companies currently have the benefit that interest income on non-performing assets (NPA) is taxed only on receipt basis. If the same is extended to NBFCs too, it will be positive.Stocks in play: a) The announcement will be positive for State Bank of India (SBI), Bank of Baroda (BoB) and Punjab National Bank (PNB).b) Positive for life insurance companies, including HDFC Ltd and ICICI Bank (holding companies).c) The announcement will be positive for all NBFCs -- except HFCs that already are availing the benefits.Capital GoodsWhat to expect: Sharekhan believes that there will higher investment in infrastructure development focusing on power transmission and railways.Stocks in play: The announcement will be positive for companies such as Larsen & Toubro, KPTL and KEC.CementWhat to expect: Higher allocation in the infrastructure sector, especially roads, ports and metros.Stocks in play: Any such provision will be positive for companies, including Grasim, UltraTech, Shree Cement, The Ramco Cements and Mangalam Cement.Consumer DiscretionaryWhat to expect: The Budget may announce higher allocation for various housing schemes such as Pradhan Mantri Awaas Yojana and affordable housing.Stocks in play: The move will be benefit companies such as Kajaria Ceramics, Century Plyboards, Supreme Industries and Astral Poly.Defence What to expect: The FM may announce increased allocation towards capital expenditure in the defence budget to promote the government’s ‘Make in India’ campaign. Sharekhan expects capital expenditure for defence to increase to 7-9 per cent, from 6.2 per cent in the last Budget.Stocks in play: The step will be positive for companies such as BEL.FMCGWhat to expect: In view of focusing on the developing rural economy, market experts believe that the government may step up allocation under various schemes such as MNERGA, rural infrastructure and others.Stocks in play: The announcement will be positive for all FMCG companies (including Dabur India and Emami), which are focusing on expanding their reach in rural India.InfrastructureWhat to expect: One can expect more allocation to the infrastructure sector, especially roads. Stocks in play: The measure will benefit companies such as L&T, IRB Infrastructure, NBCC, Ashoka Buildcon, Gayatri Projects, KNR Constructions and Sadbhav Engineering, according to Sharekhan.Oil & GasWhat to expect: Lowering the cess rate on oil production to 10 per cent compared with the effective cess rate of 16.67 per cent currently. Jaitley may also announce removal of 2.5 per cent import duty on LNG.Stocks in play: The move will be positive for upstream PSUs companies, including ONGC and Oil India. Removal of import duty on LNG may benefit Petronet LNG and Gujarat Gas.HealthcareWhat to expect: The FM may expand scope of National Health Protection scheme, along with the increase in insurance coverage amount and higher exemption limits under section 80D for health insurance.Stocks in play: The move will be positive for the healthcare industry (for players such as Apollo Hospital and Narayana Healthcare) as it will lead to higher number of patients in the organised sector. PharmaWhat to expect: Jaitley may extend R&D sunset clause (current 150 per cent deduction on R&D) beyond 2020 and may implement proposed reduction in corporate tax rates to 25 per cent.According to UBM India, with the government’s vision of making India as one of the top 3 countries in the pharma industry globally, the government should allocate more funds for R&D and innovation and should increase it to 2 per cent-3 per cent of GDP from 0.69 per cent GDP at present in their budget announcement for the pharma industry.Impact: The announcement will be positive for companies spending high on R&D such as Biocon, Cipla, Dr Reddy’s, Sun Pharma and Glenmark.PowerWhat to expect: The government may announce reduction of Clean Environment Cess (CES), which is currently at Rs 400/mt. The FM may also announce reduction of customs duty of 2.5 per cent on coal for consumption in thermal power plants.Stocks in play: Positive for companies such as Coal India and all power generation companies such as NTPC and CESC.Real EstateWhat to expect: Industry is expecting an infrastructure status to the entire real estate sector. Higher allocation to various housing schemes such as Pradhan Mantri Awaas Yojana and affordable housing. Experts also see some relaxation of Income Tax slab, raising House Rent Allowance and incentives for first-time home buyers. Stocks in play: The announcement will be positive for companies such as Oberoi Realty, DLF, Godrej Properties."
1,2018-02-01,Shree Cement,"Cement companies are expected to see superior volume growth given the government's focus on housing for all, smart cities (99 already identified) and building toilets under Swachh Bharat Abhiyan.

 It is expected cement companies may clock 7-8% of volume growth by the third quarter of the next fiscal from close to 6% volume growth at present. Cement companies which have expanded--whether organically or inorganically, this Budget should serve as turn of demand cycle. It must be noted that 60-65% of cement demand comes from housing segment and hence the aforementioned initiatives are expected to create cement demand of over 5.5 million metric tonnes.

This should boost revenues of cement companies which have pan-India presence and balance sheet strength. These companies are Ultratech Cement, Shree Cement, Dalmia Bharat, The Ramco Cements."
3,2018-02-16,Shree Cement,"MUMBAI: UltraTech Cement, India’s largest manufacturer of the primary building material, believes that acquiring debt-laden Binani Cement in the ongoing spell of industry consolidation would not breach the monopoly watchdog’s threshold norms on market dominance.

“There is no concern of coming under the scanner of the Competition Commission of India,” Atul Daga, chief financial officer of UltraTech Cement, told ET. Daga said that in Rajasthan, where Binani’s India operations are based, Shree Cement is the largest player with a capacity of 19 MT. Ultra-Tech's installed capacity in the state is 8 MT. In this scenario, even after the possible acquisition of Binani's 6 MT plant in Rajasthan, UltraTech's combined capacity of 14 MT will still be lower than that of the market leader.

India is the world’s second-largest cement market after China, and is also the second-biggest producer of the commodity that is the world’s least priced manufactured item. High freight costs and concentrated limestone mining locations have made cement a highly regionalised business in India, with market dominance determined and assessed on the basis of regional boundaries.

India’s capital-intensive cement industry, where growth is typically correlated with the broader rate of economic expansion by a factor of about 1.2, is in its second major spell of consolidation in the past decade and a half. At the vanguard of the list of buyers in this round of consolidation are Nuvoco, UltraTech, and the Dalmia Bharat group.

The bid deadline for Binani Cement ended on February 12. Along with UltraTech, others who have bid are JSW Cement, a consortium of Dalmia Bharat and Bain Piramal Resurgence Fund, Rakesh Jhunjhunwala and Radhakishan Damani, Heidelberg and True North-Ramco. Ultra-Tech’s Daga also added that with a total of 17 cement players operating in Rajasthan and Gujarat, there is enough competition in the two markets, preventing monopolies.

In its previous decisions, CCI has looked at a minimum of two states and a maximum of six states that are associated with the plant state in terms of inflow and outflow of cement to decide the relevant market for the acquirer."
