,Date,Company,Article
0,2018-01-02,Titan,"NEW DELHI: The S&P BSE Consumer Durables index was trading 0.38 per cent down at 22,645 around 12:55 pm (IST) with shares of Whirlpool of India (down 1.70 per cent), TTK Prestige (down 1.24 per cent), VIP Industries (down 1.10 per cent), PC Jeweller (down 0.63 per cent), Titan Company (down 0.53 per cent) and Bajaj Electricals (down 0.46 per cent) as the top losers. 

However, shares of Crompton Greaves Consumer Electricals (up 0.46 per cent), Symphony (up 0.20 per cent) and Blue Star (up 0.20 per cent) were trading up around that time. 

Benchmark BSE Sensex was 3 points down at 33,809, while the NSE Nifty50 index was 4 points up at 10,439.

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

Tata Motors, Oil and Natural Gas Corporation, Coal India and Mahindra & Mahindra were trading among the top gainers in the Sensex index.

On the contrary, State Bank of India, Maruti Suzuki, Larsen & Toubro and Adani Ports were among the top losers in the Sensex index."
1,2018-01-03,Titan,"NEW DELHI: Big Bull Rakesh Jhunjhunwala’s investment of five of his pet stocks is now worth Rs 9,150 crore. Three of them – Titan Company, Escorts and DHFL – climbed 140-150 per cent in last one year, riding the bull run, while two others – Crisil and Lupin – failed to catch investors’ fancy.

Can these stocks be good bets for 2018 too? 

Titan Company, a known Jhunjhunwala favourite, has 'strong buy' ratings from nine top brokerages. Sixteen others have 'buy' ratings, two have 'hold' ratings and one each has 'sell' or 'strong sell' ratings, data compiled from Reuters Eikon showed.

The ace investor and his better half, Rekha Jhunjhunwala, owned shares worth Rs 6,200-odd crore (8.06 per cent stake) in the company.

The median consensus estimate for the stock is marginally lower than the prevailing price. But a few brokerages see it as an attractive long-term bet.

The recent aggression to capitalise on opportunities across divisions is heartening. Earnings CAGR is likely to be a massive 36 per cent over FY17-20. The sheer scale of top-line opportunity demands premium valuations, says Mumbai-based brokerage Motilal Oswal Securities.

“We maintain a buy rating on the stock with a revised price target of Rs 975,” it said in a note.

Jhunjhunwala held 9.16 per cent stake in Escorts at the end of second quarter, which was worth Rs 870 crore as of Wednesday. Though not as popular as Titan, this stock has two ‘strong buy’ ratings, four ‘buy’ ratings and three ‘hold’ ratings, with just one 'strong sell' call. The stock traded at Rs 770 level on Tuesday against Reuters' median estimate of Rs 811 level.

Lupin is a battered stock, the worst performer in Jhunjhunwala's portfolio in 2017. But 16 brokerages either have 'strong buy' or 'buy' ratings on the stock. Eighteen brokerages have ‘hold’ ratings and eight have either ‘sell’ or ‘strong sell’ ratings, Reuters data showed.

The median target for the stock at Rs 894 is marginally higher than its prevailing price. Jhunjhunwala’s 1.89 per cent stake in the pharma company was worth Rs 750 crore as of Wednesday's trading.

Most of the Indian pharma companies are sitting on a very healthy product pipeline for the USA markets, with many of them featuring among the highest ANDA filers. Apart from USA, the other export markets are growing at a healthy pace, says Angel Broking.

It said investors should go for pharma stocks, where valuations are very comfortable. The brokerage prefers Lupin and Aurobindo Pharmaceuticals. Jhunjhunwala held over 1 per cent stake in Aurobindo Pharma at the end of June quarter.

Crisil Ratings has four ‘buy’ or ‘strong buy’, one ‘hold’ and one ‘sell’ ratings, with a median target of Rs 1,996. Jhunjhunwala and his wife's combined 5.58 per cent stake in the company was worth Rs 750 crore as of Tuesday. The stock traded at Rs 1,880 on Tuesday.

Housing finance company Dewan Housing has eight 'strong buy' and 'buy' ratings, one 'hold' rating and no 'sell' call, as per Reuters data. 

Jhunjhunwala held 3.19 per cent stake in the company as of September 30, which was worth Rs 588 crore as of Wednesday's intraday price level. The median target for this stock is at Rs 640, while the stock trades at Rs 580-odd levels.

“Housing finance or a full-fledged NBFC like Shriram Transport, Dewan Housing are stocks we are looking at from the current levels,” Rahul Shah of Motilal Oswal Services told ETNow last week."
2,2018-01-03,Titan,"NEW DELHI: The BSE Consumer Durables index hit a fresh record high of 23,069.55 in Wednesday's trade. 

The S&P BSE Consumer Durables index was trading 1.03 per cent up at 22,929 around 12:45 pm (IST). 

Shares of Bajaj Electricals (up 3.82 per cent), Titan Company (up 2.02 per cent), Rajesh Exports (up 1.87 per cent), PC Jeweller (up 1.65 per cent), Symphony (up 0.70 per cent) and VIP Industries (up 0.59 per cent) were trading as the top gainers in the consumer durables index.

On the other hand, Crompton Greaves Consumer Electricals (down 1.62 per cent), TTK Prestige (down 1.19 per cent), Whirlpool of India (down 0.44 per cent) and Blue Star (down 0.18 per cent) were trading as the losers in the BSE Consumer Durables index.

Benchmark NSE Nifty50 index was 21 points up at 10,463, while the BSE Sensex was 41 points up at 33,853.

Among the 50 stocks in the Nifty50 index, 33 were trading in the green, while 17 were in the red. 

Adani Ports, ICICI Bank, YES Bank, Bharti Airtel and Reliance Industries were among the top gainers in the Sensex index.

On the contrary, Dr Reddy's Labs, Oil & Natural Gas Corporation, Wipro and Tata Motors were seen under selling pressure."
3,2018-01-04,Titan,"NEW DELHI: The BSE Consumer Durables index hit a fresh record high of 23,299 in Thursday's trade.

The S&P BSE Consumer Durables index was trading 412 points, or 1.8 per cent, up at 23,288 around 01:05 pm (IST), backed by gains in Titan Company (up 2.63 per cent), Crompton Greaves Consumer Electricals (up 2.45 per cent), Rajesh Exports (up 1.81 per cent), VIP Industries (up 1.51 per cent), PC Jeweller (up 1.27 per cent) and Bajaj Electricals (up 1.11 per cent).

However, shares of Whirlpool of India (down 1.61 per cent), Blue Star (down 0.48 per cent) and TTK Prestige (down 0.07 per cent) were trading down in the index around that time. 

Benchmark BSE Sensex was 94 points up at 33,887, while the NSE Nifty50 index was 28 points up at 10,471.

Among the 50 stocks in the Nifty index, 28 were trading in the green, while 22 were in the red. 

Tata Steel, Larsen & Toubro, Dr Reddy's Labs and Coal India were among the top gainers in the Sensex index.

On the other hand, Sun Pharma, Tata Motors, Wipro and Hero MotoCorp were among the laggards in the Sensex index."
8,2018-01-05,Titan,"NEW DELHI: The BSE Consumer Durables index hit a fresh record high of 23,815 in Friday's trade. 

The S&P BSE Consumer Durables index was trading 0.76 per cent up at 23,631 around 12:35 pm (IST), backed by gains in Bajaj Electricals (up 5.96 per cent), Titan Company (up 1.61 per cent), Whirlpool of India (up 1.28 per cent) and PC Jeweller (up 1.19 per cent).

However, shares of VIP Industries (down 2.01 per cent), Crompton Greaves Consumer Electricals (down 1.20 per cent), Rajesh Exports (down 0.51 per cent) and Blue Star (down 0.11 per cent) were trading in the red in the consumer durables index around that time. 

Benchmark BSE Sensex was 138 points up at 34,108, while the NSE Nifty50 index was 33 points up at 10,538.

Among the 50 stocks in the Nifty50 index, 30 were trading in the green, while 19 were in the red. One stock was appearing unchanged.

YES Bank, Adani Ports and Bharti Airtel were leading the Sensex kitty of stocks.

On the other hand, ICICI Bank, Oil & Natural Gas Corporation and Wipro were seen under selling pressure."
7,2018-01-05,Titan,"NEW DELHI: Over 130 stocks, including Adani Enterprises, Adani Power, Bajaj Electricals, Century Textiles & Industries and D B Realty hit fresh 52-week highs on NSE in Friday's trade.

Escorts, Havells India, Hexaware Technologies, Hindalco Industries, Jindal Saw, Jain Irrigation Systems, JSW Steel, Jubilant Foodworks, Larsen & Toubro, United Spirits, NMDC, PC Jeweller, Raymond, Steel Authority of India, Tata Elxsi, Tata Steel, Tech Mahindra, Titan Company and Sun TV Network also joined the club of stocks that hit fresh 52-week highs in Friday's trade.

Bombay Rayon Fashions was the only stock that hit fresh 52-week lows on NSE in Friday's trade so far. 

Equity benchmarks Nifty50 and Sensex registered a strong opening today, hitting the fresh all-time highs of 10,563 and 34,175, respectively. 

The Nifty50 index was trading 46 points up at 10,551, while 30-shares Sensex was 173 points up at 34,143 around 10.35 am (IST).

YES Bank, Adani Ports, Tata Steel, Eicher Motors and Tata Consultancy Services were among the top gainers in the Nifty50 stocks.

On the other hand, Hindustan Petroleum Corporation, Oil & Natural Gas Corporation, Indian Oil Corporation and Bharat Petroleum Corporation were the top losers among the Nifty50 stocks. 

40 stocks, out of total 50 of the Nifty50 index, were trading in the green, while 10 were in the red."
9,2018-01-05,Titan,"NEW DELHI: As many as 181 stocks, including Escorts, Havells India, Hexaware Technologies, Hindalco Industries, Jindal Saw, Jain Irrigation Systems and JSW Steel hit fresh 52-week highs on NSE on Friday.

Adani Enterprises, Adani Power, Bajaj Electricals, Century Textiles & Industries, D B Realty, Jubilant Foodworks, Larsen & Toubro, United Spirits, NMDC, PC Jeweller, Raymond, Steel Authority of India, Tata Elxsi, Tata Steel, Tech Mahindra, Titan Company and Sun TV Network also joined the league of stocks that hit fresh 52-week highs on Friday.

Meanwhile, Bombay Rayon Fashions, Jindal Cotex and Neuland Laboratories were the three stock that hit fresh 52-week lows on NSE.

Equity benchmarks Nifty50 and Sensex winded up the week on a high, backed by sustained buying across sectors, barring PSU banks.

The Nifty50 index closed 54 points up at 10,559, while the 30-share Sensex settled 184 points up at 34,154 on Friday.

In the Nifty 50 index, YES Bank, Bajaj Finance, Adani Ports SEZ, Bharti Airtel, IndusInd Bank, Dr Reddy's Labs, Lupin, Eicher Motors, Tata Steel, HDFC, Indiabulls Housing Finance and Tata Consultancy Services stood among the top gainers.

On the contrary, Bharti Infratel, Hindalco Industries, UPL, Hindustan Petroleum Corporation, Indian Oil Corporation, Bharat Petroleum Corporation, State Bank of India, Wipro, ICICI Bank, Oil and Natural Gas Corporation, GAIL and Sun Pharma remained among the top losers. 

Out of 50 stocks in the Nifty50 index, 31 settled in the green, while 19 stocks closed the day in the red."
5,2018-01-05,Titan,"Dr CK Narayan of Chart Advise has a buy call on Titan Company with a target price of Rs 910.The current market price of Titan Company is Rs 891.70.Time period given by th analyst is 'Intra Day' when Titan Company price can reach defined target. Dr CK Narayan recommended to keep a stop loss at Rs 882.Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 79,163.89 Crore) operating in Consumer Durables sector.The company’s top management includes Mr.Ashwani Puri, Mr.Atulya Misra, Mr.Bhaskar Bhat, Mr.Harish Bhat, Mr.N N Tata, Mr.Ramesh Chand Meena, Mr.T K Balaji, Mrs.Hema Ravichandar, Mrs.Ireena Vittal, Ms.Vinita Bali, Prof.Das Narayandas. Company has Deloitte Haskins & Sells as its auditors. As on 30-09-2017, the company has a total of 887,786,160 shares outstanding."
4,2018-01-05,Titan,"NEW DELHI: Domestic equity markets are likely to see a flat to positive start on Friday, tracking Nifty futures on the Singapore Stock Exchange (SGX Nifty) and global cues.

ET Now spoke to various experts and here's what they have to recommend for today's trade:


CK Narayan of Chart Advise
Titan Company is a 'Buy' call with a target price of Rs 910 and a stop loss of Rs 882.

Tata Steel is a 'Buy' call with a target price of Rs 780 and a stop loss of Rs 750.


Kunal Bothra, independent market expert
Bharat Heavy Electricals (BHEL) is a 'Buy' call with a target price of Rs 110 and a stop loss of Rs 95.

JSW Steel is a 'Buy' call with a target price of Rs 288 and a stop loss of Rs 272.


Manas Jaiswal of manasjaiswal.com
Grasim Industries is a 'Buy' call with a target price of Rs 1,210 and a stop loss of Rs 1,149.

Punjab National Bank is a 'Buy' call with a target price of Rs 186 and a stop loss of Rs 171.


Click here for more trading ideas.

(Views and recommendations given in this section are the analysts' own and do not represent those of ETMarkets.com. Please consult your financial adviser before taking any position in the stock/s mentioned.)"
6,2018-01-05,Titan,"Manas Jaiswal of manasjaiswal.com has a buy call on Titan Company with a target price of Rs 925.The current market price of Titan Company is Rs 891.70.Time period given by analyst is 'Intra Day' when Titan Company price can reach defined target. Manas Jaiswal recommended to keep a stop loss at Rs 874.Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 79,163.89 Crore) operating in Consumer Durables sector."
