,Date,Company,Article
1,,UltraTech,
0,2018-01-01,UltraTech,"NEW DELHI: Metal and mining stocks, including NMDC (up 4.10 per cent), Steel Authority of India (SAIL) (up 1.84 per cent), MOIL (up 1.65 per cent), Coal India (up 1.58 per cent) and Jindal Steel & Power (up 1.54 per cent) were appearing bullish in afternoon trade on Monday.

The Nifty Metal index was trading 0.71 per cent up at 3,968 around 02:45 pm (IST).

Shares of Hindustan Zinc (up 1.05 per cent), Hindalco Industries (up 1.02 per cent), National Aluminium Company (NALCO) (up 0.87 per cent), Vedanta (up 0.61 per cent) and Hindustan Copper (up 0.45 per cent) were also in the positive zone.

However, Tata Steel (down 0.42 per cent), Jindal Stainless (Hisar) (down 0.35 per cent), JSW Steel (down 0.15 per cent) and APL Apollo Tubes (down 0.04 per cent) were trading down in trade.

Benchmark NSE Nifty50 index was 9 points down at 10,521, while the BSE Sensex was 11 points down at 34,046. 

Among the 50 stocks in the Nifty50 index, 24 were trading in the green, while 26 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
1,2018-01-01,UltraTech,"NEW DELHI: Pharma stocks Cipla (up 1.07 per cent), Sun Pharmaceutical Industries (up 0.97 per cent), Divi's Laboratories (up 0.65 per cent), Glenmark Pharmaceuticals (up 0.53 per cent), Cadila Healthcare (up 0.25 per cent) and Lupin (up 0.13 per cent) were trading up in afternoon trade on Monday. 

The Nifty Pharma index was trading 0.39 per cent up at 9,657 around 3 pm (IST).

However, GlaxoSmithKline Pharmaceuticals (down 1.37 per cent), Piramal Enterprises (down 0.15 per cent) and Aurobindo Pharma (down 0.07 per cent) were trading down around that time. 

Benchmark NSE Nifty50 index was 59 points down at 10,471, while the BSE Sensex was 158 points down at 33,899. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

In the Nifty 50 index, Indiabulls Housing Finance, Wipro, Coal India, Sun Pharma, Cipla and Larsen & Toubro were among the top gainers.

On the other hand, Bharat Petroleum Corporation, Tata Consultancy Services, Bharti Infratel, UltraTech Cement, Hindustan Unilever and Oil & Natural Gas Corporation were among the top losers."
2,2018-01-05,UltraTech,"NEW DELHI: Shares of Idea Cellular (number of shares traded: 1.99 crore), Punjab National Bank (0.54 crore) and Steel Authority of India (SAIL) (0.47 crore) were trading as the most active stocks in terms of volume on NSE in morning trade on Friday.

Shares of, YES Bank (0.41 crore), Bank of Baroda (0.31 crore), JSW Steel (0.29 crore), State Bank of India (0.28 crore), Vedanta (0.24 crore), Bharat Heavy Electricals (BHEL) (0.22 crore), Ashok Leyland (0.19 crore), NHPC (0.18 crore) and Tata Steel (0.18 crore) were also among the most traded stocks on the NSE.

Equity benchmarks Nifty50 and Sensex registered a strong opening today, hitting the fresh all-time highs of 10,555 and 34,161.65, respectively. 

The NSE Nifty index was trading 46 points up at 10,550, while the BSE Sensex was 168 points up at 34,138 around 09:50 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty50 index, YES Bank, Adani Ports & Special Economic Zone, Vedanta, Tata Steel, Eicher Motors, UltraTech Cement and Bajaj Finance were trading among the top gainers.

On the other hand, Hindustan Petroleum Corporation, HCL Technologies, Indian Oil Corporation, Cipla, Oil and Natural Gas Corporation and ICICI Bank were trading among the losers. 

Out of 50 stocks in the Nifty50 index, 38 were trading in the green, while 12 were in the red."
3,2018-01-05,UltraTech,"NEW DELHI: Shares of Idea Cellular (Rs 508.19 crore), Maruti Suzuki (Rs 354.38 crore) and YES Bank (Rs 335.77 crore) were trading as the most active stocks in terms of value on NSE in Friday's trade.

Shares of Tata Steel (Rs 274.77 crore), Titan (Rs 196.84 crore), Infosys (Rs 165.98 crore), State Bank of India (Rs 160.16 crore), Punjab National Bank (Rs 148.44 crore), Kotak Mahindra Bank (Rs 143.70 crore), HDFC (Rs 136.54 crore), Vedanta (Rs 136.02 crore) and JSW Steel (Rs 132.75 crore) were also among the most active stocks in terms of value on NSE.

The NSE Nifty50 index was 43 points up at 10,548, while the BSE Sensex was 160 points up at 34,129 around 11 am (IST).

For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

In the Nifty 50 index, YES Bank, Adani Ports SEZ, Tata Steel, IndusInd Bank, UltraTech Cement and Bharti Airtel were trading as the top gainers.

On the other hand, Hindustan Petroleum Corporation, Oil and Natural Gas Corporation, Indian Oil Corporation, ICICI Bank and Bharat Petroleum Corporation were trading as the top losers."
4,2018-01-08,UltraTech,"MUMBAI: The Jaypee Group has restructured its outstanding foreign currency convertible bonds (FCCBs) after renegotiating with investors, including marque Wall Street names like Goldman Sachs and Deutsche Bank.

The deal allows the cash-strapped infrastructure conglomerate to delay its debt obligation by about four years, giving it more room to meet immediate liabilities arising out of ongoing legal battles, said people in the know. Jaiprakash Associates, the holding company, had sold $150 million of FCCBs in 2012 with a five-year maturity. These bonds were convertible at Rs 77.50 per share. But, the company could not pay interest since March 2016.

International investors including Bluebay, Clearwater and CIC France had also invested in the securities.

While Goldman and Deutsche Bank declined to comment on the matter, others could not be contacted immediately. Jaypee did not comment on individual investors.

“Investors continue to repose our faith on our company, backed by quality assets and seeing the intent of the promoters who are leaving no stone unturned to discharge all their obligations towards all stakeholders,” JP Group managing director Suren Jain told ET.

“The restructuring of FCCB in Jaiprakash Associates is evident of such investor confidence on us. This has helped us extend our debt obligation by another three-four years.”

The company has been exchanging old FCCBs with two new series of similar bonds. The FCCBs had $110 million of principal outstanding and unpaid interest of $12.3 million. Jaypee paid 25% of the principal outstanding ($27 million) upfront. For the remaining, it issued two separate series of bonds maturing in September 2020 and 2021.

Investors can earn interest income on those two sets of papers at 4.76% and 5.75%, respectively, payable quarterly. These bonds are listed on the Singapore Stock Exchange. “It has never been the intention of the group to short-change any investor, whether secured or unsecured,” said Jain.

The series maturing in 2020 amounting to $81.7 million has no conversion option and will be repaid in quarterly instalments starting March this year. The series maturing in 2021, totalling $38.64 million, has a conversion option at Rs 27 per share.

However, if not converted, this series will be repaid in quarterly instalments starting December 2020.

The payment of the principal is usually in the currency in which the money is raised.

“The retail fixed deposit holders (unsecured creditors) have been paid off fully in July 2017 using the sales proceeds of cement units to UltraTech Cement,” Jain said.

A convertible bond is a mix between a debt and equity instrument. Jaiprakash Associates reported total debt of Rs 5,586 crore in the end of September 2017, compared with Rs 27,729 crore at the end of March 2017. Cash from asset monetisation in the past, including Rs 16,000 crore from the cement asset sale, helped, allowing the company to bring its debt to equity to 0.5 from almost 4 just six months ago. Its subsidiary, Jaiprakash Infratech that owns road projects including the Yamuna Expressway and real estate assets, has debt of Rs 8,487 crore and is struggling to meet its obligation."
5,2018-01-10,UltraTech,"NEW DELHI: Over 100 stocks, including Adani Enterprises, Bharat Gears, Dabur India, D B Realty and DLF hit fresh 52-week highs on NSE in Wednesday's trade.

Emami, Godrej Properties, Hinduja Ventures, Indowind Energy, Infosys, Jubilant Foodworks, NCC, Oil India, Stampede Capital, Tata Elxsi, Torrent PowerVakrangee and Zydus Wellness also figured among the stocks that hit fresh 52-week highs today.

On the contrary, Jenson & Nicholson (India), Melstar Information Technologies, Neuland Laboratories, Surana Corporation and Uttam Value Steels were the five stocks that hit fresh 52-week lows on NSE in Wednesday's trade so far.

Equity benchmarks were trading on a cautious note. The NSE Nifty50 index was trading 4 points up at 10,641, while the BSE Sensex was 25 points up at 34,468 around 10:35 am (IST).


For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Idea Cellular, BHEL, Coal India, ITC, NMDC, DLF, Vedanta, YES Bank, State Bank of India, Bank of Baroda, SAIL and ONGC were among the most traded stocks on the National Stock Exchange.

In the Nifty50 index, Tech Mahindra, Coal India, Adani Ports & Special Economic Zone, Oil and Natural Gas Corporation, Hindalco Industries and Bharti Airtel were among the top gainers.

However, Asian Paints, UltraTech Cement, Indiabulls Housing Finance, Eicher Motors, Ambuja Cements and Bajaj Finance were trading among the top losers.

In the Nifty50 pack, 24 stocks were trading up, while 26 were trading down."
6,2018-01-15,UltraTech,"NEW DELHI: Gains in shares of ICICI Bank (up 2.66 per cent), HDFC Bank (up 1.78 per cent), Kotak Mahindra Bank (up 0.88 per cent) and Axis Bank (up 0.78 per cent) were keeping the Nifty Private Bank index up in afternoon trade on Monday.

The Nifty Private Bank index was trading 1.03 per cent up at 14,516 around 01:15 pm (IST). 

However, shares of Karnataka Bank (down 3.11 per cent), IDFC Bank (down 2.81 per cent), Federal Bank (down 1.30 per cent), IndusInd Bank (down 1.26 per cent), YES Bank (down 1.11 per cent) and South Indian Bank (down 0.15 per cent) were trading down in the index around that time. 

Benchmark NSE Nifty50 index was 60 points up at 10,742, while the BSE Sensex was 248 points up at 34,840.

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

In the Nifty 50 index, HDFC, UltraTech Cement, ICICI Bank, Zee Entertainment and Tata Steel were among the top gainers.

However, Eicher Motors, ONGC, Bajaj Finance, Hero MotoCorp and HCL Tech were among the top losers."
7,2018-01-15,UltraTech,"NEW DELHI: The Nifty Metal index was trading 0.56 per cent up at 4,213 around 01:25 pm (IST) on Monday, with shares of Welspun Corp (up 6.04 per cent) surging over 6 per cent.

Shares of Jindal Steel & Power (up 2.83 per cent), National Aluminium Company (NALCO) (up 1.96 per cent), Tata Steel (up 1.84 per cent), Steel Authority of India (SAIL) (up 1.82 per cent), APL Apollo Tubes (up 1.48 per cent), JSW Steel (up 0.44 per cent) and Vedanta (up 0.34 per cent) were also trading with gains.

On the contrary, Jindal Stainless (Hisar) (down 1.31 per cent), Coal India (down 0.61 per cent), Hindalco Industries (down 0.37 per cent), Hindustan Zinc (down 0.20 per cent) and Hindustan Copper (down 0.16 per cent) were trading down in the metal index around that time. 

Benchmark NSE Nifty50 index was 63 points up at 10,744, while the BSE Sensex was 260 points up at 34,852. 

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red. 

In the Nifty 50 index, HDFC, ICICI Bank, UltraTech Cement, Zee Entertainment and Tata Steel were among the top gainers.

However, Eicher Motors, ONGC, Hero MotoCorp, HCL Tech and GAIL were among the top losers."
8,2018-01-15,UltraTech,"NEW DELHI: FMCG stocks were trading mixed in afternoon trade on Monday.

Shares of Godrej Consumer Products (up 1.80 per cent), Dabur India (up 0.87 per cent) and Britannia Industries (up 0.70 per cent) were trading up in the Nifty FMCG index. 

The Nifty FMCG index was trading 0.15 per cent up at 27,238 around 01:30 pm (IST).

Shares of United Spirits (up 0.69 per cent), United Breweries (up 0.18 per cent), Emami (up 0.17 per cent), Marico (up 0.10 per cent) and ITC (up 0.04 per cent) were also in the green.

However, Godrej Industries (down 2.03 per cent), Jubilant Foodworks (down 0.89 per cent), Procter & Gamble Hygiene & Healthcare (down 0.31 per cent), Tata Global Beverages (down 0.31 per cent), Hindustan Unilever (down 0.07 per cent), GlaxoSmithKline Consumer Healthcare (down 0.07 per cent) and Colgate-Palmolive (India) (down 0.04 per cent) were trading in the red around that time. 

Benchmark NSE Nifty50 index was 71 points up at 10,752, while the BSE Sensex was 282 points up at 34,874.

Among the 50 stocks in the Nifty50 index, 22 were trading in the green, while 28 were in the red. 

In the Nifty 50 index, HDFC, ICICI Bank, UltraTech Cement, Zee Entertainment and Tata Steel were among the top gainers.

However, Eicher Motors, ONGC, Hero MotoCorp, HCL Tech and GAIL were among the top losers."
