Country,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,# missing values,,Growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,AFG,14100000,25400000,1.73,,46265779365,,5650.57,1.18,1.79,2569.819624,3092.436884,,,,,857.88,850.43,802.62,981.52,704.74,447.96,382.76,666.49,687.73,736.50,1008.91,1169.65,0.94,,8.62,17.92,15.70,-8.63,8.17,,,,,,,1.28,14.27,,26.95,,,4.84,,1000000,4666136,9607047,33.09,37.82,,22.12,,32.53,,59.74,3892,,,,0.03,7.69,6.48,133.7,59.27,0.03,,37.32,44.30,88.4,93.5,0.6,3.3,43.8,8.3,5.3,1.3,,3.36,0.43,40.26,,,29.4,38.70,9.00,,,-2.04,-1.57,6,2.75,,,,,,,,,,,,,33.78,646212,,38,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,ALB,2401108,2983000,0.64,,57696527627,,42519.89,2.30,2.89,7055.313834,13806.29787,,,,,2465.51,2696.00,2946.32,2965.17,2811.20,2740.26,3520.01,5030.60,5500.80,6018.51,6485.19,6643.01,2.65,,43.08,34.13,32.25,16.53,,7.44,,9.64,,7.99,,8.14,,54.38,,83.03,0.23,,,-75000,917520.4,1435294,38.21,48.12,,19.70,,20.76,,41.78,13200,0,1.27,0.00,1.35,4.45,1.85,13.5,0.00,0.01,2904,68.33,76.75,79.9,49.4,6.2,10.4,72.4,7.6,4.9,10.2,384.0,41.20,11.50,131.89,11.70,,34.51,43.02,8.14,,0.22,-0.52,-0.40,3,0.07,,60.90,56.00,46.80,33.10,63.50,25.60,4.4,47.6,,,,41.14,27900,,21,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,DZA,16100000,34200000,2.22,2.04E+11,7.31E+11,52523.94,50246.46,1.41,2.38,16840.6333,13988.20095,,,4078.73,3376.63,4025.37,4064.60,4830.98,5174.04,4961.89,4517.03,4933.50,5899.73,5961.41,6064.84,6162.28,6069.56,1.18,-1.53,50.56,32.02,36.17,43.75,36.13,45.47,14.36,13.90,,,0.76,2.02,42.97,36.12,76.65,76.52,,4.45,,-140000,3885847,14839565,24.14,43.39,50.21,54.54,10.42,11.73,929.6,20.87,,0.14618214,16.73,0.07,4.14,7.33,2.34,29,0.00,0.01,3104,56.20,72.62,107.4,46.9,1.2,7.0,,8.5,5.4,5.9,,13.47,7.38,93.79,10.65,,,,,0.61,0.34,-0.73,-0.49,6,1.20,0.18,17.90,56.20,17.50,76.80,,11.20,4.6,65.4,1,,,28.14,2309484,0.0453,14,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AGO,5885455,12800000,2.29,,1.01E+11,,17638.28,,,5839.235212,7352.13915,,,,,2450.13,2617.56,2087.05,2121.79,2358.59,1997.20,2335.86,3108.69,3673.82,4354.97,4848.87,4754.68,1.76,,22.45,23.94,22.35,29.07,,20.82,,,,2.26,,2.92,,46.23,,98.46,,,,80000,2638280,8277848,44.83,64.67,,59.05,,10.20,120.5,69.29,1500,0,29.07,0.00,1.41,7.19,5.64,98.1,100.00,4.81,,39.07,47.55,95.8,90.2,,,,,,,,3.28,1.64,43.84,1.85,,58.64,61.86,2.00,,,-1.19,-1.34,,0.24,,,,,,,,,,1,,,-12.36,1235014,0.0386,42,,0.814522895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,ATG,68041,85700,0.68,,4113528233,,,,,,,,,,,4638.48,5482.94,6658.84,9163.15,11753.20,12816.81,13898.33,14919.83,15747.92,17445.12,17230.24,15091.07,2.98,,9.74,39.97,19.89,55.16,,55.16,,19.37,,10.27,,11.44,,68.20,,115.72,,,,,,,,,,28.09,,3.56,1503.5,20.22,10312,0,0.00,,5.09,2.43,,10.5,,,2319,,,,,,,110.5,,,,,74.20,42.64,154.02,,,,,,,,0.98,1.36,3,-0.75,,,,,,,,,,,,,17.05,,,58,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,ARG,26100000,40900000,1.32,5.35E+11,1.11E+12,49981.31,55566.55,2.30,2.75,19916.66607,24961.34421,5421.20,5685.36,6243.57,6872.20,7810.62,8165.07,8638.52,7294.29,6822.32,8577.79,9171.57,9974.55,10655.16,11346.22,11852.82,11961.40,1.12,0.21,23.37,22.67,20.59,26.23,29.29,26.27,12.59,15.19,,0.11,0.11,1.27,5.98,16.00,11.80,37.35,0.26,,,30000,1.07E+07,19599155,41.00,47.92,50.14,31.80,6.58,7.50,5328.3,7.71,,0.320990812,4.54,0.00,4.65,3.32,2.22,13,0.28,0.06,3001,68.05,75.52,58.5,55.6,6.4,9.3,,10.9,3.3,9.4,394.5,30.40,24.24,128.84,83.40,,45.77,50.46,4.11,,0.25,-0.66,-0.49,2,0.02,1.91,15.50,44.80,23.60,25.70,52.70,17.60,4.1,70.4,,,,-35.39,2775401,0.0753,7,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,ARM,2834136,2967000,0.13,,28268011021,,18031.79,2.96,3.18,,9777.623346,,,,,,,,,,1914.97,2566.03,4541.28,5054.79,5604.30,5743.72,5368.11,,,,19.97,,9.82,,8.20,,11.19,,8.27,,8.92,,36.45,,48.45,0.14,3.48, 20   ,-75000,,1628942,,54.90,,34.57,,20.65,2541.3,9.42,24167,0.45909014,0.00,0.00,1.64,2.75,1.75,19.6,0.00,0.01,2250,70.53,73.73,67.1,46.2,8.7,10.8,93.1,19.8,12.8,10.9,,6.75,20.43,84.98,66.09,,30.86,39.80,8.78,,0.13,-0.40,-0.59,6,-0.09,,38.20,18.00,57.20,12.40,39.20,24.70,3.4,51.8,,,,40.31,30644,,30,,1.335641098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,AUS,13800000,21300000,1.28,6.21E+11,2.46E+12,101176.35,219099.48,3.02,3.27,44332.1828,76176.42204,11301.17,12290.95,13116.90,15235.42,18166.63,19708.01,22100.47,24244.95,25751.63,28828.31,33210.24,38392.01,39332.23,40303.46,40690.41,41304.39,2.18,0.68,19.57,32.08,22.97,26.19,25.23,,16.47,,0.67,,0.47,2.44,14.67,,28.80,,1.00,2.03, 45   ,500000,6134833,11549289,44.46,54.22,38.69,,7.23,,15374.9,3.90,7174,3.130251768,1.94,0.00,17.74,2.15,1.90,4.3,0.00,0.06,3186,72.63,81.54,56.9,48.5,10.7,12.0,,33.8,22.4,12.4,520.5,72.03,41.23,110.72,682.86,34.33,,,,0.68,0.09,1.73,2.03,1,-0.83,,35.30,39.00,49.60,21.10,41.40,46.10,3.1,78.8,,,,-25.85,7662592,,12,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,AUT,7578903,8210000,0.24,3.31E+11,8.93E+11,110385.37,211648.47,2.59,2.94,47997.05517,71466.62649,6280.22,8146.70,10632.79,12652.14,15851.21,18967.04,22289.61,24253.52,27807.20,29519.22,33699.06,35633.77,36808.63,38241.18,38997.74,37401.78,2.00,0.29,22.60,21.22,22.70,26.24,25.62,25.83,17.54,19.95,2.36,-1.80,0.20,2.29,29.29,45.99,58.38,96.52,1.00,0.00, 50   ,160000,2994962,4296671,39.52,52.33,37.97,29.15,6.25,1.53,12457.6,3.36,,0.020856577,0.10,0.00,8.27,1.82,1.39,3.3,0.00,0.00,3760,71.08,80.08,61.6,47.6,7.0,9.8,,14.3,9.5,8.9,495.0,73.45,38.89,140.76,606.80,,29.148,37.79,8.56,0.70,0.11,1.76,1.75,1,-1.13,,47.60,16.70,35.60,20.40,,33.90,,75.2,,,1,47.60,84906,,6,,2.368569091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,AZE,5696117,8239000,1.09,,91394736353,,23232.28,,,,,,,,,,,,,,,,,,,,,,,,12.14,,43.92,,49.66,,13.67,,0.02,,1.10,,24.77,,77.27,0.14,,,-50000,,4192796,,50.89,,60.03,,8.20,688.6,22.79,,0,32.73,0.00,3.70,3.95,2.30,29.6,0.00,0.04,2996,65.19,70.44,83.8,44.7,,,99.4,,,,402.0,42.01,15.91,88.34,23.21,,33.71,42.08,7.99,,0.20,-0.81,-1.10,6,0.39,,59.30,24.80,47.00,18.60,48.90,20.50,3.2,62.8,,,,40.27,87881,,47,,2.600117432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
