,Date,Company,Article
19,,Zee,
1,,Zee,
0,,Zee,
11,2018-01-09,Zee,"There's no stopping bulls on Dalal Street, as the benchmark indices hit fresh lifetime high for a third straight session on Tuesday. The shares of IT and pharma companies continued to gain ahead of December quarter earnings season.

The BSE Sensex gained 90.40 points or 0.26 per cent to 34,443, while the NIfty50 ended at 10,637, up 13.40 points or 0.13 per cent.

""The market opened at record highs following a rise in the US and most Asian markets. However, trade turned choppy mid-session and benchmark equity indices ended the day off lows. Signs of easing geo-political tensions buoyed investor sentiment globally. On domestic shores, sustained foreign inflows and optimism ahead of Oct-Dec 2017 earnings and the Union Budget 2018 aided gains,"" said Karthikraj Lakshmanan, Senior Fund Manager - Equities, BNP Paribas Mutual Fund.

Shares of Coal India, YES Bank, Wipro, ITC, Reliance Industries, Indian Oil Corporation, Ambuja Cements, Asian Paints, Tata Motors, UPL, GAIL and Infosys stood among the top gainers in the Nifty50 index on Tuesday. 

However, Zee Entertainment, Eicher Motors, Hindalco Industries, Bharti Infratel, Bharti Airtel, Hero MotoCorp, Bajaj Auto, Bajaj Finance, HPCL, Sun Pharma, Bosch and Dr Reddy's Labs remained among the top losers among the Nifty stocks. 

In the Nifty50 pack, 19 stocks ended the day in green, while 31 stocks settled the day in red on Tuesday.

With a gain of nearly 3 per cent, Nifty Realty index emerged as the top gainer among sectoral indices on NSE.

Top gainers of the realty index Godrej Properties, DLF and Phoenix Mills rose 7.04 per cent, 4 per cent and 3.47 per cent, respectively. 

Housing Development and Infrastructure and Brigade Enterprises remained the two stocks in the Nifty Realty index that settled in the red on Tuesday.

Nifty Media, auto, financial services, pharma and PSU bank indices ended the day in the red.

As many as 170 stocks hit fresh 52-week highs, compared with 5 stocks that hit fresh 52-week lows on NSE on Tuesday.

Global shares were mostly higher on Tuesday, cheered by the upbeat mood on Wall Street and hopes for a robust U.S. economy, AP reported."
8,2018-01-09,Zee,"NEW DELHI: The Nifty Metal index was trading flat at 4,166 around 01:20 pm (IST) on Tuesday as gains in Coal India (up 6.07 per cent), Tata Steel (up 0.42 per cent) and Jindal Stainless (Hisar) (up 0.28 per cent) were offset by losses in NMDC (down 3.92 per cent), Jindal Steel & Power (down 2.91 per cent) and Hindustan Copper (down 2.31 per cent). 

Shares of APL Apollo Tubes (down 1.74 per cent), Hindalco Industries (down 1.45 per cent), Vedanta (down 1.15 per cent), MOIL (down 0.94 per cent), JSW Steel (down 0.87 per cent), Steel Authority of India (SAIL) (down 0.81 per cent) and National Aluminium Company (NALCO) (down 0.70 per cent) were also at the losers' end in the metal index.

Benchmark NSE Nifty50 index was 4 points down at 10,620, while the BSE Sensex was 37 points up at 34,390. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

In the Nifty 50 index, Coal India, ITC, Ambuja Cements, Reliance Industries, YES Bank and Tata Motors were among the top gainers. 

However, Eicher Motors, Zee Entertainment Enterprises, Hindalco, HPCL, Bharti Airtel and Vedanta were among the top losers."
7,2018-01-09,Zee,"NEW DELHI: Most of the auto stocks, including Eicher Motors (down 2.20 per cent), Bajaj Auto (down 1.04 per cent), Maruti Suzuki India (down 0.77 per cent) and Amara Raja Batteries (down 0.77 per cent) were trading down in afternoon trade on Tuesday.

The Nifty Auto index was trading 0.26 per cent down at 11,944 around 01:15 pm (IST).

Shares of Hero MotoCorp (down 0.76 per cent), Motherson Sumi Systems (down 0.64 per cent), Bosch (down 0.50 per cent), Exide Industries (down 0.44 per cent), Bharat Forge (down 0.32 per cent) and MRF (down 0.15 per cent) were also down around that time. 

However, Ashok Leyland (up 2.02 per cent), Tata Motors (DVR) (up 1.31 per cent), Tata Motors (up 1.11 per cent), Apollo Tyres (up 1.08 per cent), TVS Motor Company (up 0.72 per cent) and Mahindra & Mahindra (up 0.02 per cent) were gaining in trade.

Benchmark NSE Nifty50 index was trading flat at 10,624, while the BSE Sensex was 45 points up at 34,398. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

Coal India, Idea Cellular, ITC, Ashok Leyland, Tata Motors, State Bank of India, Punjab National Bank, NMDC, YES Bank, SAIL, Tata Power and Bank of Baroda were among the most traded stocks on NSE.

Coal India, ITC, reliance Industries were leading the Nifty50 pack.

Eicher Motors, Zee Entertainment Enterprises, Hindalco Industries and Hindustan Petroleum Corporation were among the laggards in the Nifty50 index."
9,2018-01-09,Zee,"NEW DELHI: Most of the pharma stocks including Divi's Laboratories (down 1.90 per cent), Cadila Healthcare (down 1.53 per cent), GlaxoSmithKline Pharmaceuticals (down 1.38 per cent) and Piramal Enterprises (down 1.09 per cent) were trading down in afternoon trade on Tuesday.

The Nifty Pharma index was trading 0.66 per cent down at 9,774 around 01:30 pm (IST).

Aurobindo Pharma (down 0.95 per cent), Dr. Reddy's Laboratories (down 0.71 per cent), Sun Pharmaceutical Industries (down 0.68 per cent), Cipla (down 0.42 per cent) and Lupin (down 0.21 per cent) were also in the negative zone.

Glenmark Pharmaceuticals (up 0.38 per cent) was the only stock in the Nifty Pharma index that was trading up. 

Benchmark NSE Nifty50 index was 12 points down at 10,611, BSE Sensex was 6 points up at 34,359.

Among the 50 stocks in the Nifty50 index, 18 were trading in the green, while 32 were in the red. 

In the Nifty 50 index, Coal India, ITC, Ambuja Cements, Reliance Industries, YES Bank and Tata Motors were among the top gainers. 

However, Eicher Motors, Zee Entertainment Enterprises, Hindalco, HPCL, Bharti Airtel and Vedanta were among the top losers."
6,2018-01-09,Zee,"NEW DELHI: Most of the FMCG stocks, including Britannia Industries (down 1.23 per cent), Emami (down 1.13 per cent), Dabur India (down 1.05 per cent), United Spirits (down 0.93 per cent), Tata Global Beverages (down 0.57 per cent) and Hindustan Unilever (down 0.54 per cent) were trading down in afternoon trade on Tuesday.

Shares of Godrej Consumer Products (down 0.52 per cent), Jubilant Foodworks (down 0.44 per cent), Colgate-Palmolive (India) (down 0.30 per cent), Marico (down 0.25 per cent), Godrej Industries (down 0.23 per cent) and GlaxoSmithKline Consumer Healthcare (down 0.15 per cent) were also seen in the red zone.

However, gains in index heavyweight ITC (up 1.32 per cent) and United Breweries (up 0.10 per cent) were keeping the Nifty FMCG index up.

The Nifty FMCG index was trading 0.22 per cent up at 27,181 around 1 pm (IST). 

Benchmark NSE Nifty50 index was 2 points up at 10,626, while BSE Sensex was 53 points up at 34,406. 

Among the 50 stocks in the Nifty50 index, 17 were trading in the green, while 33 were in the red. 

Coal India, Idea Cellular, ITC, Ashok Leyland, Tata Motors, State Bank of India, Punjab National Bank, NMDC, YES Bank, SAIL, Tata Power and Bank of Baroda were among the most traded stocks on NSE.

Coal India, ITC, reliance Industries were leading the Nifty50 pack.

Eicher Motors, Zee Entertainment Enterprises, Hindalco Industries and Hindustan Petroleum Corporation were among the laggards in the Nifty50 index."
4,2018-01-09,Zee,"NEW DELHI: Over 110 stocks, including Arvind, Axis Bank, Century Textiles & Industries, D B Realty, Dollar Industries and Emami Infrastructure hit fresh 52-week highs on NSE in Tuesday's trade.

Godrej Properties, Indian Hotels Company, PC Jeweller, Phillips Carbon Black, Raymond, Tata Chemicals, Tata Global Beverages and Tata Steel also joined the club of stocks that hit fresh 52-week highs today.

On the contrary, Austral Coke & Projects, Melstar Information Technologies, SRS and Uttam Value Steels were the four stocks that hit fresh 52-week lows in Tuesday's trade so far. 

Equity benchmarks were trading on a cautious note. 

The NSE Nifty index was trading 2 points down at 10,622, while BSE Sensex was 36 points up at 34,389 around 10:10 am (IST).

For trending stocks and buzzing news, track this LIVE BLOG from Dalal Street

Coal India, Ashok Leyland, Tata Motors, Idea Cellular, SAIL and NMDC were among the most traded stocks on the National Stock Exchange.

In the Nifty50 index, Coal India, Tata Motors, Tata Steel, Reliance Industries, Lupin, GAIL (India) were among the top gainers.

On the contrary, Zee Entertainment Enterprises, Eicher Motors, HCL Technologies, Hindustan Petroleum Corporation, Wipro and ICICI Bank were among the top losers in the Nifty pack of stocks. 

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red."
3,2018-01-09,Zee,"NEW DELHI: Shares of JP Associates (down 5.92 per cent), Indbank Merchant Banking Services (down 5.65 per cent), Madhav Marbles (down 5.37 per cent) and Laxmi Cotspin (down 5.15 per cent) cracked over 5 per cent in morning trade on Tuesday.

On the other hand, shares of Asian Hotels (E) (down 5 per cent), Khandwala Securities (down 4.99 per cent), Banaras Beads (down 4.99 per cent), Welspun Investments and Commercials (down 4.99 per cent), Maheshwari Logistics (down 4.99 per cent), Lasa Supergenerics (down 4.99 per cent), Rajvir Industries (down 4.98 per cent) and Simplex Project (down 4.98 per cent) declined up to 5 per cent. 

Equity benchmarks were trading on a cautious note. 

The NSE Nifty index was trading 2 points down at 10,622, while BSE Sensex was 36 points up at 34,389 around 10:10 am (IST).

Coal India, Ashok Leyland, Tata Motors, Idea Cellular, SAIL and NMDC were among the most traded stocks on the National Stock Exchange.

In the Nifty50 index, Coal India, Tata Motors, Tata Steel, Reliance Industries, Lupin, GAIL (India) were among the top gainers.

On the contrary, Zee Entertainment Enterprises, Eicher Motors, HCL Technologies, Hindustan Petroleum Corporation, Wipro and ICICI Bank were among the top losers in the Nifty pack of stocks. 

Among the 50 stocks in the Nifty50 index, 21 were trading in the green, while 29 were in the red."
