Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Afghanistan,,857.88,382.76,1169.65,704.74,447.96,666.49,0.00798,,0.02702,0.07096,0.13215,0.15097,0.00,Afghanistan,792.32,,,,,,,,,,,,,,,,,,,,,,,
Albania,,2465.51,3520.01,6643.01,2811.20,2740.26,5030.60,0.02574,,0.04630,0.06529,0.07312,0.07198,0.00,Albania,1912.20,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,4025.37,4933.50,6069.56,4961.89,4517.03,5899.73,0.01059,0.01,0.01066,0.02133,0.02329,0.00712,4078.73,,4078.73,,,,1,,,,,,,,,,,,,,,,,,,
Angola,,2450.13,2335.86,4754.68,2358.59,1997.20,3108.69,0.01715,0.02,0.03759,0.06392,0.08217,0.11208,0.00,Angola,2067.10,,,,1,,,,1960,,,,,,,,,,,,,,,
Antigua and Barbuda,,4638.48,13898.33,15091.07,11753.20,12816.81,14919.83,0.03071,0.03,0.01324,0.01174,0.00919,0.00286,0.00,Antigua and Barbuda,3427.72,,,,,,,,,Asia,Africa,W. Europe,,,,,,,,,,,,
Argentina,,7810.62,9171.57,11961.40,6822.32,8577.79,9974.55,0.01099,0.01,0.02999,0.02403,0.02995,0.04646,6243.57,,6243.57,,,,,,,,Min,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,
Armenia,,,2566.03,5368.11,,1914.97,4541.28,#DIV/0!,0.08,#DIV/0!,0.07640,0.08547,0.04270,0.00,,145.55,Armenia,,,,,,,Max,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,
Australia,,18166.63,33210.24,41304.39,25751.63,28828.31,38392.01,0.02128,0.02,0.02518,0.02602,0.02453,0.01845,13116.90,,13116.90,,,,,,,,2000,,,,,,,,,,,,,,,
Austria,,15851.21,33699.06,37401.78,27807.20,29519.22,35633.77,0.02226,0.03,0.01572,0.01705,0.01165,0.01218,10632.79,,10632.79,,,,,,1,,,Asia,Africa,W. Europe,,,,,,,,,,,,
Azerbaijan,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,,#DIV/0!,,,Azerbaijan,,,,,Min,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,
Bahamas,,19069.96,24159.45,28396.37,22054.83,20888.72,27464.81,0.01026,0.01,0.01339,0.02217,0.01812,0.00837,0.00,Bahamas,17219.21,,,,,,,,max,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,
Bahrain,,22315.91,20968.02,23548.20,18651.21,19508.87,22389.60,0.00138,0.00,0.01235,0.01353,0.01298,0.01269,0.00,Bahrain,22010.46,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,794.35,987.41,1397.12,808.94,873.62,1191.93,0.01458,0.01,0.02918,0.03411,0.03932,0.04051,802.07,,802.07,,,,,1,,,Min growth rate,-0.03118,,,,,,,,,,,,,,
Barbados,,14266.78,23376.45,22917.24,21871.19,20808.54,23370.84,0.01223,0.02,0.00246,0.00692,-0.00220,-0.00489,7647.78,,7647.78,,,,,,,,Max growth rate,0.077526,,,,,,,,,,,,,,
Belarus,,,6251.94,12786.74,,4333.93,9406.60,#DIV/0!,0.08,#DIV/0!,0.08035,0.08275,0.07977,0.00,,289.86,Belarus,,,,,,,,,,,,,,,,,,,,,,
Belgium,,15896.94,31495.45,34624.98,26233.64,27689.11,33724.13,0.02016,0.03,0.01471,0.01610,0.01058,0.00661,10240.59,,10240.59,,,,,,1,,Min Per capita income in 1960,#DIV/0!,Barundi,,,,,,,,,,,,,
Belize,,4298.42,7736.97,8460.33,6229.21,7562.02,9026.64,0.01751,0.02,0.01624,0.00805,0.00998,-0.01607,0.00,Belize,3613.30,,,,,,,,Max per capita income in 1960,#DIV/0!,Switzerland,,,,,,,,,,,,,
Benin,,887.72,1150.82,1115.71,1071.17,1093.97,1190.41,0.00588,0.01,0.00215,0.00141,-0.00344,-0.01607,801.33,,801.33,,,,1,,,,,,,,,,,,,,,,,,,
Bermuda,,25683.04,35125.20,52089.88,34485.13,35043.81,46567.13,0.01830,,0.02194,0.02872,0.04476,0.02842,0.00,Bermuda,21424.02,,,,,,,,per capita income in 2000 for Barundi,#DIV/0!,,,,,,,,,,,,,,
Bhutan,,838.02,2787.36,4567.57,1645.94,2202.57,3564.22,0.04444,,0.05519,0.05348,0.05641,0.06397,0.00,Bhutan,542.53,,,,,1,,,per captita income in 2000 for Switzerland,#DIV/0!,,,,,,,,,,,,,,
Bolivia,,2776.96,3223.50,3793.44,2800.57,3050.01,3428.27,0.00803,,0.01610,0.01570,0.01825,0.02563,2713.58,,2713.58,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,5883.09,7115.79,1742.33,2242.33,4981.68,#DIV/0!,,0.07687,0.08598,0.02136,0.09323,0.00,,188.91,,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,
Botswana,,1125.79,8579.87,8871.53,5803.38,5583.70,9309.37,0.05436,,0.02259,0.03362,0.00372,-0.01197,578.04,,578.04,,,,1,,,,,,,,,,,,,,,,,,,
Brazil,,3998.80,6975.96,8160.39,6398.99,6786.77,7386.74,0.01846,,0.01288,0.01325,0.01758,0.02521,2581.05,,2581.05,,,,,,,,,,,,,,,,,,,,,,,
